#labels: pt_diff_lower[1]   pt_diff_center[2]   pt_diff_upper[3]   tot_scale01[4]   tot_scale01_Err[5]   tot_scale02[6]   tot_scale02_Err[7]   tot_scale03[8]   tot_scale03_Err[9]   tot_scale04[10]  tot_scale04_Err[11]  tot_scale05[12]  tot_scale05_Err[13]  tot_scale06[14]  tot_scale06_Err[15]  tot_scale07[16]  tot_scale07_Err[17] 
#neval: 4060078
#overflow:lower center upper   -5.5698712016E+001    1.3076218096E+000   -3.7278663282E+001    8.7317728134E-001   -8.5784288486E+001    2.0198756788E+000   -4.1555913055E+001    9.7559559747E-001   -4.9965778101E+001    1.1703472829E+000   -7.6464731770E+001    1.7951393723E+000   -6.2487296682E+001    1.4713250297E+000
    1.0000000000E-002    1.1294627059E-002    1.2589254118E-002   -3.9258835414E+003    7.8331077778E+002   -2.6266892990E+003    5.2280204601E+002   -6.0488297466E+003    1.2101359241E+003   -2.9290385577E+003    5.8441557081E+002   -3.5206352132E+003    7.0072821077E+002   -5.3895614654E+003    1.0753506921E+003   -4.4061100888E+003    8.8149151607E+002
    1.2589254118E-002    1.4219093021E-002    1.5848931925E-002    4.5722072923E+003    1.0084712505E+003    3.0773907443E+003    6.7798865180E+002    6.9976356149E+003    1.5455064049E+003    3.4112503114E+003    7.5240417754E+002    4.1247246956E+003    9.0872975445E+002    6.2768525797E+003    1.3844572141E+003    5.0972426357E+003    1.1257832752E+003
    1.5848931925E-002    1.7900777537E-002    1.9952623150E-002    5.2903395770E+003    1.0952643161E+003    3.5499780638E+003    7.3524715004E+002    8.1233825874E+003    1.6812191418E+003    3.9470372570E+003    8.1715908763E+002    4.7581485114E+003    9.8547514084E+002    7.2627244346E+003    1.5036091342E+003    5.9172632514E+003    1.2246396299E+003
    1.9952623150E-002    2.2535743732E-002    2.5118864315E-002    5.1633339530E+003    1.4039498559E+003    3.4509096880E+003    9.3477179202E+002    7.9651459814E+003    2.1753878982E+003    3.8522804040E+003    1.0474644033E+003    4.6253640161E+003    1.2529043647E+003    7.0883676026E+003    1.9273811775E+003    5.8019999797E+003    1.5846037939E+003
    2.5118864315E-002    2.8370820458E-002    3.1622776602E-002    1.7789849230E+003    1.1321029516E+003    1.2097459286E+003    7.5439899502E+002    2.6908720748E+003    1.7525083830E+003    1.3272720339E+003    8.4464380097E+002    1.6214609459E+003    1.0111449678E+003    2.4422396863E+003    1.5541822315E+003    1.9600946122E+003    1.2765683927E+003
    3.1622776602E-002    3.5716746829E-002    3.9810717055E-002    7.6834564648E+002    9.6729385119E+002    5.0784547144E+002    6.4621868938E+002    1.1992655256E+003    1.4931005378E+003    5.7325032709E+002    7.2168238230E+002    6.8068143816E+002    8.6614746333E+002    1.0548061461E+003    1.3279277419E+003    8.7357326172E+002    1.0876096069E+003
    3.9810717055E-002    4.4964720209E-002    5.0118723363E-002    7.6368749315E+002    7.9830525631E+002    5.1507153905E+002    5.3447318787E+002    1.1652501861E+003    1.2294023243E+003    5.6977495382E+002    5.9560271004E+002    6.9036676642E+002    7.1637141342E+002    1.0484113044E+003    1.0959355268E+003    8.4879568712E+002    8.9552561587E+002
    5.0118723363E-002    5.6607228905E-002    6.3095734448E-002    1.2548691382E+003    6.3348135823E+002    8.4593677040E+002    4.2449557721E+002    1.9169043522E+003    9.7451067218E+002    9.3623767798E+002    4.7263025107E+002    1.1338359597E+003    5.6896492386E+002    1.7227190466E+003    8.6966072258E+002    1.3963182895E+003    7.0985653162E+002
    6.3095734448E-002    7.1264278960E-002    7.9432823472E-002    3.3413566031E+002    7.3479312770E+002    2.2269038436E+002    4.8990469850E+002    5.1654432104E+002    1.1365296855E+003    2.4929324119E+002    5.4821733255E+002    2.9847900516E+002    6.5663484956E+002    4.5871067240E+002    1.0087443207E+003    3.7626305245E+002    8.2787499782E+002
    7.9432823472E-002    8.9716411736E-002    1.0000000000E-001   -7.9459035079E+002    5.7157996117E+002   -5.3631436383E+002    3.8140989445E+002   -1.2115585500E+003    8.8328149301E+002   -5.9283107879E+002    4.2644661449E+002   -7.1883920013E+002    5.1121581285E+002   -1.0908356018E+003    7.8468077330E+002   -8.8252779032E+002    6.4340304829E+002
    1.0000000000E-001    1.1294627059E-001    1.2589254118E-001    1.1786455157E+002    3.1544925999E+002    7.8153544126E+001    2.1086271768E+002    1.8378448293E+002    4.8661165508E+002    8.7936845932E+001    2.3535161850E+002    1.0475168098E+002    2.8262600731E+002    1.6180771502E+002    4.3305746542E+002    1.3387294705E+002    3.5445939340E+002
    1.2589254118E-001    1.4219093021E-001    1.5848931925E-001    4.0694399123E+002    2.3271834895E+002    2.7047176571E+002    1.5543375571E+002    6.3159534254E+002    3.5930740717E+002    3.0361436568E+002    1.7362741660E+002    3.6252191034E+002    2.0833280658E+002    5.5866396204E+002    3.1948218345E+002    4.6006892695E+002    2.6172798012E+002
    1.5848931925E-001    1.7900777537E-001    1.9952623150E-001    3.6735528959E+002    3.1696608711E+002    2.4186052956E+002    2.0856674878E+002    5.7595190779E+002    4.9755892396E+002    2.7407787222E+002    2.3648329882E+002    3.2417336051E+002    2.7954864716E+002    5.0431549791E+002    4.3513980762E+002    4.1953693819E+002    3.6243364195E+002
    1.9952623150E-001    2.2535743732E-001    2.5118864315E-001   -4.4965066015E+002    2.4036876240E+002   -2.9752141135E+002    1.5792938291E+002   -7.0123096411E+002    3.7794007248E+002   -3.3547712437E+002    1.7933526701E+002   -3.9877741075E+002    2.1167777510E+002   -6.1729285785E+002    3.2998488256E+002   -5.1079315421E+002    2.7530045249E+002
    2.5118864315E-001    2.8370820458E-001    3.1622776602E-001    1.0665991045E+002    8.6390868097E+001    7.0662813213E+001    5.7738985113E+001    1.6631244106E+002    1.3332338183E+002    7.9577243433E+001    6.4454836987E+001    9.4711616086E+001    7.7389398223E+001    1.4642567391E+002    1.1859977219E+002    1.2114590014E+002    9.7115892223E+001
    3.1622776602E-001    3.5716746829E-001    3.9810717055E-001    8.8147578048E+000    7.2460969761E+001    6.5935898747E+000    4.8462732440E+001    1.1659442155E+001    1.1172057029E+002    6.5765490023E+000    5.4061963918E+001    8.8375982281E+000    6.4956141719E+001    1.2101143218E+001    9.9476422634E+001    8.4930123444E+000    8.1379895364E+001
    3.9810717055E-001    4.4964720209E-001    5.0118723363E-001   -1.8951885228E+001    4.8708364880E+001   -1.2517509917E+001    3.2612077512E+001   -2.9607093338E+001    7.4994178963E+001   -1.4139696705E+001    3.6340527505E+001   -1.6777616680E+001    4.3711004766E+001   -2.6017672008E+001    6.6868189959E+001   -2.1566504286E+001    5.4627526707E+001
    5.0118723363E-001    5.6607228905E-001    6.3095734448E-001   -7.3390814682E+001    3.5926122788E+001   -4.9423181938E+001    2.4011859599E+001   -1.1222283479E+002    5.5422348830E+001   -5.4755706256E+001    2.6803902298E+001   -6.6243462730E+001    3.2183859154E+001   -1.0075293945E+002    4.9320374622E+001   -8.1745756660E+001    4.0370944555E+001
    6.3095734448E-001    7.1264278960E-001    7.9432823472E-001    5.6376336911E+000    2.3663334426E+001    3.8235345096E+000    1.5839321020E+001    8.5369069681E+000    3.6447495284E+001    4.2061478088E+000    1.7654833163E+001    5.1248049164E+000    2.1229945756E+001    7.7394993960E+000    3.2485679726E+001    6.2184841523E+000    2.6549214213E+001
    7.9432823472E-001    8.9716411736E-001    1.0000000000E+000   -1.9200389784E+001    1.6198226655E+001   -1.2818080353E+001    1.0838141659E+001   -2.9665932627E+001    2.4961674205E+001   -1.4325101956E+001    1.2085236340E+001   -1.7180480796E+001    1.4526705989E+001   -2.6358825933E+001    2.2237373388E+001   -2.1609364210E+001    1.8182671550E+001
    1.0000000000E+000    1.1294627059E+000    1.2589254118E+000   -1.9935371375E+000    1.1558847348E+001   -1.3254175986E+000    7.7241522239E+000   -3.1075578491E+000    1.7837914054E+001   -1.4873459899E+000    8.6238700688E+000   -1.7764993644E+000    1.0352926904E+001   -2.7367828981E+000    1.5868305210E+001   -2.2636183467E+000    1.2993556831E+001
    1.2589254118E+000    1.4219093021E+000    1.5848931925E+000   -3.1816716478E+000    8.4213450748E+000   -2.1553582704E+000    5.6343466443E+000   -4.8217196377E+000    1.2976074125E+001   -2.3737940355E+000    6.2830300929E+000   -2.8888952443E+000    7.5518940163E+000   -4.3678868025E+000    1.1561055346E+001   -3.5122541766E+000    9.4520780896E+000
    1.5848931925E+000    1.7900777537E+000    1.9952623150E+000    8.7763821397E-002    8.5784491613E+000    1.0014471438E-001    5.6956507712E+000    1.0089510018E-002    1.3339358932E+001    6.5479175358E-002    6.4002429247E+000    1.3422714594E-001    7.6340618874E+000    1.2048460044E-001    1.1776732179E+001    7.3494367907E-003    9.7167033013E+000
    1.9952623150E+000    2.2535743732E+000    2.5118864315E+000   -3.2657767981E+000    6.1400107112E+000   -2.2350899250E+000    4.0696653314E+000   -4.8841193450E+000    9.5670982857E+000   -2.4365435351E+000    4.5809632223E+000   -2.9957621168E+000    5.4547018854E+000   -4.4833486781E+000    8.4291764587E+000   -3.5577075934E+000    6.9688997777E+000
    2.5118864315E+000    2.8370820458E+000    3.1622776602E+000   -5.0608818237E+000    4.5715609186E+000   -3.3718386816E+000    3.0451078977E+000   -7.8379571198E+000    7.0786542724E+000   -3.7758425183E+000    3.4107680624E+000   -4.5193826313E+000    4.0814549695E+000   -6.9477184869E+000    6.2759652200E+000   -5.7093526165E+000    5.1562585345E+000
