#labels: ptj1_lower[1]   ptj1_center[2]   ptj1_upper[3]   tot_scale01[4]   tot_scale01_Err[5]   tot_scale02[6]   tot_scale02_Err[7]   tot_scale03[8]   tot_scale03_Err[9]   tot_scale04[10]  tot_scale04_Err[11]  tot_scale05[12]  tot_scale05_Err[13]  tot_scale06[14]  tot_scale06_Err[15]  tot_scale07[16]  tot_scale07_Err[17] 
#neval: 1444378
#overflow:lower center upper    3.4704410329E+002    4.3414266273E+000    2.2724881783E+002    2.8328531566E+000    5.4785682137E+002    6.8988893812E+000    2.5892402284E+002    3.2390685696E+000    3.0458881853E+002    3.7969631890E+000    4.7643173980E+002    5.9600305024E+000    3.9907181537E+002    5.0253135527E+000
    1.0000000000E-002    1.1294627059E-002    1.2589254118E-002    6.8596950324E+003    1.9241682314E+003    4.5692268278E+003    1.2706716030E+003    1.0620662448E+004    3.0077838726E+003    5.1179081173E+003    1.4355909649E+003    6.1242800485E+003    1.7031215651E+003    9.4171789920E+003    2.6415513460E+003    7.7363407338E+003    2.1909406317E+003
    1.2589254118E-002    1.4219093021E-002    1.5848931925E-002    1.4557407933E+004    2.0008226566E+003    9.7566774265E+003    1.3383154967E+003    2.2384258974E+004    3.0832864361E+003    1.0861047886E+004    1.4927815985E+003    1.3077185080E+004    1.7937868273E+003    1.9984812083E+004    2.7467846602E+003    1.6305221576E+004    2.2459384777E+003
    1.5848931925E-002    1.7900777537E-002    1.9952623150E-002    1.8031087189E+004    1.5794545062E+003    1.2086990012E+004    1.0571918502E+003    2.7719804787E+004    2.4322074405E+003    1.3452704101E+004    1.1784055997E+003    1.6200577158E+004    1.4169878625E+003    2.4753575003E+004    2.1683188137E+003    2.0191758844E+004    1.7716771988E+003
    1.9952623150E-002    2.2535743732E-002    2.5118864315E-002    2.1173510641E+004    1.8476769280E+003    1.4199080016E+004    1.2371633057E+003    3.2536349147E+004    2.8440665629E+003    1.5797215688E+004    1.3785220339E+003    1.9031478568E+004    1.6582093284E+003    2.9067580796E+004    2.5365419700E+003    2.3700243226E+004    2.0716850863E+003
    2.5118864315E-002    2.8370820458E-002    3.1622776602E-002    2.1329201140E+004    1.5959354774E+003    1.4296991093E+004    1.0739915900E+003    3.2795356534E+004    2.4434450390E+003    1.5913373865E+004    1.1907017872E+003    1.9162711900E+004    1.4395050879E+003    2.9281317019E+004    2.1909443466E+003    2.3888910309E+004    1.7798629303E+003
    3.1622776602E-002    3.5716746829E-002    3.9810717055E-002    1.8265606009E+004    9.3800334711E+002    1.2235822381E+004    6.2777348760E+002    2.8103012054E+004    1.4449439557E+003    1.3627674819E+004    6.9982920838E+002    1.6400061916E+004    8.4142477271E+002    2.5075528923E+004    1.2877169281E+003    2.0470896045E+004    1.0525312180E+003
    3.9810717055E-002    4.4964720209E-002    5.0118723363E-002    1.7398447981E+004    1.3168066687E+003    1.1675408388E+004    8.8833169926E+002    2.6716819304E+004    2.0103948303E+003    1.2980702164E+004    9.8244827308E+002    1.5648921216E+004    1.1906592312E+003    2.3885070407E+004    1.8077486008E+003    1.9461160589E+004    1.4644189563E+003
    5.0118723363E-002    5.6607228905E-002    6.3095734448E-002    1.7089442471E+004    1.0016507952E+003    1.1435541327E+004    6.6700567860E+002    2.6329190147E+004    1.5534927256E+003    1.2750158123E+004    7.4731554557E+002    1.5327419765E+004    8.9400892615E+002    2.3460859099E+004    1.3750939045E+003    1.9178802379E+004    1.1316006993E+003
    6.3095734448E-002    7.1264278960E-002    7.9432823472E-002    1.4893164092E+004    7.1548388274E+002    9.9755237843E+003    4.7963771508E+002    2.2917506627E+004    1.0999769041E+003    1.1111550155E+004    5.3381101550E+002    1.3370511815E+004    6.4287368512E+002    2.0445747420E+004    9.8223605537E+002    1.6693651729E+004    8.0124909077E+002
    7.9432823472E-002    8.9716411736E-002    1.0000000000E-001    1.2242316697E+004    5.7614157888E+002    8.1978278829E+003    3.8567307955E+002    1.8843922536E+004    8.8714951538E+002    9.1337955556E+003    4.2984996408E+002    1.0987809456E+004    5.1692989544E+002    1.6806590828E+004    7.9094308820E+002    1.3726357110E+004    6.4622060691E+002
