#labels: ptj1_lower[1]   ptj1_center[2]   ptj1_upper[3]   tot_scale01[4]   tot_scale01_Err[5]   tot_scale02[6]   tot_scale02_Err[7]   tot_scale03[8]   tot_scale03_Err[9]   tot_scale04[10]  tot_scale04_Err[11]  tot_scale05[12]  tot_scale05_Err[13]  tot_scale06[14]  tot_scale06_Err[15]  tot_scale07[16]  tot_scale07_Err[17] 
#neval: 722189
#overflow:lower center upper    3.4468700436E+002    5.8741483872E+000    2.2570588981E+002    3.8534181002E+000    5.4411298744E+002    9.2586886142E+000    2.5716542926E+002    4.3826076190E+000    3.0252078302E+002    5.1648588435E+000    4.7319584923E+002    8.0641933099E+000    3.9634471854E+002    6.7442469074E+000
    1.0000000000E-002    1.1294627059E-002    1.2589254118E-002    6.3817207756E+003    1.7530510539E+003    4.2838277608E+003    1.1775986006E+003    9.7957144053E+003    2.6889104007E+003    4.7612992131E+003    1.3079231914E+003    5.7417506013E+003    1.5783728597E+003    8.7610027177E+003    2.4066369538E+003    7.1354291451E+003    1.9586656826E+003
    1.2589254118E-002    1.4219093021E-002    1.5848931925E-002    1.1752508046E+004    1.2488975733E+003    7.8962318003E+003    8.4007477583E+002    1.8021028525E+004    1.9126357648E+003    8.7683572002E+003    9.3178238945E+002    1.0583570633E+004    1.1259789419E+003    1.6134167970E+004    1.7145211172E+003    1.3126941726E+004    1.3932089499E+003
    1.5848931925E-002    1.7900777537E-002    1.9952623150E-002    2.2539742577E+004    4.0479510078E+003    1.5119059621E+004    2.7136692702E+003    3.4624334703E+004    6.2221687836E+003    1.6816539358E+004    3.0201111308E+003    2.0264556495E+004    3.6372172351E+003    3.0943181772E+004    5.5571390582E+003    2.5221181095E+004    4.5323743269E+003
    1.9952623150E-002    2.2535743732E-002    2.5118864315E-002    1.9787737769E+004    2.1344920507E+003    1.3234902141E+004    1.4175903531E+003    3.0497837362E+004    3.3169344221E+003    1.4763312840E+004    1.5925101832E+003    1.7739160296E+004    1.9000414388E+003    2.7165153485E+004    2.9302897000E+003    2.2215343218E+004    2.4161331751E+003
    2.5118864315E-002    2.8370820458E-002    3.1622776602E-002    2.3762685425E+004    2.7994639130E+003    1.5880906906E+004    1.8591133938E+003    3.6657780314E+004    4.3501596012E+003    1.7728957345E+004    2.0886349928E+003    2.1285684642E+004    2.4918288136E+003    3.2622071524E+004    3.8431814573E+003    2.6702390783E+004    3.1687587367E+003
    3.1622776602E-002    3.5716746829E-002    3.9810717055E-002    2.0246744827E+004    1.9422711253E+003    1.3568444024E+004    1.3003277871E+003    3.1136401713E+004    2.9901268596E+003    1.5105770623E+004    1.4490972428E+003    1.8186217091E+004    1.7428706919E+003    2.7795291065E+004    2.6664034992E+003    2.2680488535E+004    2.1780788474E+003
    3.9810717055E-002    4.4964720209E-002    5.0118723363E-002    2.4082463883E+004    4.2774896826E+003    1.6076101598E+004    2.8094251905E+003    3.7196514149E+004    6.7252738693E+003    1.7967538908E+004    3.1913662436E+003    2.1547310297E+004    3.7655619409E+003    3.3061072232E+004    5.8722560970E+003    2.7094817200E+004    4.8988479237E+003
    5.0118723363E-002    5.6607228905E-002    6.3095734448E-002    1.6154529745E+004    1.0148855438E+003    1.0805720420E+004    6.7373319875E+002    2.4897474840E+004    1.5783698577E+003    1.2052634778E+004    7.5718977858E+002    1.4483250771E+004    9.0302603539E+002    2.2177385062E+004    1.3932629333E+003    1.8135907221E+004    1.1497217884E+003
    6.3095734448E-002    7.1264278960E-002    7.9432823472E-002    1.4367147032E+004    1.2355577722E+003    9.6143218698E+003    8.1871858898E+002    2.2130963792E+004    1.9248784708E+003    1.0719097288E+004    9.2182977839E+002    1.2886381400E+004    1.0973545654E+003    1.9723616657E+004    1.6962078694E+003    1.6120715399E+004    1.4021268254E+003
    7.9432823472E-002    8.9716411736E-002    1.0000000000E-001    1.3887943013E+004    1.2392706751E+003    9.2913321174E+003    8.2690885640E+002    2.1398963699E+004    1.9154083633E+003    1.0361570878E+004    9.2459991552E+002    1.2453467962E+004    1.1083322413E+003    1.9065752131E+004    1.7013050451E+003    1.5587509286E+004    1.3952285759E+003
    1.0000000000E-001    1.1294627059E-001    1.2589254118E-001    1.0416953554E+004    7.0151520036E+002    6.9686154984E+003    4.6552678071E+002    1.6051471743E+004    1.0907606842E+003    7.7719214772E+003    5.2338920628E+002    9.3402569998E+003    6.2396035097E+002    1.4300681838E+004    9.6305946201E+002    1.1692270166E+004    7.9453577907E+002
    1.2589254118E-001    1.4219093021E-001    1.5848931925E-001    1.1670137992E+004    2.5909511123E+003    7.8225967531E+003    1.7421830523E+003    1.7941669390E+004    3.9686342616E+003    8.7069022278E+003    1.9330669464E+003    1.0484875238E+004    2.3351033577E+003    1.6021088082E+004    3.5569293196E+003    1.3069134663E+004    2.8908466912E+003
    1.5848931925E-001    1.7900777537E-001    1.9952623150E-001    7.6716031908E+003    4.7003820846E+002    5.1388411742E+003    3.1356452399E+002    1.1803792384E+004    7.2654626127E+002    5.7236597338E+003    3.5068794621E+002    6.8877522744E+003    4.2028050489E+002    1.0531788959E+004    6.4528144784E+002    8.5981604519E+003    5.2923341305E+002
    1.9952623150E-001    2.2535743732E-001    2.5118864315E-001    5.7619540805E+003    2.2066426383E+002    3.8571849832E+003    1.4727897370E+002    8.8721407167E+003    3.4101645791E+002    4.2989012516E+003    1.6463405759E+002    5.1699077166E+003    1.9740269288E+002    7.9101698638E+003    3.0293400214E+002    6.4626763123E+003    2.4840442177E+002
    2.5118864315E-001    2.8370820458E-001    3.1622776602E-001    5.3762246449E+003    3.5356276732E+002    3.5979573080E+003    2.3524967350E+002    8.2807202189E+003    5.4819714650E+002    4.0111147246E+003    2.6378749322E+002    4.8224566184E+003    3.1531261987E+002    7.3806298302E+003    4.8538074201E+002    6.0318716887E+003    3.9931971621E+002
    3.1622776602E-001    3.5716746829E-001    3.9810717055E-001    3.7652529180E+003    1.4549751998E+002    2.5206762184E+003    9.7437692591E+001    5.7973656856E+003    2.2395535270E+002    2.8091946335E+003    1.0855335916E+002    3.3785425094E+003    1.3059883853E+002    5.1690433046E+003    1.9974301803E+002    4.2229377426E+003    1.6313435496E+002
    3.9810717055E-001    4.4964720209E-001    5.0118723363E-001    3.1110855291E+003    1.2007301505E+002    2.0837375617E+003    8.0646348149E+001    4.7876436665E+003    1.8422493434E+002    2.3211308677E+003    8.9584545008E+001    2.7928997303E+003    1.0809286550E+002    4.2709842272E+003    1.6483955474E+002    3.4874324363E+003    1.3419378223E+002
    5.0118723363E-001    5.6607228905E-001    6.3095734448E-001    2.5780399083E+003    1.0224274488E+002    1.7257246182E+003    6.8289539267E+001    3.9697721098E+003    1.5784320857E+002    1.9234341047E+003    7.6281667261E+001    2.3130435951E+003    9.1530641531E+001    3.5392044617E+003    1.4036166690E+002    2.8916755266E+003    1.1497671167E+002
    6.3095734448E-001    7.1264278960E-001    7.9432823472E-001    2.0075466720E+003    7.7121506045E+001    1.3434757396E+003    5.1652643129E+001    3.0924355842E+003    1.1871410901E+002    1.4977982782E+003    5.7539115069E+001    1.8007032650E+003    6.9231680476E+001    2.7560155744E+003    1.0587453570E+002    2.2526029327E+003    8.6474153726E+001
    7.9432823472E-001    8.9716411736E-001    1.0000000000E+000    1.6104099179E+003    5.2477220281E+001    1.0770878473E+003    3.4863645018E+001    2.4821846528E+003    8.1525731740E+001    1.2015009344E+003    3.9152409893E+001    1.4436551002E+003    4.6728852308E+001    2.2108152587E+003    7.2042178852E+001    1.8080817777E+003    5.9385263623E+001
    1.0000000000E+000    1.1294627059E+000    1.2589254118E+000    1.2285335483E+003    3.9983398661E+001    8.2265805216E+002    2.6828503633E+001    1.8910200754E+003    6.1407674613E+001    9.1658911800E+002    2.9830970560E+001    1.1026347532E+003    3.5959096740E+001    1.6865648207E+003    5.4890315112E+001    1.3774635725E+003    4.4730796860E+001
    1.2589254118E+000    1.4219093021E+000    1.5848931925E+000    9.5867959495E+002    2.8152032240E+001    6.4118814595E+002    1.8815572168E+001    1.4776429833E+003    4.3433923016E+001    7.1525542429E+002    2.1003778395E+001    8.5940486597E+002    2.5219109834E+001    1.3161018528E+003    3.8647888185E+001    1.0763499601E+003    3.1638292763E+001
    1.5848931925E+000    1.7900777537E+000    1.9952623150E+000    7.9144796048E+002    2.9854343700E+001    5.2945000196E+002    1.9963282744E+001    1.2195772248E+003    4.6033136974E+001    5.9048659193E+002    2.2273845592E+001    7.0963867758E+002    2.6757422824E+001    1.0865216415E+003    4.0984868422E+001    8.8836878197E+002    3.3531621443E+001
    1.9952623150E+000    2.2535743732E+000    2.5118864315E+000    5.8550593489E+002    1.9804956330E+001    3.9176275822E+002    1.3193711623E+001    9.0203793232E+002    3.0661181326E+001    4.3683655946E+002    1.4776159331E+001    5.2509208544E+002    1.7683951335E+001    8.0379873504E+002    2.7188791602E+001    6.5706568056E+002    2.2334326809E+001
    2.5118864315E+000    2.8370820458E+000    3.1622776602E+000    4.8226738313E+002    1.7268166404E+001    3.2220854399E+002    1.1425398825E+001    7.4424489396E+002    2.6954822590E+001    3.5981193671E+002    1.2883501175E+001    4.3186635984E+002    1.5313825447E+001    6.6206999693E+002    2.3706216257E+001    5.4212551405E+002    1.9634527790E+001
    3.1622776602E+000    3.5716746829E+000    3.9810717055E+000    3.6084492733E+002    1.0395923964E+001    2.4122447121E+002    6.9510249006E+000    5.5649309738E+002    1.6030500184E+001    2.6922059566E+002    7.7562316387E+000    3.2332083127E+002    9.3166797621E+000    4.9537789260E+002    1.4271811836E+001    4.0536268227E+002    1.1676993988E+001
    3.9810717055E+000    4.4964720209E+000    5.0118723363E+000    2.9155145111E+002    1.1527458530E+001    1.9481748007E+002    7.6999544107E+000    4.4985008348E+002    1.7792462210E+001    2.1752184772E+002    8.6004513766E+000    2.6112006500E+002    1.0320493805E+001    4.0024989267E+002    1.5825213773E+001    3.2768139860E+002    1.2960448637E+001
    5.0118723363E+000    5.6607228905E+000    6.3095734448E+000    2.2651924734E+002    1.0915966471E+001    1.5136814633E+002    7.2977103681E+000    3.4949825528E+002    1.6834586361E+001    1.6900236661E+002    8.1442269877E+000    2.0288354101E+002    9.7813533210E+000    3.1097188538E+002    1.4985740568E+001    2.5458276280E+002    1.2262709303E+001
    6.3095734448E+000    7.1264278960E+000    7.9432823472E+000    1.6804365540E+002    4.9273681532E+000    1.1228047593E+002    3.2998727895E+000    2.5931016007E+002    7.5853910470E+000    1.2537466811E+002    3.6762301165E+000    1.5049309314E+002    4.4229244572E+000    2.3069497608E+002    6.7644272289E+000    1.8888762955E+002    5.5253775390E+000
    7.9432823472E+000    8.9716411736E+000    1.0000000000E+001    1.2746920221E+002    4.0733414545E+000    8.5096346313E+001    2.7197758600E+000    1.9688420121E+002    6.2911147954E+000    9.5102721275E+001    3.0390545346E+000    1.1405733958E+002    3.6454020918E+000    1.7499324496E+002    5.5919957653E+000    1.4341509046E+002    4.5825962262E+000
    1.0000000000E+001    1.1294627059E+001    1.2589254118E+001    9.6222944142E+001    3.0455377782E+000    6.4178406721E+001    2.0292921038E+000    1.4878579929E+002    4.7173931617E+000    7.1790390764E+001    2.2722267452E+000    8.6020359819E+001    2.7199247515E+000    1.3209751802E+002    4.1809984626E+000    1.0837908137E+002    3.4362603136E+000
    1.2589254118E+001    1.4219093021E+001    1.5848931925E+001    6.8964152281E+001    2.1197803786E+000    4.5954284554E+001    1.4105333243E+000    1.0674614703E+002    3.2874806399E+000    5.1453044646E+001    1.5815340413E+000    6.1593989233E+001    1.8905826787E+000    9.4675894919E+001    2.9100931098E+000    7.7756408275E+001    2.3946783462E+000
    1.5848931925E+001    1.7900777537E+001    1.9952623150E+001    5.5591421603E+001    1.8959145691E+000    3.7027525133E+001    1.2428367224E+000    8.6089320816E+001    2.9921673861E+000    4.1475865404E+001    1.4145113620E+000    4.9629169652E+001    1.6658135893E+000    7.6317440525E+001    2.6027639372E+000    6.2709489417E+001    2.1795652150E+000
