#labels: pth_lower[1]   pth_center[2]   pth_upper[3]   tot_scale01[4]   tot_scale01_Err[5]   tot_scale02[6]   tot_scale02_Err[7]   tot_scale03[8]   tot_scale03_Err[9]   tot_scale04[10]  tot_scale04_Err[11]  tot_scale05[12]  tot_scale05_Err[13]  tot_scale06[14]  tot_scale06_Err[15]  tot_scale07[16]  tot_scale07_Err[17] 
#neval: 2234346
#overflow:lower center upper    1.4283676426E-004    5.2152197834E-006    2.3548203112E-004    8.5446626083E-006    4.1130610648E-004    1.4815096144E-005    1.7166319102E-004    6.2289425758E-006    1.9593886824E-004    7.1540703635E-006    3.3601746460E-004    1.2192674965E-005    2.8824453360E-004    1.0382463112E-005
    0.0000000000E+000    5.0000000000E+000    1.0000000000E+001   -5.0589941357E-002    9.7682187489E-005   -6.9545254841E-002    1.3345724686E-004   -9.8135290854E-002    1.8712653777E-004   -5.0697542862E-002    9.7288513909E-005   -6.9397650566E-002    1.3399727559E-004   -9.9236532381E-002    1.9043476697E-004   -6.8773501527E-002    1.3113883007E-004
    1.0000000000E+001    1.5000000000E+001    2.0000000000E+001    1.6518700874E-002    5.8321399266E-005    2.2397546565E-002    7.8936695721E-005    3.1081780003E-002    1.0943101126E-004    1.6327506163E-002    5.7543775256E-005    2.2659821307E-002    8.0003415268E-005    3.1959834788E-002    1.1263750458E-004    2.1782203180E-002    7.6689575731E-005
    2.0000000000E+001    2.5000000000E+001    3.0000000000E+001    9.0252064762E-003    4.3668700345E-005    1.2283445101E-002    5.9279801867E-005    1.7121155751E-002    8.2453892485E-005    8.9544640528E-003    4.3214167564E-005    1.2380487277E-002    5.9903315282E-005    1.7527673173E-002    8.4588402055E-005    1.1998556492E-002    5.7783931259E-005
    3.0000000000E+001    3.5000000000E+001    4.0000000000E+001    5.9068529603E-003    3.5579447372E-005    8.0675466698E-003    4.8424226387E-005    1.1290524235E-002    6.7545067071E-005    5.8811315598E-003    3.5300601003E-005    8.1028304577E-003    4.8806738847E-005    1.1511861710E-002    6.9098205491E-005    7.9124327136E-003    4.7335782398E-005
    4.0000000000E+001    4.5000000000E+001    5.0000000000E+001    4.1377155760E-003    2.9988330567E-005    5.6796115576E-003    4.0981646325E-005    7.9956226629E-003    5.7434481297E-005    4.1403594111E-003    2.9875061582E-005    5.6759848299E-003    4.1137025067E-005    8.1044344080E-003    5.8478130275E-005    5.6033559654E-003    4.0250254040E-005
    5.0000000000E+001    5.5000000000E+001    6.0000000000E+001    3.1016020480E-003    2.6192304445E-005    4.2754195609E-003    3.5912740639E-005    6.0484520175E-003    5.0518007037E-005    3.1167225850E-003    2.6179898427E-005    4.2546776958E-003    3.5929758815E-005    6.1007442229E-003    5.1245133223E-005    4.2387730290E-003    3.5403168462E-005
    6.0000000000E+001    6.5000000000E+001    7.0000000000E+001    2.2950985542E-003    2.2510445909E-005    3.1804036128E-003    3.0994679936E-005    4.5275935961E-003    4.3815975295E-005    2.3184708841E-003    2.2594699209E-005    3.1483422042E-003    3.0879103975E-005    4.5382280478E-003    4.4227382101E-005    3.1729509577E-003    3.0706364833E-005
    7.0000000000E+001    7.5000000000E+001    8.0000000000E+001    1.8143842706E-003    2.0205226139E-005    2.5230605954E-003    2.7890130671E-005    3.6064126892E-003    3.9535007133E-005    1.8392767842E-003    2.0331525111E-005    2.4889138478E-003    2.7716877814E-005    3.6002425335E-003    3.9797393248E-005    2.5273846588E-003    2.7706249707E-005
    8.0000000000E+001    8.5000000000E+001    9.0000000000E+001    1.3933924461E-003    1.7646877507E-005    1.9482315847E-003    2.4473593609E-005    2.8027653586E-003    3.4884630111E-005    1.4202342704E-003    1.7840916160E-005    1.9114108355E-003    2.4207417640E-005    2.7799991126E-003    3.4922218204E-005    1.9641862371E-003    2.4447251762E-005
    9.0000000000E+001    9.5000000000E+001    1.0000000000E+002    1.1153276760E-003    1.5551528861E-005    1.5657563614E-003    2.1654615945E-005    2.2631740358E-003    3.1009775794E-005    1.1414150458E-003    1.5785919867E-005    1.5299705484E-003    2.1333085920E-005    2.2342319718E-003    3.0899721359E-005    1.5860390452E-003    2.1731742418E-005
