#labels: pt_diff_lower[1]   pt_diff_center[2]   pt_diff_upper[3]   tot_scale01[4]   tot_scale01_Err[5]   tot_scale02[6]   tot_scale02_Err[7]   tot_scale03[8]   tot_scale03_Err[9]   tot_scale04[10]  tot_scale04_Err[11]  tot_scale05[12]  tot_scale05_Err[13]  tot_scale06[14]  tot_scale06_Err[15]  tot_scale07[16]  tot_scale07_Err[17] 
#neval: 3170438
#overflow:lower center upper   -1.7705894123E+000    2.0715291495E-001   -1.2190670063E+000    1.4348362379E-001   -2.6448239651E+000    3.0744359128E-001   -1.3210082785E+000    1.5455345754E-001   -1.6339542828E+000    1.9231566468E-001   -2.4307140971E+000    2.8438524885E-001   -1.9265520843E+000    2.2394915480E-001
    1.0000000000E-002    1.1294627059E-002    1.2589254118E-002   -1.3103445621E+002    7.7522980148E+001   -8.8217681404E+001    5.3198315107E+001   -2.0059616177E+002    1.1636640151E+002   -9.7762699936E+001    5.7838648439E+001   -1.1824096428E+002    7.1303393791E+001   -1.7988772423E+002    1.0642569044E+002   -1.4611896998E+002    8.4764028278E+001
    1.2589254118E-002    1.4219093021E-002    1.5848931925E-002    1.2818679630E+001    8.7999267275E+001    9.5789730833E+000    5.9830586955E+001    1.7201351811E+001    1.3327936647E+002    9.5638106680E+000    6.5654837741E+001    1.2839002297E+001    8.0192838698E+001    1.7597837797E+001    1.2080782705E+002    1.2529869897E+001    9.7083830401E+001
    1.5848931925E-002    1.7900777537E-002    1.9952623150E-002    7.9081713730E+001    8.6030207756E+001    5.4137539043E+001    5.9220742468E+001    1.1879200731E+002    1.2853750903E+002    5.9001594491E+001    6.4185754109E+001    7.2562265505E+001    7.9375444735E+001    1.0856556300E+002    1.1810464770E+002    8.6530896686E+001    9.3629749729E+001
    1.9952623150E-002    2.2535743732E-002    2.5118864315E-002    7.3561721436E+002    8.0242625804E+002    5.1040752052E+002    5.5614081794E+002    1.0895184525E+003    1.1899240417E+003    5.4883217036E+002    5.9867732314E+002    6.8411543403E+002    7.4541322717E+002    1.0098756497E+003    1.1015929519E+003    7.9363090821E+002    8.6676870480E+002
    2.5118864315E-002    2.8370820458E-002    3.1622776602E-002    1.7660219352E+002    6.0566336459E+001    1.2124726070E+002    4.1308678761E+001    2.6466457797E+002    9.1479249251E+001    1.3176005573E+002    4.5187569350E+001    1.6251155997E+002    5.5367336028E+001    2.4244437383E+002    8.3147141183E+001    1.9278791369E+002    6.6635640268E+001
    3.1622776602E-002    3.5716746829E-002    3.9810717055E-002   -5.9357108461E+002    5.4941608392E+002   -4.0980370488E+002    3.8075160811E+002   -8.8393937848E+002    8.1482987338E+002   -4.4285383793E+002    4.0991050220E+002   -5.4927294008E+002    5.1033349072E+002   -8.1487079556E+002    7.5425358984E+002   -6.4388226757E+002    5.9354127593E+002
    3.9810717055E-002    4.4964720209E-002    5.0118723363E-002    1.7685518721E+002    9.6730677794E+001    1.2215048637E+002    6.6452753943E+001    2.6307084581E+002    1.4487992066E+002    1.3194881025E+002    7.2169202674E+001    1.6372218206E+002    8.9068739739E+001    2.4279169055E+002    1.3279454881E+002    1.9162700164E+002    1.0553394736E+002
    5.0118723363E-002    5.6607228905E-002    6.3095734448E-002   -6.0535407757E+001    5.8010471564E+001   -4.1699861997E+001    3.9688470241E+001   -9.0392834428E+001    8.7270755618E+001   -4.5164493943E+001    4.3280679666E+001   -5.5891651361E+001    5.3195719015E+001   -8.3104681405E+001    7.9638379192E+001   -6.5844270117E+001    6.3570074360E+001
    6.3095734448E-002    7.1264278960E-002    7.9432823472E-002    2.8707458995E+001    5.0641758473E+001    1.9130682802E+001    3.4558901543E+001    4.4441382192E+001    7.6419700545E+001    2.1418173362E+001    3.7783001364E+001    2.5641462640E+001    4.6320394936E+001    3.9410393390E+001    6.9522406136E+001    3.2372149761E+001    5.5665910210E+001
    7.9432823472E-002    8.9716411736E-002    1.0000000000E-001    7.1156730033E+000    4.2427236489E+001    4.7809877178E+000    2.8713171399E+001    1.0926912993E+001    6.4616501134E+001    5.3088891637E+000    3.1654278652E+001    6.4081099047E+000    3.8485176891E+001    9.7685926275E+000    5.8245283247E+001    7.9594208458E+000    4.7068181694E+001
