#labels: pt_diff_lower[1]   pt_diff_center[2]   pt_diff_upper[3]   tot_scale01[4]   tot_scale01_Err[5]   tot_scale02[6]   tot_scale02_Err[7]   tot_scale03[8]   tot_scale03_Err[9]   tot_scale04[10]  tot_scale04_Err[11]  tot_scale05[12]  tot_scale05_Err[13]  tot_scale06[14]  tot_scale06_Err[15]  tot_scale07[16]  tot_scale07_Err[17] 
#neval: 1444378
#overflow:lower center upper   -6.0376317055E+001    3.7304276428E+000   -4.0446095471E+001    2.5023283470E+000   -9.2891832557E+001    5.7313007008E+000   -4.5045798929E+001    2.7832120559E+000   -5.4211188209E+001    3.3539502738E+000   -8.2886277291E+001    5.1212342040E+000   -6.7664599227E+001    4.1748144513E+000
    1.0000000000E-002    1.1294627059E-002    1.2589254118E-002   -1.7181187425E+003    1.2015664198E+003   -1.1598756331E+003    8.0330169748E+002   -2.6198636014E+003    1.8528412441E+003   -1.2818607558E+003    8.9646937722E+002   -1.5546182026E+003    1.0766908153E+003   -2.3586809110E+003    1.6495436011E+003   -1.9083703673E+003    1.3496532124E+003
    1.2589254118E-002    1.4219093021E-002    1.5848931925E-002    3.8420264433E+003    1.3151968834E+003    2.5882739656E+003    8.8240405675E+002    5.8735115367E+003    2.0201544299E+003    2.8664741258E+003    9.8124723817E+002    3.4691459200E+003    1.1827142235E+003    5.2744401227E+003    1.8055386430E+003    4.2784041745E+003    1.4715280785E+003
    1.5848931925E-002    1.7900777537E-002    1.9952623150E-002    7.9637987222E+003    3.0667313704E+003    5.3426420991E+003    2.0510930562E+003    1.2234072718E+004    4.7285670382E+003    5.9416621194E+003    2.2880389434E+003    7.1609131361E+003    2.7491452614E+003    1.0932923063E+004    4.2100936119E+003    8.9115867845E+003    3.4443996285E+003
    1.9952623150E-002    2.2535743732E-002    2.5118864315E-002    4.2811829311E+003    1.6108960895E+003    2.8786005299E+003    1.0806380006E+003    6.5582179715E+003    2.4745633386E+003    3.1941217170E+003    1.2018636592E+003    3.8582798485E+003    1.4484134835E+003    5.8773262907E+003    2.2114826884E+003    4.7771604722E+003    1.8025302328E+003
    2.5118864315E-002    2.8370820458E-002    3.1622776602E-002    1.4740011199E+003    2.5916343483E+003    9.6635761632E+002    1.7447040381E+003    2.3201941696E+003    3.9657126577E+003    1.0997285245E+003    1.9335766978E+003    1.2952398496E+003    2.3384823152E+003    2.0235494895E+003    3.5578672849E+003    1.6900840935E+003    2.8887185261E+003
    3.1622776602E-002    3.5716746829E-002    3.9810717055E-002    4.9132831007E+002    2.3056113348E+003    3.4386927283E+002    1.5400048231E+003    7.1863383782E+002    3.5589173515E+003    3.6657214854E+002    1.7201795284E+003    4.6089892365E+002    2.0641174466E+003    6.7450908793E+002    3.1652069842E+003    5.2346981740E+002    2.5923992416E+003
    3.9810717055E-002    4.4964720209E-002    5.0118723363E-002    2.0174371655E+002    1.4691052877E+003    1.4122706497E+002    9.8629458391E+002    2.9586228000E+002    2.2551407284E+003    1.5051774163E+002    1.0960758229E+003    1.8929112711E+002    1.3219620014E+003    2.7695935174E+002    2.0168283557E+003    2.1551305482E+002    1.6426976343E+003
    5.0118723363E-002    5.6607228905E-002    6.3095734448E-002    9.2900535597E+002    1.2731373118E+003    6.1488063496E+002    8.5391213316E+002    1.4468600978E+003    1.9563536407E+003    6.9311595193E+002    9.4986726842E+002    8.2414407225E+002    1.1445255920E+003    1.2753642371E+003    1.7477981004E+003    1.0539269811E+003    1.4250540806E+003
    6.3095734448E-002    7.1264278960E-002    7.9432823472E-002    1.4184649140E+003    1.1211175626E+003    9.3921582757E+002    7.4975807790E+002    2.2123174143E+003    1.7291046675E+003    1.0582938546E+003    8.3644777897E+002    1.2588608469E+003    1.0049245990E+003    1.9473078505E+003    1.5391011858E+003    1.6115041234E+003    1.2595205749E+003
    7.9432823472E-002    8.9716411736E-002    1.0000000000E-001   -1.4891963405E+003    9.3976178486E+002   -9.8858528597E+002    6.2577168174E+002   -2.3151191259E+003    1.4560571876E+003   -1.1110654341E+003    7.0114115050E+002   -1.3250323022E+003    8.3874168865E+002   -2.0444099083E+003    1.2901309601E+003   -1.6863873120E+003    1.0606263580E+003
    1.0000000000E-001    1.1294627059E-001    1.2589254118E-001    7.7440315919E+002    6.5458767883E+002    5.2133673836E+002    4.3866640172E+002    1.1847614732E+003    1.0067580269E+003    5.7776973988E+002    4.8837733735E+002    6.9876421232E+002    5.8795853066E+002    1.0631220670E+003    8.9863606304E+002    8.6300816830E+002    7.3334626450E+002
    1.2589254118E-001    1.4219093021E-001    1.5848931925E-001    2.0008132185E+002    2.6333254442E+002    1.2864277490E+002    1.7604570106E+002    3.2189863259E+002    4.0621186937E+002    1.4927745569E+002    1.9646817537E+002    1.7242400288E+002    2.3595965252E+002    2.7467717033E+002    3.6151019740E+002    2.3447854743E+002    2.9589429539E+002
    1.5848931925E-001    1.7900777537E-001    1.9952623150E-001   -3.6710498905E+001    2.6411207738E+002   -2.1692106426E+001    1.7569071840E+002   -6.4233039609E+001    4.0973355887E+002   -2.7389112701E+001    1.9704977237E+002   -2.9074620193E+001    2.3548385798E+002   -5.0397187841E+001    3.6258036179E+002   -4.6788859285E+001    2.9845957699E+002
    1.9952623150E-001    2.2535743732E-001    2.5118864315E-001   -1.1180373201E+002    1.9439920414E+002   -7.4428523679E+001    1.2924438370E+002   -1.7307649435E+002    3.0173884347E+002   -8.3414965958E+001    1.4503811906E+002   -9.9758917597E+001    1.7323035828E+002   -1.5348725437E+002    2.6687660204E+002   -1.2607299590E+002    2.1979368209E+002
    2.5118864315E-001    2.8370820458E-001    3.1622776602E-001   -2.1834299643E+002    2.5602819933E+002   -1.4821838835E+002    1.7028139580E+002   -3.3045798809E+002    3.9717634892E+002   -1.6290219733E+002    1.9101852100E+002   -1.9866182021E+002    2.2823357085E+002   -2.9974730207E+002    3.5148259051E+002   -2.4071338362E+002    2.8931260943E+002
    3.1622776602E-001    3.5716746829E-001    3.9810717055E-001    9.6081509857E+000    2.2051451803E+002    7.3386586062E+000    1.4719421167E+002    1.2248445885E+001    3.4067623940E+002    7.1684868919E+000    1.6452233466E+002    9.8362375470E+000    1.9728908363E+002    1.3190335312E+001    3.0272842697E+002    8.9220565379E+000    2.4815659860E+002
    3.9810717055E-001    4.4964720209E-001    5.0118723363E-001    1.0821354009E+002    1.1271652388E+002    7.2879011409E+001    7.5553501801E+001    1.6547247543E+002    1.7341902693E+002    8.0736381515E+001    8.4095985291E+001    9.7682057017E+001    1.0126676156E+002    1.4855853964E+002    1.5474036029E+002    1.2053404939E+002    1.2632250471E+002
