#labels: pt_diff_lower[1]   pt_diff_center[2]   pt_diff_upper[3]   tot_scale01[4]   tot_scale01_Err[5]   tot_scale02[6]   tot_scale02_Err[7]   tot_scale03[8]   tot_scale03_Err[9]   tot_scale04[10]  tot_scale04_Err[11]  tot_scale05[12]  tot_scale05_Err[13]  tot_scale06[14]  tot_scale06_Err[15]  tot_scale07[16]  tot_scale07_Err[17] 
#neval: 200
#overflow:lower center upper   -1.3236027986E-002    9.8681086559E-003   -9.1851104313E-003    6.8497529569E-003   -1.9587897700E-002    1.4599590846E-002   -9.8751875632E-003    7.3624371279E-003   -1.2311095657E-002    9.1809417549E-003   -1.8170785159E-002    1.3547212389E-002   -1.4268286146E-002    1.0634685916E-002
    1.9952623150E-001    2.2535743732E-001    2.5118864315E-001   -1.6801847609E-002    1.6759790352E-002   -1.1584122056E-002    1.1555125459E-002   -2.5041344603E-002    2.4978662791E-002   -1.2535588223E-002    1.2504209981E-002   -1.5526567241E-002    1.5487702181E-002   -2.3066040922E-002    2.3008303558E-002   -1.8240705345E-002    1.8195046437E-002
    2.5118864315E-001    2.8370820458E-001    3.1622776602E-001   -3.1958036442E-002    2.3928241550E-002   -2.2702929315E-002    1.6967297728E-002   -4.6084451866E-002    3.4576119165E-002   -2.3843376906E-002    1.7852476107E-002   -3.0429458261E-002    2.2741808816E-002   -4.3872875978E-002    3.2849351550E-002   -3.3569000420E-002    2.5186059761E-002
    3.1622776602E-001    3.5716746829E-001    3.9810717055E-001    8.4427738159E-003    2.4946200732E-002    5.6944469457E-003    1.7625812295E-002    1.2862554084E-002    3.6204798608E-002    6.2990177320E-003    1.8611959077E-002    7.6324483618E-003    2.3624436834E-002    1.1590473314E-002    3.4246834059E-002    9.3693874169E-003    2.6372428237E-002
    3.9810717055E-001    4.4964720209E-001    5.0118723363E-001    4.1764612715E-002    5.7718660745E-002    2.9715561938E-002    4.0695732804E-002    6.0111058488E-002    8.3936889053E-002    3.1159905713E-002    4.3062964308E-002    3.9828712813E-002    5.4545785067E-002    5.7335615012E-002    7.9237773232E-002    4.3786311129E-002    6.1141607413E-002
    5.0118723363E-001    5.6607228905E-001    6.3095734448E-001   -1.8549175299E-002    1.7686903979E-002   -1.3481087594E-002    1.2559691170E-002   -2.6058325632E-002    2.5533177549E-002   -1.3839241305E-002    1.3195914544E-002   -1.8069130489E-002    1.6834153555E-002   -2.5464820684E-002    2.4281070777E-002   -1.8981498285E-002    1.8598968050E-002
    6.3095734448E-001    7.1264278960E-001    7.9432823472E-001   -3.3627276062E-002    5.1439356061E-002   -2.3602844229E-002    3.6321628700E-002   -4.9137525418E-002    7.4682279577E-002   -2.5088769735E-002    3.8378076094E-002   -3.1635642844E-002    4.8683034210E-002   -4.6164454279E-002    7.0617370157E-002   -3.5792931120E-002    5.4400331846E-002
    7.9432823472E-001    8.9716411736E-001    1.0000000000E+000    4.3441152714E-003    1.3636961297E-002    3.1793596133E-003    9.5634734980E-003    6.0470206092E-003    1.9952846010E-002    3.2410745237E-003    1.0174317457E-002    4.2613968140E-003    1.2818227710E-002    5.9637215474E-003    1.8721197492E-002    4.4047922704E-003    1.4534123093E-002
    1.0000000000E+000    1.1294627059E+000    1.2589254118E+000   -1.6109706533E-003    4.5964452834E-003   -1.1689326728E-003    3.2281361238E-003   -2.2695787138E-003    6.7197904451E-003   -1.2019192901E-003    3.4293338867E-003   -1.5667576411E-003    4.3267735224E-003   -2.2115850518E-003    6.3101271641E-003   -1.6532146030E-003    4.8948536684E-003
    1.2589254118E+000    1.4219093021E+000    1.5848931925E+000   -8.1855658948E-003    1.4417195754E-002   -5.6688114126E-003    1.0048993411E-002   -1.2133742154E-002    2.1234350945E-002   -6.1071190395E-003    1.0756437834E-002   -7.5980882414E-003    1.3468985492E-002   -1.1237371169E-002    1.9792324926E-002   -8.8385036377E-003    1.5467601478E-002
    1.5848931925E+000    1.7900777537E+000    1.9952623150E+000    3.6415926037E-002    2.0441534616E-002    2.5746607537E-002    1.4500922782E-002    5.2803952825E-002    2.9538301202E-002    2.7169336623E-002    1.5251100151E-002    3.4508996991E-002    1.9436048029E-002    4.9992790064E-002    2.8062703873E-002    3.8463643219E-002    2.1516394474E-002
    1.9952623150E+000    2.2535743732E+000    2.5118864315E+000   -1.7933093789E-002    1.3741997922E-002   -1.2777751854E-002    9.8201022497E-003   -2.5779363429E-002    1.9692120024E-002   -1.3379592801E-002    1.0252683593E-002   -1.7126427225E-002    1.3162195388E-002   -2.4619046955E-002    1.8865394675E-002   -1.8778295644E-002    1.4344204142E-002
    2.5118864315E+000    2.8370820458E+000    3.1622776602E+000    3.0586818246E-003    2.2317364886E-003    2.1865249470E-003    1.5950846462E-003    4.3803287667E-003    3.1966787309E-003    2.2820333068E-003    1.6650626940E-003    2.9306689321E-003    2.1379426854E-003    4.1990429729E-003    3.0637895529E-003    3.1907346676E-003    2.3285360965E-003
    3.1622776602E+000    3.5716746829E+000    3.9810717055E+000    5.1606040709E-004    5.8023711928E-004    3.5919916556E-004    4.0604348906E-004    7.6123075125E-004    8.5118808676E-004    3.8502436828E-004    4.3290558089E-004    4.8144606647E-004    5.4423300321E-004    7.0846199450E-004    7.9656555930E-004    5.5449841266E-004    6.2002545511E-004
    3.9810717055E+000    4.4964720209E+000    5.0118723363E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000
    5.0118723363E+000    5.6607228905E+000    6.3095734448E+000    1.5358348903E-003    1.5609244191E-003    1.0429049363E-003    1.0603156016E-003    2.3273727251E-003    2.3645006248E-003    1.1458617059E-003    1.1645805998E-003    1.3978386572E-003    1.4211747258E-003    2.1084365990E-003    2.1428801978E-003    1.6953131224E-003    1.7223579592E-003
    6.3095734448E+000    7.1264278960E+000    7.9432823472E+000    6.7165598208E-003    8.0416488523E-003    4.5063037274E-003    5.4072288344E-003    1.0312406039E-002    1.2317705547E-002    5.0111172384E-003    5.9997448492E-003    6.0399422157E-003    7.2474807918E-003    9.2206790163E-003    1.1039797874E-002    7.5117995033E-003    8.9725069069E-003
    7.9432823472E+000    8.9716411736E+000    1.0000000000E+001    3.3109846069E-003    2.4867606909E-003    2.3142265069E-003    1.7392583894E-003    4.8605265020E-003    3.6481672868E-003    2.4702723541E-003    1.8553321490E-003    3.1018313947E-003    2.3311833390E-003    4.5454112079E-003    3.4138938286E-003    3.5405220108E-003    2.6574109970E-003
    1.0000000000E+001    1.1294627059E+001    1.2589254118E+001   -1.2671982550E-003    1.8738842989E-003   -8.8074054375E-004    1.3098102411E-003   -1.8705341697E-003    2.7498210178E-003   -9.4543623365E-004    1.3980749317E-003   -1.1804845641E-003    1.7555803266E-003   -1.7396447990E-003    2.5725201732E-003   -1.3625411562E-003    2.0030344110E-003
    1.2589254118E+001    1.4219093021E+001    1.5848931925E+001   -7.0493978483E-003    4.3846979981E-003   -4.8403805020E-003    2.9738560485E-003   -1.0560407639E-002    6.6583819395E-003   -5.2594423367E-003    3.2713526433E-003   -6.4877159424E-003    3.9859538498E-003   -9.6776082625E-003    6.0194346365E-003   -7.6924497112E-003    4.8501222662E-003
    1.5848931925E+001    1.7900777537E+001    1.9952623150E+001   -2.3319156439E-004    6.4656583537E-004   -1.6401085583E-004    4.5322410544E-004   -3.4007473947E-004    9.4590874937E-004   -1.7398047503E-004    4.8239236899E-004   -2.1982896668E-004    6.0747068400E-004   -3.2013182670E-004    8.8762345455E-004   -2.4771845188E-004    6.8902221723E-004
    1.9952623150E+001    2.2535743732E+001    2.5118864315E+001    3.5515152144E-003    2.1431549765E-003    2.4704344456E-003    1.4929864631E-003    5.2422130195E-003    3.1584181787E-003    2.6497283711E-003    1.5989734527E-003    3.3112018633E-003    2.0010972432E-003    4.8756182760E-003    2.9421824040E-003    3.8185514620E-003    2.3006662089E-003
    2.5118864315E+001    2.8370820458E+001    3.1622776602E+001   -2.0921530680E-003    1.7433582727E-003   -1.4468735261E-003    1.2098905144E-003   -3.1074442250E-003    2.5794294635E-003   -1.5609217492E-003    1.3006915633E-003   -1.9392906070E-003    1.6216547388E-003   -2.8721655740E-003    2.3933304358E-003   -2.2635355802E-003    1.8789171887E-003
    3.1622776602E+001    3.5716746829E+001    3.9810717055E+001    7.8784045269E-004    6.4998072799E-004    5.5089655506E-004    4.5239057056E-004    1.1561157062E-003    9.5878357991E-004    5.8779508840E-004    4.8494016544E-004    7.3838417484E-004    6.0635347069E-004    1.0815691551E-003    8.9231151355E-004    8.4214191678E-004    6.9840054711E-004
    3.9810717055E+001    4.4964720209E+001    5.0118723363E+001    2.6087867307E-004    4.5143448129E-004    1.8126569597E-004    3.1271632267E-004    3.8526282224E-004    6.6912348617E-004    1.9463738144E-004    3.3680800463E-004    2.4295617773E-004    4.1914363368E-004    3.5814145497E-004    6.1974173683E-004    2.8063451593E-004    4.8740531087E-004
    5.0118723363E+001    5.6607228905E+001    6.3095734448E+001   -5.2237014844E-004    5.5598441334E-004   -3.6247109807E-004    3.8606934315E-004   -7.7283785060E-004    8.2208752695E-004   -3.8973196480E-004    4.1481102712E-004   -4.8583154168E-004    5.1746102013E-004   -7.1712418186E-004    7.6327077407E-004   -5.6295329728E-004    5.9882792178E-004
    6.3095734448E+001    7.1264278960E+001    7.9432823472E+001    4.1664281201E-004    3.7742696074E-004    2.8943436261E-004    2.6059087143E-004    6.1589282002E-004    5.6163020007E-004    3.1085049985E-004    2.8159218405E-004    3.8793808211E-004    3.4927823346E-004    5.7197877135E-004    5.1814216652E-004    4.4863083961E-004    4.0910466889E-004
    7.9432823472E+001    8.9716411736E+001    1.0000000000E+002    3.3895687132E-004    4.0811116296E-004    2.3480547713E-004    2.8411162378E-004    5.0256777517E-004    6.0183911522E-004    2.5289026916E-004    3.0448517373E-004    3.1471724934E-004    3.8080384595E-004    4.6532936416E-004    5.6026628765E-004    3.6608220718E-004    4.3839378995E-004
#nx: 3
