#labels: pth_lower[1]   pth_center[2]   pth_upper[3]   tot_scale01[4]   tot_scale01_Err[5]   tot_scale02[6]   tot_scale02_Err[7]   tot_scale03[8]   tot_scale03_Err[9]   tot_scale04[10]  tot_scale04_Err[11]  tot_scale05[12]  tot_scale05_Err[13]  tot_scale06[14]  tot_scale06_Err[15]  tot_scale07[16]  tot_scale07_Err[17] 
#neval: 832000
#overflow:lower center upper    8.5249487717E+001    9.6001889115E-001    5.7392586669E+001    6.4135569587E-001    1.3059780973E+002    1.4845084356E+000    6.3603271446E+001    7.1625465164E-001    7.6925109369E+001    8.5962943846E-001    1.1703285365E+002    1.3179404756E+000    9.5130521293E+001    1.0813509173E+000
    1.0000000000E-002    1.1294627059E-002    1.2589254118E-002    2.8749275388E+002    4.9598438123E+001    1.9781502488E+002    3.4041605930E+001    4.2971185091E+002    7.4321990734E+001    2.1449371900E+002    3.7004596834E+001    2.6513776965E+002    4.5627047172E+001    3.9467800090E+002    6.8090107115E+001    3.1301223557E+002    5.4137888965E+001
    1.2589254118E-002    1.4219093021E-002    1.5848931925E-002    4.3614277587E+002    1.0095479816E+002    2.9777545604E+002    6.7880549835E+001    6.5756359046E+002    1.5483558371E+002    3.2539910920E+002    7.5320750933E+001    3.9911791493E+002    9.0982459986E+001    5.9874886086E+002    1.3859353804E+002    4.7898481050E+002    1.1278588687E+002
    1.5848931925E-002    1.7900777537E-002    1.9952623150E-002    6.1844445369E+002    1.3362025304E+002    4.2373253906E+002    9.1528782469E+001    9.2875641083E+002    2.0076780686E+002    4.6141145848E+002    9.9691921349E+001    5.6794219955E+002    1.2267893835E+002    8.4901764430E+002    1.8343757760E+002    6.7652804975E+002    1.4624400031E+002
    1.9952623150E-002    2.2535743732E-002    2.5118864315E-002    5.2337781495E+002    7.4011543273E+001    3.6054572744E+002    5.0919728594E+001    7.8131581750E+002    1.1066084245E+002    3.9048376858E+002    5.5218821872E+001    4.8325090619E+002    6.8249331813E+001    7.1850753431E+002    1.0160509282E+002    5.6912884809E+002    8.0607964641E+001
    2.5118864315E-002    2.8370820458E-002    3.1622776602E-002    6.8453126799E+002    1.7824300647E+002    4.6595961606E+002    1.1872938995E+002    1.0357140425E+003    2.7618516050E+002    5.1071776755E+002    1.3298423987E+002    6.2454049395E+002    1.5913677771E+002    9.3974345010E+002    2.4469692720E+002    7.5443850842E+002    2.0117977741E+002
    3.1622776602E-002    3.5716746829E-002    3.9810717055E-002    5.9565505932E+002    7.5529401673E+001    4.0737823860E+002    5.1048296752E+001    8.9648296240E+002    1.1523369829E+002    4.4440865794E+002    5.6351271608E+001    5.4602201048E+002    6.8421655805E+001    8.1773173365E+002    1.0368885080E+002    6.5301930961E+002    8.3938940569E+001
    3.9810717055E-002    4.4964720209E-002    5.0118723363E-002    7.3865747218E+002    8.2623836861E+001    5.0439930476E+002    5.5933131703E+001    1.1137123478E+003    1.2582791061E+002    5.5110045781E+002    6.1644315579E+001    6.7606243135E+002    7.4968955459E+001    1.0140493996E+003    1.1342828756E+002    8.1125431151E+002    9.1656014405E+001
    5.0118723363E-002    5.6607228905E-002    6.3095734448E-002    6.4913849042E+002    1.1119839786E+002    4.4450182160E+002    7.5549743223E+001    9.7567179681E+002    1.6859177137E+002    4.8431178554E+002    8.2963335882E+001    5.9577992954E+002    1.0126172382E+002    8.9115526653E+002    1.5265623491E+002    7.1070232215E+002    1.2280621803E+002
    6.3095734448E-002    7.1264278960E-002    7.9432823472E-002    5.5866996473E+002    7.7395290352E+001    3.8123677787E+002    5.1524133192E+001    8.4297386000E+002    1.2003533057E+002    4.1681467381E+002    5.7743381137E+001    5.1098377919E+002    6.9059434520E+001    7.6695757326E+002    1.0625039436E+002    6.1404201882E+002    8.7436562638E+001
    7.9432823472E-002    8.9716411736E-002    1.0000000000E-001    4.4849764085E+002    3.8767714020E+001    3.0669345923E+002    2.6349795158E+001    6.7507037944E+002    5.8775998033E+001    3.3461687522E+002    2.8923967806E+001    4.1107099825E+002    3.5317468546E+001    6.1570996108E+002    5.3221389627E+001    4.9173716802E+002    4.2813821641E+001
