#labels: pth_lower[1]   pth_center[2]   pth_upper[3]   tot_scale01[4]   tot_scale01_Err[5]   tot_scale02[6]   tot_scale02_Err[7]   tot_scale03[8]   tot_scale03_Err[9]   tot_scale04[10]  tot_scale04_Err[11]  tot_scale05[12]  tot_scale05_Err[13]  tot_scale06[14]  tot_scale06_Err[15]  tot_scale07[16]  tot_scale07_Err[17] 
#neval: 3657580
#overflow:lower center upper    4.1495817584E+002    3.9114110394E+000    2.7261147053E+002    2.5777175449E+000    6.5267802265E+002    6.1322158174E+000    3.0959361990E+002    2.9182408568E+000    3.6538982477E+002    3.4549968136E+000    5.6966605623E+002    5.3696932146E+000    4.7542604781E+002    4.4668504672E+000
    1.0000000000E-002    1.1294627059E-002    1.2589254118E-002    8.6515682645E+003    4.1445532833E+002    5.8065045258E+003    2.7844116881E+002    1.3282323188E+004    6.3560172427E+002    6.4547959114E+003    3.0921845346E+002    7.7826427006E+003    3.7320355479E+002    1.1877112105E+004    5.6897573328E+002    9.6751571215E+003    4.6298726978E+002
    1.2589254118E-002    1.4219093021E-002    1.5848931925E-002    1.1305801198E+004    9.2411630734E+002    7.5708026117E+003    6.1273433876E+002    1.7401011012E+004    1.4378030703E+003    8.4350764069E+003    6.8946831140E+002    1.0147387541E+004    8.2126732318E+002    1.5520916459E+004    1.2686524160E+003    1.2675306363E+004    1.0473296289E+003
    1.5848931925E-002    1.7900777537E-002    1.9952623150E-002    1.5132136196E+004    9.9531594744E+002    1.0135833392E+004    6.6521715571E+002    2.3284313305E+004    1.5354118456E+003    1.1289843397E+004    7.4258921754E+002    1.3585379880E+004    8.9161171203E+002    2.0773814932E+004    1.3663972504E+003    1.6960842355E+004    1.1184301603E+003
    1.9952623150E-002    2.2535743732E-002    2.5118864315E-002    1.6339689618E+004    8.0707582146E+002    1.0959519779E+004    5.4097048287E+002    2.5103825197E+004    1.2410113408E+003    1.2190779580E+004    6.0214628762E+002    1.4689392944E+004    7.2507994457E+002    2.2431577654E+004    1.1079760011E+003    1.8286217682E+004    9.0398189699E+002
    2.5118864315E-002    2.8370820458E-002    3.1622776602E-002    1.8884334178E+004    9.4328069321E+002    1.2656532048E+004    6.3227449518E+002    2.9038269526E+004    1.4502471429E+003    1.4089297953E+004    7.0376655141E+002    1.6963952464E+004    8.4745761633E+002    2.5924936059E+004    1.2949618147E+003    2.1152159621E+004    1.0563941845E+003
    3.1622776602E-002    3.5716746829E-002    3.9810717055E-002    1.7997752206E+004    7.4947232662E+002    1.2056577476E+004    5.0201253347E+002    2.7691883989E+004    1.1536769805E+003    1.3427833406E+004    5.5916924674E+002    1.6159814268E+004    6.7286336587E+002    2.4707811816E+004    1.0288963308E+003    2.0171420677E+004    8.4036549148E+002
    3.9810717055E-002    4.4964720209E-002    5.0118723363E-002    1.7446577739E+004    1.4570339761E+003    1.1679675371E+004    9.7029474422E+002    2.6861982480E+004    2.2566811645E+003    1.3016611002E+004    1.0870696115E+003    1.5654640389E+004    1.3005169074E+003    2.3951144270E+004    2.0002565254E+003    1.9566900867E+004    1.6438197243E+003
    5.0118723363E-002    5.6607228905E-002    6.3095734448E-002    1.6675779789E+004    6.7535145939E+002    1.1166477911E+004    4.4916604920E+002    2.5668166036E+004    1.0476041385E+003    1.2441531051E+004    5.0386886002E+002    1.4966785511E+004    6.0203154214E+002    2.2892971533E+004    9.2714115505E+002    1.8697296844E+004    7.6309953447E+002
    6.3095734448E-002    7.1264278960E-002    7.9432823472E-002    1.4277922667E+004    4.9918372701E+002    9.5644469002E+003    3.3378957410E+002    2.1968203011E+004    7.6974120519E+002    1.0652528425E+004    3.7243294875E+002    1.2819532392E+004    4.4738878285E+002    1.9601126983E+004    6.8529322148E+002    1.6002156611E+004    5.6069762780E+002
    7.9432823472E-002    8.9716411736E-002    1.0000000000E-001    1.2056256627E+004    3.7137100980E+002    8.0739028367E+003    2.4760705980E+002    1.8556485577E+004    5.7485616976E+002    8.9949791302E+003    2.7707393647E+002    1.0821708775E+004    3.3187561777E+002    1.6551162420E+004    5.0982838963E+002    1.3516981257E+004    4.1873877680E+002
    1.0000000000E-001    1.1294627059E-001    1.2589254118E-001    1.1113652031E+004    6.7469536943E+002    7.4331921042E+003    4.4373919769E+002    1.7129944370E+004    1.0597424937E+003    8.2917170043E+003    5.0337936185E+002    9.9629438011E+003    5.9475776046E+002    1.5257128770E+004    9.2624045661E+002    1.2477855035E+004    7.7194139835E+002
    1.2589254118E-001    1.4219093021E-001    1.5848931925E-001    8.7190673793E+003    2.4987167592E+002    5.8395315124E+003    1.6731765176E+002    1.3418564670E+004    3.8474227035E+002    6.5051559151E+003    1.8642523792E+002    7.8269098211E+003    2.2426117044E+002    1.1969776756E+004    3.4303074496E+002    9.7743986265E+003    2.8025533367E+002
    1.5848931925E-001    1.7900777537E-001    1.9952623150E-001    7.2895147764E+003    1.7774903014E+002    4.8798166792E+003    1.1889175787E+002    1.1224195263E+004    2.7400017564E+002    5.4385897142E+003    1.3261569208E+002    6.5405735051E+003    1.5935440460E+002    1.0007247420E+004    2.4401878285E+002    8.1759682545E+003    1.9958818297E+002
    1.9952623150E-001    2.2535743732E-001    2.5118864315E-001    6.0282703531E+003    1.6645323681E+002    4.0343649622E+003    1.1047573366E+002    9.2854978736E+003    2.5903606472E+002    4.4975955386E+003    1.2418808239E+002    5.4073876779E+003    1.4807413967E+002    8.2757762058E+003    2.2851160547E+002    6.7637754035E+003    1.8868797204E+002
    2.5118864315E-001    2.8370820458E-001    3.1622776602E-001    4.8021653703E+003    1.1231835793E+002    3.2145513518E+003    7.5044303101E+001    7.3947219894E+003    1.7334981454E+002    3.5828183343E+003    8.3798920075E+001    4.3085654205E+003    1.0058426634E+002    6.5925453870E+003    1.5419374705E+002    5.3864897056E+003    1.2627208877E+002
    3.1622776602E-001    3.5716746829E-001    3.9810717055E-001    4.2182211125E+003    1.3492635834E+002    2.8259205409E+003    9.0595121702E+001    6.4897304005E+003    2.0710006129E+002    3.1471469169E+003    1.0066638551E+002    3.7876711837E+003    1.2142752313E+002    5.7908905653E+003    1.8523063507E+002    4.7272725120E+003    1.5085656361E+002
    3.9810717055E-001    4.4964720209E-001    5.0118723363E-001    3.3152291835E+003    8.4330353090E+001    2.2208046447E+003    5.6599927069E+001    5.1008286123E+003    1.2947132831E+002    2.4734391644E+003    6.2917519887E+001    2.9766151013E+003    7.5862682497E+001    4.5512382801E+003    1.1577104022E+002    3.7155637291E+003    9.4309965689E+001
    5.0118723363E-001    5.6607228905E-001    6.3095734448E-001    2.6255949020E+003    6.3477144330E+001    1.7571667705E+003    4.2390996989E+001    4.0441112786E+003    9.8021623812E+001    1.9589141206E+003    4.7359276279E+001    2.3551865118E+003    5.6818001574E+001    3.6044892719E+003    8.7143178703E+001    2.9458259285E+003    7.1401260027E+001
    6.3095734448E-001    7.1264278960E-001    7.9432823472E-001    2.1396354077E+003    9.5434632538E+001    1.4287413686E+003    6.0137969598E+001    3.3045005826E+003    1.5738773452E+002    1.5963475591E+003    7.1202244157E+001    1.9149874995E+003    8.0604833430E+001    2.9373506427E+003    1.3101530205E+002    2.4070760734E+003    1.1464493364E+002
    7.9432823472E-001    8.9716411736E-001    1.0000000000E+000    1.6682018374E+003    3.9091779776E+001    1.1166798418E+003    2.6198218897E+001    2.5688861327E+003    6.0127505258E+001    1.2446185559E+003    2.9165748053E+001    1.4967215097E+003    3.5114306061E+001    2.2901536036E+003    5.3666276056E+001    1.8712371781E+003    4.3798291344E+001
