#labels: ptj1_lower[1]   ptj1_center[2]   ptj1_upper[3]   tot_scale01[4]   tot_scale01_Err[5]   tot_scale02[6]   tot_scale02_Err[7]   tot_scale03[8]   tot_scale03_Err[9]   tot_scale04[10]  tot_scale04_Err[11]  tot_scale05[12]  tot_scale05_Err[13]  tot_scale06[14]  tot_scale06_Err[15]  tot_scale07[16]  tot_scale07_Err[17] 
#neval: 2083630
#overflow:lower center upper    3.5346190382E+002    4.2833531272E+000    2.3135870351E+002    2.8015685757E+000    5.5821895112E+002    6.7739037799E+000    2.6371224058E+002    3.1957408654E+000    3.1009742902E+002    3.7550314701E+000    4.8524227381E+002    5.8803055959E+000    4.0661983480E+002    4.9342710963E+000
    1.0000000000E-002    1.1294627059E-002    1.2589254118E-002    6.0492715591E+003    9.3262633774E+002    4.0623090486E+003    6.2664548122E+002    9.2807011800E+003    1.4299924752E+003    4.5132642005E+003    6.9581750818E+002    5.4448420257E+003    8.3991286988E+002    8.3046072420E+003    1.2803352210E+003    6.7602813789E+003    1.0416402074E+003
    1.2589254118E-002    1.4219093021E-002    1.5848931925E-002    1.4395558431E+004    1.0605147267E+003    9.6501061076E+003    7.0997580036E+002    2.2129967100E+004    1.6327484800E+003    1.0740294576E+004    7.9123297794E+002    1.2934344152E+004    9.5160314707E+002    1.9762620611E+004    1.4559039371E+003    1.6119989384E+004    1.1893324579E+003
    1.5848931925E-002    1.7900777537E-002    1.9952623150E-002    2.1623366332E+004    2.0224280231E+003    1.4482488021E+004    1.3402010355E+003    3.3274869730E+004    3.1494003934E+003    1.6132845783E+004    1.5089010149E+003    1.9411339331E+004    1.7963140750E+003    2.9685155127E+004    2.7764451047E+003    2.4238199018E+004    2.2940974417E+003
    1.9952623150E-002    2.2535743732E-002    2.5118864315E-002    2.1838880128E+004    9.9954706916E+002    1.4627007086E+004    6.6837800462E+002    3.3607378943E+004    1.5412755917E+003    1.6293637159E+004    7.4574598940E+002    1.9605042831E+004    8.9584829836E+002    2.9981018425E+004    1.3722058513E+003    2.4480406561E+004    1.1227014511E+003
    2.5118864315E-002    2.8370820458E-002    3.1622776602E-002    2.0138449312E+004    9.6922645540E+002    1.3488027103E+004    6.4586094077E+002    3.0990370736E+004    1.5004677342E+003    1.5024973081E+004    7.2312426721E+002    1.8078431733E+004    8.6566796149E+002    2.7646619988E+004    1.3305808744E+003    2.2574116131E+004    1.0929760464E+003
    3.1622776602E-002    3.5716746829E-002    3.9810717055E-002    1.8988985185E+004    9.6476651940E+002    1.2724308595E+004    6.4477703528E+002    2.9206715364E+004    1.4888225800E+003    1.4167376386E+004    7.1979678070E+002    1.7054795525E+004    8.6421516849E+002    2.6068603855E+004    1.3244581510E+003    2.1274859538E+004    1.0844934417E+003
    3.9810717055E-002    4.4964720209E-002    5.0118723363E-002    1.7127453530E+004    6.7101966233E+002    1.1475753924E+004    4.4967456251E+002    2.6346695333E+004    1.0324950931E+003    1.2778517563E+004    5.0063697591E+002    1.5381317988E+004    6.0271311870E+002    2.3513041733E+004    9.2119434428E+002    1.9191553569E+004    7.5209374982E+002
    5.0118723363E-002    5.6607228905E-002    6.3095734448E-002    1.6735842428E+004    7.9825267291E+002    1.1215883284E+004    5.3551437546E+002    2.5736808891E+004    1.2264556556E+003    1.2486342820E+004    5.9556347841E+002    1.5033005104E+004    7.1776695027E+002    2.2975427185E+004    1.0958633388E+003    1.8747297917E+004    8.9337919296E+002
    6.3095734448E-002    7.1264278960E-002    7.9432823472E-002    1.5232478072E+004    6.3943857041E+002    1.0204686199E+004    4.2856365481E+002    2.3435084160E+004    9.8351578600E+002    1.1364706857E+004    4.7707483125E+002    1.3677665489E+004    5.7441749765E+002    2.0911567033E+004    8.7783894817E+002    1.7070667397E+004    7.1641606868E+002
    7.9432823472E-002    8.9716411736E-002    1.0000000000E-001    1.3037749616E+004    6.3153219053E+002    8.7278822464E+003    4.1976681704E+002    2.0074908921E+004    9.8011873938E+002    9.7272552605E+003    4.7117600841E+002    1.1698258178E+004    5.6262681619E+002    1.7898583130E+004    8.6698485128E+002    1.4623036593E+004    7.1394157989E+002
    1.0000000000E-001    1.1294627059E-001    1.2589254118E-001    1.1664069704E+004    5.1038612691E+002    7.8064908694E+003    3.3993661870E+002    1.7965586631E+004    7.9096093662E+002    8.7023747758E+003    3.8079087912E+002    1.0463288009E+004    4.5562786224E+002    1.6012757369E+004    7.0067218579E+002    1.3086556544E+004    5.7615458008E+002
    1.2589254118E-001    1.4219093021E-001    1.5848931925E-001    7.7884636151E+003    2.3018363411E+002    5.2154697312E+003    1.5427151838E+002    1.1988468033E+004    3.5405233973E+002    5.8108474165E+003    1.7173630663E+002    6.9904599666E+003    2.0677502293E+002    1.0692218180E+004    3.1600245684E+002    8.7326825452E+003    2.5790006520E+002
    1.5848931925E-001    1.7900777537E-001    1.9952623150E-001    7.2806169590E+003    3.3084262062E+002    4.8769417497E+003    2.2253762093E+002    1.1202695665E+004    5.0675436210E+002    5.4319511957E+003    2.4683635724E+002    6.5367201455E+003    2.9827425147E+002    9.9950322503E+003    4.5418989647E+002    8.1603074410E+003    3.6913181572E+002
    1.9952623150E-001    2.2535743732E-001    2.5118864315E-001    6.0592646964E+003    2.4484578012E+002    4.0556911863E+003    1.6311376249E+002    9.3313392190E+003    3.7918126757E+002    4.5207199195E+003    1.8267549791E+002    5.4359718943E+003    2.1862656395E+002    8.3183260971E+003    3.3613105626E+002    6.7971673194E+003    2.7620456824E+002
    2.5118864315E-001    2.8370820458E-001    3.1622776602E-001    4.8753718721E+003    1.9630956393E+002    3.2642307342E+003    1.3100289005E+002    7.5054809465E+003    3.0335023421E+002    3.6374365276E+003    1.4646340778E+002    4.3751522769E+003    1.7558734028E+002    6.6930452965E+003    2.6949919679E+002    5.4671691393E+003    2.2096745708E+002
    3.1622776602E-001    3.5716746829E-001    3.9810717055E-001    4.0633986471E+003    1.1691131208E+002    2.7209191545E+003    7.8284907636E+001    6.2548511261E+003    1.7997174576E+002    3.0316363660E+003    8.7225649284E+001    3.6469344856E+003    1.0492775167E+002    5.5783460044E+003    1.6049908150E+002    4.5561809151E+003    1.3109565947E+002
    3.9810717055E-001    4.4964720209E-001    5.0118723363E-001    3.1827235759E+003    9.3027851566E+001    2.1311512828E+003    6.2297614115E+001    4.8992364199E+003    1.4321471860E+002    2.3745788621E+003    6.9406583590E+001    2.8564498488E+003    8.3499473668E+001    4.3693309184E+003    1.2771120659E+002    3.5687192269E+003    1.0432097496E+002
    5.0118723363E-001    5.6607228905E-001    6.3095734448E-001    2.6002541112E+003    6.0187356157E+001    1.7410939267E+003    4.0350213177E+001    4.0027920998E+003    9.2535239779E+001    1.9400077642E+003    4.4904818243E+001    2.3336435681E+003    5.4082674121E+001    3.5697007337E+003    8.2626866546E+001    2.9157280653E+003    6.7404848646E+001
    6.3095734448E-001    7.1264278960E-001    7.9432823472E-001    2.0533467562E+003    6.1684167265E+001    1.3730842677E+003    4.1189223608E+001    3.1656524387E+003    9.5265171776E+001    1.5319689842E+003    4.6021564933E+001    1.8403885170E+003    5.5207226486E+001    2.8188911962E+003    8.4681730218E+001    2.3059358143E+003    6.9393395426E+001
    7.9432823472E-001    8.9716411736E-001    1.0000000000E+000    1.6581416154E+003    4.7610052290E+001    1.1100959291E+003    3.1952984001E+001    2.5529810208E+003    7.3116489363E+001    1.2371127861E+003    3.5521094149E+001    1.4878968821E+003    4.2827600769E+001    2.2763426526E+003    6.5360396070E+001    1.8596515199E+003    5.3259773366E+001
    1.0000000000E+000    1.1294627059E+000    1.2589254118E+000    1.3791601419E+003    5.2039470838E+001    9.2239584749E+002    3.4761740136E+001    2.1258539498E+003    8.0337888423E+001    1.0289691964E+003    3.8825812075E+001    1.2363164926E+003    4.6592265954E+001    1.8933491728E+003    7.1441224314E+001    1.5485220990E+003    5.8520010567E+001
    1.2589254118E+000    1.4219093021E+000    1.5848931925E+000    1.0170457412E+003    2.0901494723E+001    6.8048155697E+002    1.3985072706E+001    1.5669708627E+003    3.2206450828E+001    7.5880146712E+002    1.5594268988E+001    9.1207107455E+002    1.8744637764E+001    1.3962285120E+003    2.8694149825E+001    1.1414184919E+003    2.3459937519E+001
    1.5848931925E+000    1.7900777537E+000    1.9952623150E+000    8.0425443942E+002    1.9897019756E+001    5.3767299928E+002    1.3280208196E+001    1.2402824542E+003    3.0748040491E+001    6.0004129986E+002    1.4844846373E+001    7.2066022243E+002    1.7799885442E+001    1.1041027298E+003    2.7315178819E+001    9.0345095881E+002    2.2397597071E+001
    1.9952623150E+000    2.2535743732E+000    2.5118864315E+000    6.2973515260E+002    1.6992224143E+001    4.2106350231E+002    1.1328894587E+001    9.7097315637E+002    2.6287444726E+001    4.6983526731E+002    1.2677625093E+001    5.6436480470E+002    1.5184477747E+001    8.6451782792E+002    2.3327395092E+001    7.0727972176E+002    1.9148394031E+001
    2.5118864315E+000    2.8370820458E+000    3.1622776602E+000    4.8739645183E+002    1.3394314033E+001    3.2572404644E+002    8.8733060038E+000    7.5194701703E+002    2.0887370077E+001    3.6363865236E+002    9.9932822366E+000    4.3657829959E+002    1.1893174266E+001    6.6911132423E+002    1.8388084620E+001    5.4773592195E+002    1.5214852439E+001
    3.1622776602E+000    3.5716746829E+000    3.9810717055E+000    3.8559422368E+002    8.5639013001E+000    2.5775121171E+002    5.7173557451E+000    5.9471598873E+002    1.3231197067E+001    2.8768564755E+002    6.3893889995E+000    3.4547214722E+002    7.6631537542E+000    5.2935441089E+002    1.1756760473E+001    4.3320513681E+002    9.6379156507E+000
    3.9810717055E+000    4.4964720209E+000    5.0118723363E+000    2.8049955506E+002    7.6335718007E+000    1.8750363761E+002    5.1246617543E+000    4.3262536683E+002    1.1719708709E+001    2.0927620586E+002    5.6952851254E+000    2.5131708932E+002    6.8687471468E+000    3.8507754422E+002    1.0479578415E+001    3.1513450920E+002    8.5369119222E+000
    5.0118723363E+000    5.6607228905E+000    6.3095734448E+000    2.2226943003E+002    6.2643117600E+000    1.4831422446E+002    4.1092678961E+000    3.4350742380E+002    9.8704126591E+000    1.6583164628E+002    4.6737022352E+000    1.9879027241E+002    5.5077824626E+000    3.0513761869E+002    8.5998203750E+000    2.5021890002E+002    7.1898411129E+000
    6.3095734448E+000    7.1264278960E+000    7.9432823472E+000    1.6556969758E+002    2.7253889994E+000    1.1057139422E+002    1.8185835229E+000    2.5563659530E+002    4.2130573675E+000    1.2352888798E+002    2.0333688913E+000    1.4820235656E+002    2.4375053386E+000    2.2729865839E+002    3.7414893678E+000    1.8621171843E+002    3.0688902398E+000
    7.9432823472E+000    8.9716411736E+000    1.0000000000E+001    1.2891759925E+002    2.3125652302E+000    8.6084638062E+001    1.5431894265E+000    1.9906810864E+002    3.5738520400E+000    9.6183347006E+001    1.7253677179E+000    1.1538197845E+002    2.0683858718E+000    1.7698164446E+002    3.1747534841E+000    1.4500590008E+002    2.6032780205E+000
    1.0000000000E+001    1.1294627059E+001    1.2589254118E+001    9.3900491894E+001    1.4835696303E+000    6.2643190524E+001    9.8874058473E-001    1.4514880137E+002    2.2961162819E+000    7.0057646501E+001    1.1068674362E+000    8.3962660721E+001    1.3252404541E+000    1.2890919136E+002    2.0366854051E+000    1.0572980640E+002    1.6725451928E+000
    1.2589254118E+001    1.4219093021E+001    1.5848931925E+001    7.0524456112E+001    1.1663802269E+000    4.7050146774E+001    7.7887909003E-001    1.0901300458E+002    1.8014825189E+000    5.2617162236E+001    8.7021752470E-001    6.3062808222E+001    1.0439564178E+000    9.6817923157E+001    1.6012390227E+000    7.9407640716E+001    1.3122423070E+000
    1.5848931925E+001    1.7900777537E+001    1.9952623150E+001    5.5259673925E+001    1.0814166092E+000    3.6831772303E+001    7.1790826720E-001    8.5507538604E+001    1.6813754719E+000    4.1228353798E+001    8.0682753627E-001    4.9366795907E+001    9.6223528468E-001    7.5862008141E+001    1.4845986193E+000    6.2285705548E+001    1.2247535044E+000
    1.9952623150E+001    2.2535743732E+001    2.5118864315E+001    3.8784638693E+001    7.3656890410E-001    2.5832672003E+001    4.8813477547E-001    6.0061871490E+001    1.1472377886E+000    2.8936595032E+001    5.4954221076E-001    3.4624351932E+001    6.5426256543E-001    5.3244624286E+001    1.0111821556E+000    4.3750482160E+001    8.3567503240E-001
    2.5118864315E+001    2.8370820458E+001    3.1622776602E+001    2.8890821236E+001    5.5003577602E-001    1.9233456655E+001    3.6564722170E-001    4.4764647990E+001    8.5380324376E-001    2.1554976981E+001    4.1037284451E-001    2.5779213703E+001    4.9008860120E-001    3.9662118145E+001    7.5510432029E-001    3.2607624184E+001    6.2193039707E-001
    3.1622776602E+001    3.5716746829E+001    3.9810717055E+001    2.1959046536E+001    6.0124307367E-001    1.4614539906E+001    4.0087572528E-001    3.4035180629E+001    9.3013098753E-001    1.6383291383E+001    4.4857778555E-001    1.9588332674E+001    5.3730648505E-001    3.0145986191E+001    8.2540311424E-001    2.4792027388E+001    6.7752932381E-001
    3.9810717055E+001    4.4964720209E+001    5.0118723363E+001    1.4434209748E+001    2.5226909564E-001    9.5913435561E+000    1.6729315123E-001    2.2412222042E+001    3.9274518954E-001    1.0769131702E+001    1.8821391421E-001    1.2855582835E+001    2.2422833160E-001    1.9815682209E+001    3.4632198904E-001    1.6325590534E+001    2.8608484854E-001
    5.0118723363E+001    5.6607228905E+001    6.3095734448E+001    1.0346493010E+001    2.0660439774E-001    6.8665713454E+000    1.3710185906E-001    1.6087930632E+001    3.2143477550E-001    7.7193519990E+000    1.5414421768E-001    9.2034839759E+000    1.8376198243E-001    1.4203951656E+001    2.8363222926E-001    1.1718827680E+001    2.3414066299E-001
    6.3095734448E+001    7.1264278960E+001    7.9432823472E+001    7.5132850866E+000    2.0023573661E-001    4.9749931412E+000    1.3161116143E-001    1.1712519671E+001    3.1496842810E-001    5.6055411430E+000    1.4939266206E-001    6.6681415443E+000    1.7640262576E-001    1.0314445488E+001    2.7488915518E-001    8.5316752580E+000    2.2943042321E-001
    7.9432823472E+001    8.9716411736E+001    1.0000000000E+002    4.9775049989E+000    1.0505257833E-001    3.2951126394E+000    6.9410700705E-002    7.7610733195E+000    1.6423567094E-001    3.7136364106E+000    7.8378038798E-002    4.4165442766E+000    9.3033369866E-002    6.8332564767E+000    1.4421908395E-001    5.6533486451E+000    1.1963313186E-001
#nx: 3
