#labels: ptj1_lower[1]   ptj1_center[2]   ptj1_upper[3]   tot_scale01[4]   tot_scale01_Err[5]   tot_scale02[6]   tot_scale02_Err[7]   tot_scale03[8]   tot_scale03_Err[9]   tot_scale04[10]  tot_scale04_Err[11]  tot_scale05[12]  tot_scale05_Err[13]  tot_scale06[14]  tot_scale06_Err[15]  tot_scale07[16]  tot_scale07_Err[17] 
#neval: 3636532
#overflow:lower center upper    3.5078089105E+002    3.3595902928E+000    2.2964847304E+002    2.2020732051E+000    5.5386766695E+002    5.3002448652E+000    2.6171198008E+002    2.5065362745E+000    3.0780515273E+002    2.9515087571E+000    4.8156170535E+002    4.6121384374E+000    4.0345025689E+002    3.8608232256E+000
    1.0000000000E-002    1.1294627059E-002    1.2589254118E-002    6.5802918068E+003    8.7836996088E+002    4.4169283006E+003    5.8921287167E+002    1.0100792969E+004    1.3492721180E+003    4.9094498652E+003    6.5533769818E+002    5.9201494883E+003    7.8974075270E+002    9.0336065192E+003    1.2058505668E+003    7.3576555582E+003    9.8284159757E+002
    1.2589254118E-002    1.4219093021E-002    1.5848931925E-002    1.5900528487E+004    1.2817764258E+003    1.0645366057E+004    8.5433037265E+002    2.4479761468E+004    1.9837462169E+003    1.1863128525E+004    9.5631277236E+002    1.4268322718E+004    1.1450861717E+003    2.1828685112E+004    1.7596581149E+003    1.7831634960E+004    1.4450074785E+003
    1.5848931925E-002    1.7900777537E-002    1.9952623150E-002    2.1648944889E+004    1.5011811531E+003    1.4486346418E+004    9.9736082007E+002    3.3358111571E+004    2.3371039278E+003    1.6151929533E+004    1.1200071101E+003    1.9416510863E+004    1.3367944297E+003    2.9720270078E+004    2.0608629905E+003    2.4298834336E+004    1.7024015596E+003
    1.9952623150E-002    2.2535743732E-002    2.5118864315E-002    2.1225644529E+004    1.3042373073E+003    1.4224286434E+004    8.7023794497E+002    3.2643546680E+004    2.0156351523E+003    1.5836111944E+004    9.7307047480E+002    1.9065263532E+004    1.1664075969E+003    2.9139151640E+004    1.7904930341E+003    2.3778328434E+004    1.4682361303E+003
    2.5118864315E-002    2.8370820458E-002    3.1622776602E-002    2.1511571411E+004    8.6578600589E+002    1.4402521989E+004    5.7701715127E+002    3.3120000462E+004    1.3409383990E+003    1.6049437390E+004    6.4594901179E+002    1.9304158315E+004    7.7339444075E+002    2.9531679968E+004    1.1885749655E+003    2.4125388594E+004    9.7677112030E+002
    3.1622776602E-002    3.5716746829E-002    3.9810717055E-002    1.9984254412E+004    6.6861803737E+002    1.3399898940E+004    4.4826152923E+002    3.0714118788E+004    1.0279703167E+003    1.4909930746E+004    4.9884516216E+002    1.7960310753E+004    6.0081918525E+002    2.7434936966E+004    9.1789732714E+002    2.2372887704E+004    7.4879779609E+002
    3.9810717055E-002    4.4964720209E-002    5.0118723363E-002    1.8336990567E+004    6.6985843768E+002    1.2291259208E+004    4.4956686595E+002    2.8193708183E+004    1.0287085287E+003    1.3680933689E+004    4.9977060488E+002    1.6474365658E+004    6.0256876958E+002    2.5173527617E+004    9.1960018298E+002    2.0536961242E+004    7.4933552711E+002
    5.0118723363E-002    5.6607228905E-002    6.3095734448E-002    1.7516673590E+004    8.3827380467E+002    1.1743780490E+004    5.6268215480E+002    2.6926022191E+004    1.2866534070E+003    1.3068908389E+004    6.2542260103E+002    1.5740562520E+004    7.5418078904E+002    2.4047373792E+004    1.1508054550E+003    1.9613548900E+004    9.3722865328E+002
    6.3095734448E-002    7.1264278960E-002    7.9432823472E-002    1.5291832994E+004    5.7740114454E+002    1.0252185251E+004    3.8833503104E+002    2.3506931282E+004    8.8459422808E+002    1.1408990610E+004    4.3078970576E+002    1.3741329978E+004    5.2049779368E+002    2.0993051112E+004    7.9267225477E+002    1.7123002534E+004    6.4435927544E+002
    7.9432823472E-002    8.9716411736E-002    1.0000000000E-001    1.2416866352E+004    3.4263287411E+002    8.3171099769E+003    2.2998872780E+002    1.9106953570E+004    5.2610417410E+002    9.2640242449E+003    2.5563287572E+002    1.1147687040E+004    3.0826120701E+002    1.7046217420E+004    4.7037588243E+002    1.3917955111E+004    3.8322667464E+002
    1.0000000000E-001    1.1294627059E-001    1.2589254118E-001    1.0701929646E+004    3.0082101255E+002    7.1639785221E+003    2.0123014769E+002    1.6479060371E+004    4.6371441382E+002    7.9845375557E+003    2.2443771840E+002    9.6021082743E+003    2.6971516737E+002    1.4691904897E+004    4.1297540289E+002    1.2003735796E+004    3.3778050344E+002
    1.2589254118E-001    1.4219093021E-001    1.5848931925E-001    8.6152328764E+003    2.0987995809E+002    5.7724382971E+003    1.4075612169E+002    1.3252490668E+004    3.2261450900E+002    6.4276866628E+003    1.5658806056E+002    7.7369826507E+003    1.8865990686E+002    1.1827229880E+004    2.8812900907E+002    9.6534264115E+003    2.3500000867E+002
    1.5848931925E-001    1.7900777537E-001    1.9952623150E-001    6.9872435578E+003    1.6239345831E+002    4.6794273877E+003    1.0886978033E+002    1.0753627924E+004    2.4966462087E+002    5.2130700204E+003    1.2115914695E+002    6.2719853640E+003    1.4592162935E+002    9.5922811341E+003    2.2293822929E+002    7.8331959192E+003    1.8186159156E+002
    1.9952623150E-001    2.2535743732E-001    2.5118864315E-001    6.0675900971E+003    1.7935959370E+002    4.0623896559E+003    1.2031611393E+002    9.3414488740E+003    2.7563077601E+002    4.5269313670E+003    1.3381730765E+002    5.4449500662E+003    1.6126351434E+002    8.3297554374E+003    2.4622980903E+002    6.8045314303E+003    2.0077595069E+002
