#labels: pth_lower[1]   pth_center[2]   pth_upper[3]   tot_scale01[4]   tot_scale01_Err[5]   tot_scale02[6]   tot_scale02_Err[7]   tot_scale03[8]   tot_scale03_Err[9]   tot_scale04[10]  tot_scale04_Err[11]  tot_scale05[12]  tot_scale05_Err[13]  tot_scale06[14]  tot_scale06_Err[15]  tot_scale07[16]  tot_scale07_Err[17] 
#neval: 1442626
#overflow:lower center upper    4.1684855725E+002    6.9866842117E+000    2.7367692384E+002    4.5275741014E+000    6.5613733994E+002    1.1176831579E+001    3.1100400306E+002    5.2126527012E+000    3.6681788573E+002    6.0684515744E+000    5.7226122410E+002    9.5915132483E+000    4.7794589602E+002    8.1414674318E+000
    1.0000000000E-002    1.1294627059E-002    1.2589254118E-002    1.1367692299E+004    1.0988586514E+003    7.6221576491E+003    7.3948181414E+002    1.7471781117E+004    1.6823407849E+003    8.4812523617E+003    8.1984076336E+002    1.0216220331E+004    9.9115099583E+002    1.5605882274E+004    1.5085435370E+003    1.2726856974E+004    1.2254566611E+003
    1.2589254118E-002    1.4219093021E-002    1.5848931925E-002    9.9863749873E+003    7.4124445105E+002    6.6952753434E+003    4.9720268278E+002    1.5350037629E+004    1.1388209434E+003    7.4506737353E+003    5.5303056113E+002    8.9738904960E+003    6.6641657001E+002    1.3709571678E+004    1.0176008758E+003    1.1181329033E+004    8.2954400407E+002
    1.5848931925E-002    1.7900777537E-002    1.9952623150E-002    1.4171935787E+004    1.5618757329E+003    9.4903138516E+003    1.0471067821E+003    2.1812330391E+004    2.4005528101E+003    1.0573453318E+004    1.1652903597E+003    1.2720169509E+004    1.4034705248E+003    1.9455625263E+004    2.1441861876E+003    1.5888615322E+004    1.7486192203E+003
    1.9952623150E-002    2.2535743732E-002    2.5118864315E-002    1.6917688831E+004    1.3958650659E+003    1.1359336129E+004    9.3794576715E+002    2.5961227178E+004    2.1403398061E+003    1.2622015496E+004    1.0414324715E+003    1.5225279514E+004    1.2571585445E+003    2.3225070954E+004    1.9162821543E+003    1.8910769484E+004    1.5590739379E+003
    2.5118864315E-002    2.8370820458E-002    3.1622776602E-002    1.9381255399E+004    1.4204864854E+003    1.3012000857E+004    9.5732867466E+002    2.9745336681E+004    2.1709706000E+003    1.4460042883E+004    1.0598021165E+003    1.7440398615E+004    1.2831380719E+003    2.6607123250E+004    1.9500831197E+003    2.1667203994E+004    1.5813861299E+003
    3.1622776602E-002    3.5716746829E-002    3.9810717055E-002    1.9115296904E+004    1.1756269703E+003    1.2806289297E+004    7.8623067101E+002    2.9408083548E+004    1.8124793212E+003    1.4261615528E+004    8.7711637118E+002    1.7164676868E+004    1.0538099756E+003    2.6242008075E+004    1.6139332077E+003    2.1421540867E+004    1.3202526369E+003
    3.9810717055E-002    4.4964720209E-002    5.0118723363E-002    1.9684243976E+004    1.1757670856E+003    1.3191381354E+004    7.8738945695E+002    3.0271754451E+004    1.8098951349E+003    1.4686097786E+004    8.7722090898E+002    1.7680828000E+004    1.0553631333E+003    2.7023074345E+004    1.6141255619E+003    2.2050659099E+004    1.3183702547E+003
    5.0118723363E-002    5.6607228905E-002    6.3095734448E-002    1.6193769253E+004    1.0347498922E+003    1.0863434879E+004    6.9606420191E+002    2.4875070711E+004    1.5847007665E+003    1.2081910743E+004    7.7201024936E+002    1.4560607297E+004    9.3295698918E+002    2.2231254143E+004    1.4205332599E+003    1.8119587525E+004    1.1543333715E+003
    6.3095734448E-002    7.1264278960E-002    7.9432823472E-002    1.4177480105E+004    7.4596778391E+002    9.5102680371E+003    5.0142650127E+002    2.1779876187E+004    1.1434358432E+003    1.0577589845E+004    5.5655456380E+002    1.2746914739E+004    6.7207788828E+002    1.9463236656E+004    1.0240851977E+003    1.5864974916E+004    8.3290560585E+002
    7.9432823472E-002    8.9716411736E-002    1.0000000000E-001    1.2337664925E+004    5.7010110252E+002    8.2640513686E+003    3.8092638074E+002    1.8983855271E+004    8.7979873446E+002    9.2049333347E+003    4.2534326184E+002    1.1076570900E+004    5.1056774405E+002    1.6937487512E+004    7.8265055526E+002    1.3828287410E+004    6.4086612492E+002
    1.0000000000E-001    1.1294627059E-001    1.2589254118E-001    1.0562870978E+004    5.4706200045E+002    7.0769104327E+003    3.6741355429E+002    1.6249276846E+004    8.3935561769E+002    7.8807881207E+003    4.0815415839E+002    9.4854081448E+003    4.9245607295E+002    1.4501001313E+004    7.5102183896E+002    1.1836356064E+004    6.1140640588E+002
    1.2589254118E-001    1.4219093021E-001    1.5848931925E-001    8.5328123059E+003    3.6862061040E+002    5.7162118872E+003    2.4679775715E+002    1.3127432291E+004    5.6744791765E+002    6.3661940010E+003    2.7502190772E+002    7.6616206051E+003    3.3079088368E+002    1.1714080642E+004    5.0605256530E+002    9.5623309430E+003    4.1334243144E+002
    1.5848931925E-001    1.7900777537E-001    1.9952623150E-001    7.4592066231E+003    3.7729707469E+002    4.9936117389E+003    2.5188017143E+002    1.1485325498E+004    5.8284681305E+002    5.5651940713E+003    2.8149527815E+002    6.6930966429E+003    3.3760300520E+002    1.0240205079E+004    5.1796385535E+002    8.3661816695E+003    4.2455934962E+002
    1.9952623150E-001    2.2535743732E-001    2.5118864315E-001    6.1467338951E+003    2.3589527057E+002    4.1161350148E+003    1.5827809476E+002    9.4613880684E+003    3.6237771186E+002    4.5859792816E+003    1.7599766672E+002    5.5169866802E+003    2.1214516468E+002    8.4384062314E+003    3.2384354929E+002    6.8918979651E+003    2.6396446240E+002
    2.5118864315E-001    2.8370820458E-001    3.1622776602E-001    5.2771982851E+003    2.9613702342E+002    3.5330266432E+003    1.9809025172E+002    8.1247937978E+003    4.5638247384E+002    3.9372327505E+003    2.2094306945E+002    4.7354279831E+003    2.6550666494E+002    7.2446837058E+003    4.0654509311E+002    5.9182912102E+003    3.3243974563E+002
    3.1622776602E-001    3.5716746829E-001    3.9810717055E-001    4.2463174003E+003    2.2038879995E+002    2.8446736882E+003    1.4807205830E+002    6.5330359715E+003    3.3796504108E+002    3.1681091053E+003    1.6442853842E+002    3.8128066234E+003    1.9846568940E+002    5.8294619261E+003    3.0255583771E+002    4.7588173101E+003    2.4618169787E+002
    3.9810717055E-001    4.4964720209E-001    5.0118723363E-001    3.4780113489E+003    2.5729945911E+002    2.3272573420E+003    1.7193890642E+002    5.3582250151E+003    3.9700199748E+002    2.5948883195E+003    1.9196698747E+002    3.1192970374E+003    2.3045518505E+002    4.7747101372E+003    3.5322781108E+002    3.9030573327E+003    2.8918560773E+002
    5.0118723363E-001    5.6607228905E-001    6.3095734448E-001    2.4144331057E+003    8.1624297976E+001    1.6158752034E+003    5.4768318647E+001    3.7187643458E+003    1.2535887407E+002    1.8013697011E+003    6.0898575696E+001    2.1658089305E+003    7.3407719471E+001    3.3146005199E+003    1.1205609295E+002    2.7088355580E+003    9.1314357136E+001
    6.3095734448E-001    7.1264278960E-001    7.9432823472E-001    2.1766523121E+003    8.1213275713E+001    1.4557220299E+003    5.3834737976E+001    3.3550841437E+003    1.2645027327E+002    1.6239652760E+003    6.0591918597E+001    1.9511505381E+003    7.2156411604E+001    2.9881684725E+003    1.1149183022E+002    2.4439223310E+003    9.2109358027E+001
    7.9432823472E-001    8.9716411736E-001    1.0000000000E+000    1.6881105930E+003    5.9464125969E+001    1.1297101099E+003    3.9808490639E+001    2.6002594379E+003    9.1576165787E+001    1.2594721582E+003    4.4365227834E+001    1.5141863924E+003    5.3356586173E+001    2.3174848937E+003    8.1633996149E+001    1.8940902328E+003    6.6706236556E+001
    1.0000000000E+000    1.1294627059E+000    1.2589254118E+000    1.3562873036E+003    4.4077981215E+001    9.0786842897E+002    2.9513142825E+001    2.0885873358E+003    6.7855564448E+001    1.0119041397E+003    3.2885872738E+001    1.2168449315E+003    3.9557404039E+001    1.8619487080E+003    6.0511471247E+001    1.5213762194E+003    4.9427591719E+001
    1.2589254118E+000    1.4219093021E+000    1.5848931925E+000    1.0325603176E+003    4.0970368381E+001    6.8988866160E+002    2.7098169501E+001    1.5934230650E+003    6.3954052575E+001    7.7037664302E+002    3.0567332792E+001    9.2467971609E+002    3.6320538481E+001    1.4175273515E+003    5.6245254431E+001    1.1606868992E+003    4.6585638557E+001
    1.5848931925E+000    1.7900777537E+000    1.9952623150E+000    8.2845036725E+002    2.8195443849E+001    5.5412687890E+002    1.8914552892E+001    1.2768498189E+003    4.3313788689E+001    6.1809349239E+002    2.1036167099E+001    7.4271388063E+002    2.5351776847E+001    1.1373195685E+003    3.8707484842E+001    9.3008748878E+002    3.1550784089E+001
