#labels: ptj1_lower[1]   ptj1_center[2]   ptj1_upper[3]   tot_scale01[4]   tot_scale01_Err[5]   tot_scale02[6]   tot_scale02_Err[7]   tot_scale03[8]   tot_scale03_Err[9]   tot_scale04[10]  tot_scale04_Err[11]  tot_scale05[12]  tot_scale05_Err[13]  tot_scale06[14]  tot_scale06_Err[15]  tot_scale07[16]  tot_scale07_Err[17] 
#neval: 3629958
#overflow:lower center upper    3.5706601742E+002    4.0731230833E+000    2.3376996226E+002    2.6710303996E+000    5.6378054265E+002    6.4238767974E+000    2.6640121177E+002    3.0388916115E+000    3.1332931582E+002    3.5800670007E+000    4.9019010061E+002    5.5916959794E+000    4.1067102909E+002    4.6793031961E+000
    3.9810717055E-001    4.4964720209E-001    5.0118723363E-001    3.2584775151E+003    7.8080129960E+001    2.1801962887E+003    5.1995922321E+001    5.0202311303E+003    1.2096923154E+002    2.4310976575E+003    5.8254328951E+001    2.9221864302E+003    6.9691788496E+001    4.4733280206E+003    1.0719056111E+002    3.6568546244E+003    8.8116838104E+001
    5.0118723363E-001    5.6607228905E-001    6.3095734448E-001    2.5988968465E+003    5.9208509574E+001    1.7392618727E+003    3.9652319533E+001    4.0030688950E+003    9.1135872010E+001    1.9389951308E+003    4.4174516554E+001    2.3311880079E+003    5.3147265072E+001    3.5678374431E+003    8.1283078894E+001    2.9159296894E+003    6.6385516196E+001
    6.3095734448E-001    7.1264278960E-001    7.9432823472E-001    2.0533565952E+003    4.1215491843E+001    1.3736944329E+003    2.7465780702E+001    3.1640570264E+003    6.3814840392E+001    1.5319763250E+003    3.0750215464E+001    1.8412063408E+003    3.6813259466E+001    2.8189047035E+003    5.6581766697E+001    2.3047736785E+003    4.6484233123E+001
    7.9432823472E-001    8.9716411736E-001    1.0000000000E+000    1.6308097514E+003    3.4593513053E+001    1.0916712502E+003    2.3233521731E+001    2.5111974725E+003    5.3076659279E+001    1.2167209220E+003    2.5809663611E+001    1.4632016989E+003    3.1140628154E+001    2.2388207141E+003    4.7490931135E+001    1.8292153990E+003    3.8662289025E+001
    1.0000000000E+000    1.1294627059E+000    1.2589254118E+000    1.3127699435E+003    2.5946886078E+001    8.7851172870E+002    1.7364768624E+001    2.0221356629E+003    3.9970396606E+001    9.7943653736E+002    1.9358554317E+001    1.1774972124E+003    2.3274551700E+001    1.8022068729E+003    3.5620602568E+001    1.4729712553E+003    2.9115378530E+001
    1.2589254118E+000    1.4219093021E+000    1.5848931925E+000    1.0548848981E+003    3.5877358388E+001    7.0586412799E+002    2.3999014486E+001    1.6250961011E+003    5.5288480691E+001    7.8703265340E+002    2.6767519963E+001    9.4609214181E+002    3.2166642440E+001    1.4481751528E+003    4.9253429505E+001    1.1837582849E+003    4.0273431849E+001
    1.5848931925E+000    1.7900777537E+000    1.9952623150E+000    7.9845722527E+002    1.3945554627E+001    5.3392081643E+002    9.2996190644E+000    1.2310045947E+003    2.1574212191E+001    5.9571609164E+002    1.0404553976E+001    7.1563105241E+002    1.2464575220E+001    1.0961441540E+003    1.9144842948E+001    8.9669274738E+002    1.5715164416E+001
    1.9952623150E+000    2.2535743732E+000    2.5118864315E+000    6.2619866123E+002    1.2342978401E+001    4.1871234101E+002    8.2155160633E+000    9.6549942854E+002    1.9140179195E+001    4.6719674800E+002    9.2088976336E+000    5.6121346843E+002    1.1011517486E+001    8.5966283480E+002    1.6944781998E+001    7.0329252946E+002    1.3942157439E+001
    2.5118864315E+000    2.8370820458E+000    3.1622776602E+000    4.7639408709E+002    9.2084402282E+000    3.1847277229E+002    6.1446185421E+000    7.3468149802E+002    1.4229524278E+001    3.5542996501E+002    6.8702691256E+000    4.2685918620E+002    8.2358276708E+000    6.5400697374E+002    1.2641601333E+001    5.3515931115E+002    1.0365120710E+001
    3.1622776602E+000    3.5716746829E+000    3.9810717055E+000    3.7628731667E+002    7.0703637141E+000    2.5151861555E+002    4.7209668118E+000    5.8038808218E+002    1.0918760947E+001    2.8074191394E+002    5.2750846319E+000    3.3711840035E+002    6.3276619753E+000    5.1657763163E+002    9.7063907828E+000    4.2276835213E+002    7.9534827033E+000
    3.9810717055E+000    4.4964720209E+000    5.0118723363E+000    2.9043481874E+002    4.8181655054E+000    1.9408081743E+002    3.2035462104E+000    4.4809923260E+002    7.4765039558E+000    2.1668874627E+002    3.5947557777E+000    2.6013269263E+002    4.2938148795E+000    3.9871694888E+002    6.6145108148E+000    3.2640603757E+002    5.4460616166E+000
    5.0118723363E+000    5.6607228905E+000    6.3095734448E+000    2.2034834322E+002    3.3242505030E+000    1.4722873529E+002    2.2134362359E+000    3.4001412812E+002    5.1500513700E+000    1.6439835431E+002    2.4801698258E+000    1.9733535674E+002    2.9667389886E+000    3.0250029759E+002    4.5636229969E+000    2.4767430115E+002    3.7514187454E+000
