#labels: pt_diff_lower[1]   pt_diff_center[2]   pt_diff_upper[3]   tot_scale01[4]   tot_scale01_Err[5]   tot_scale02[6]   tot_scale02_Err[7]   tot_scale03[8]   tot_scale03_Err[9]   tot_scale04[10]  tot_scale04_Err[11]  tot_scale05[12]  tot_scale05_Err[13]  tot_scale06[14]  tot_scale06_Err[15]  tot_scale07[16]  tot_scale07_Err[17] 
#neval: 722189
#overflow:lower center upper   -5.7698737250E+001    3.9121180088E+000   -3.8637218819E+001    2.6093259474E+000   -8.8808803613E+001    6.0487992253E+000   -4.3048099709E+001    2.9187683153E+000   -5.1786693297E+001    3.4973625608E+000   -7.9210421707E+001    5.3706637617E+000   -6.4690424754E+001    4.4060878563E+000
    1.0000000000E-002    1.1294627059E-002    1.2589254118E-002    1.7118289828E+004    2.3453869623E+004    1.1293994680E+004    1.5530791476E+004    2.6784356654E+004    3.6550187589E+004    1.2771680672E+004    1.7498554842E+004    1.5137700292E+004    2.0816413796E+004    2.3500461549E+004    3.2198120653E+004    1.9510356386E+004    2.6624017707E+004
    1.2589254118E-002    1.4219093021E-002    1.5848931925E-002    9.4054886016E+003    8.4258126461E+003    6.2388907466E+003    5.5854319166E+003    1.4628173508E+004    1.3115570849E+004    7.0172837471E+003    6.2863632760E+003    8.3621837049E+003    7.4863320509E+003    1.2912114788E+004    1.1567188551E+004    1.0655506201E+004    9.5536907894E+003
    1.5848931925E-002    1.7900777537E-002    1.9952623150E-002   -9.3852957357E+003    2.3465119422E+004   -6.2098659360E+003    1.5531540292E+004   -1.4639161889E+004    3.6585000209E+004   -7.0022181748E+003    1.7506948136E+004   -8.3232808281E+003    2.0817417458E+004   -1.2884393463E+004    3.2213564688E+004   -1.0663510397E+004    2.6649376040E+004
    1.9952623150E-002    2.2535743732E-002    2.5118864315E-002   -2.1354614413E+003    8.1598996434E+003   -1.3461927954E+003    5.3975548836E+003   -3.5036821232E+003    1.2731684313E+004   -1.5932334299E+003    6.0879698623E+003   -1.8043450214E+003    7.2345144878E+003   -2.9316205063E+003    1.1202135829E+004   -2.5521646000E+003    9.2740587931E+003
    2.5118864315E-002    2.8370820458E-002    3.1622776602E-002    6.4015873650E+003    1.9324445435E+003    4.2787004026E+003    1.2968021276E+003    9.8758187131E+003    2.9687721128E+003    4.7761213559E+003    1.4417657882E+003    5.7348782401E+003    1.7381451384E+003    8.7882761209E+003    2.6529132960E+003    7.1937790100E+003    2.1625235468E+003
    3.1622776602E-002    3.5716746829E-002    3.9810717055E-002    4.1435317250E+003    2.0315756616E+003    2.7428912963E+003    1.3560986101E+003    6.4600022732E+003    3.1390670202E+003    3.0914223664E+003    1.5157259208E+003    3.6763844462E+003    1.8176220999E+003    5.6883549092E+003    2.7890032356E+003    4.7056178437E+003    2.2865703692E+003
    3.9810717055E-002    4.4964720209E-002    5.0118723363E-002    3.7705641283E+003    2.0120432558E+003    2.5462890232E+003    1.3495061293E+003    5.7497794111E+003    3.0922924927E+003    2.8131572421E+003    1.5011531070E+003    3.4128721663E+003    1.8087859881E+003    5.1763346810E+003    2.7621886089E+003    4.1882747792E+003    2.2524987015E+003
    5.0118723363E-002    5.6607228905E-002    6.3095734448E-002   -4.1558240172E+003    2.0592761623E+003   -2.7956761771E+003    1.3782368123E+003   -6.3643440350E+003    3.1723210729E+003   -3.1005934478E+003    1.5363928188E+003   -3.7471337008E+003    1.8472946364E+003   -5.7052301078E+003    2.8270312489E+003   -4.6359381295E+003    2.3107934046E+003
    6.3095734448E-002    7.1264278960E-002    7.9432823472E-002   -3.8672048971E+002    1.0735158344E+003   -2.4773009443E+002    7.1634127463E+002   -6.2466785495E+002    1.6594551332E+003   -2.8852593652E+002    8.0093289529E+002   -3.3204052500E+002    9.6013499470E+002   -5.3090058003E+002    1.4737522172E+003   -4.5502278178E+002    1.2087862133E+003
    7.9432823472E-002    8.9716411736E-002    1.0000000000E-001    7.4935140632E+002    9.1110544069E+002    5.0200683208E+002    6.1035702281E+002    1.1534911989E+003    1.4023755335E+003    5.5907903005E+002    6.7976111308E+002    6.7285572412E+002    8.1808093100E+002    1.0287303281E+003    1.2507907385E+003    8.4023016381E+002    1.0215233765E+003
    1.0000000000E-001    1.1294627059E-001    1.2589254118E-001    7.6996814330E+002    8.4925356498E+002    5.1016983965E+002    5.6688831584E+002    1.1988232892E+003    1.3125966455E+003    5.7446084586E+002    6.3361442358E+002    6.8379686280E+002    7.5981844045E+002    1.0570335546E+003    1.1658787735E+003    8.7325112629E+002    9.5612631939E+002
    1.2589254118E-001    1.4219093021E-001    1.5848931925E-001   -7.0694885136E+002    4.9139448200E+002   -4.6459924827E+002    3.2706234021E+002   -1.1115297028E+003    7.6187612792E+002   -5.2744316589E+002    3.6662151836E+002   -6.2271714973E+002    4.3837205729E+002   -9.7051892833E+002    6.7459993059E+002   -8.0966442149E+002    5.5496852023E+002
    1.5848931925E-001    1.7900777537E-001    1.9952623150E-001    2.7731149165E+002    4.3701420619E+002    1.8694694213E+002    2.9347012166E+002    4.2352322628E+002    6.7046929702E+002    2.0689764303E+002    3.2604926935E+002    2.5057093266E+002    3.9334733832E+002    3.8070088263E+002    5.9994518450E+002    3.0850429559E+002    4.8838563120E+002
    1.9952623150E-001    2.2535743732E-001    2.5118864315E-001    2.8153513057E+002    4.2820675809E+002    1.8618065304E+002    2.8677013689E+002    4.3964266567E+002    6.5898127056E+002    2.1004883209E+002    3.1947817400E+002    2.4954385102E+002    3.8436713563E+002    3.8649921092E+002    5.8785407624E+002    3.2024607499E+002    4.8001748208E+002
    2.5118864315E-001    2.8370820458E-001    3.1622776602E-001   -3.0726042711E+002    2.6751780031E+002   -2.0528475756E+002    1.7866474886E+002   -4.7405030011E+002    4.1301424162E+002   -2.2924206202E+002    1.9959072747E+002   -2.7514968995E+002    2.3947004560E+002   -4.2181560923E+002    3.6725583239E+002   -3.4530940652E+002    3.0084930359E+002
    3.1622776602E-001    3.5716746829E-001    3.9810717055E-001    2.4901078208E+002    1.3836365638E+002    1.6447848691E+002    9.2658706128E+001    3.8932690098E+002    2.1303152756E+002    1.8578293887E+002    1.0323089828E+002    2.2045574749E+002    1.2419341097E+002    3.4184888610E+002    1.8994945286E+002    2.8359488663E+002    1.5517718338E+002
    3.9810717055E-001    4.4964720209E-001    5.0118723363E-001   -1.5744231645E+002    1.0985120476E+002   -1.0424433097E+002    7.3473321380E+001   -2.4554522600E+002    1.6944316649E+002   -1.1746517966E+002    8.1958216786E+001   -1.3972199245E+002    9.8478629574E+001   -2.1614116487E+002    1.5080677098E+002   -1.7886092730E+002    1.2342639429E+002
    5.0118723363E-001    5.6607228905E-001    6.3095734448E-001    3.6572294513E+001    8.2056254112E+001    2.4921495955E+001    5.4950896781E+001    5.5222437522E+001    1.2633920675E+002    2.7286000627E+001    6.1220851220E+001    3.3403073694E+001    7.3652434751E+001    5.0207457030E+001    1.1264909427E+002    4.0225324449E+001    9.2028454558E+001
    6.3095734448E-001    7.1264278960E-001    7.9432823472E-001   -1.6224570001E+002    5.6805642209E+001   -1.0932378378E+002    3.8189472470E+001   -2.4803155502E+002    8.7066359543E+001   -1.2104890686E+002    4.2381775866E+001   -1.4653014461E+002    5.1186564625E+001   -2.2273538261E+002    7.7984356143E+001   -1.8067202793E+002    6.3421187443E+001
    7.9432823472E-001    8.9716411736E-001    1.0000000000E+000    1.8764565552E+001    3.1973472502E+001    1.2752357991E+001    2.1373627987E+001    2.8362815708E+001    4.9313550522E+001    1.3999940508E+001    2.3854893503E+001    1.7092391023E+001    2.8647753411E+001    2.5760514379E+001    4.3894067029E+001    2.0660143147E+001    3.5921151953E+001
    1.0000000000E+000    1.1294627059E+000    1.2589254118E+000    1.1577682709E+001    2.5295661465E+001    7.5768984921E+000    1.6886987447E+001    1.8322955456E+001    3.9075131900E+001    8.6379228281E+000    1.8872686108E+001    1.0155558044E+001    2.2634166391E+001    1.5894162913E+001    3.4726583414E+001    1.3346872416E+001    2.8463246627E+001
    1.2589254118E+000    1.4219093021E+000    1.5848931925E+000    3.7372502266E+001    2.5961084345E+001    2.4823807795E+001    1.7261682146E+001    5.8062753579E+001    4.0290205307E+001    2.7883022760E+001    1.9369147415E+001    3.3272139147E+001    2.3136381615E+001    5.1306004357E+001    3.5640094341E+001    4.2294277578E+001    2.9348334722E+001
    1.5848931925E+000    1.7900777537E+000    1.9952623150E+000   -4.2791757487E+001    2.0193985110E+001   -2.8360532462E+001    1.3405125893E+001   -6.6645060863E+001    3.1399924738E+001   -3.1926241905E+001    1.5066407446E+001   -3.8012523709E+001    1.7967316605E+001   -5.8745707752E+001    2.7722861066E+001   -4.8545832390E+001    2.2872444914E+001
    1.9952623150E+000    2.2535743732E+000    2.5118864315E+000    1.1739765806E+001    1.6161406719E+001    7.7484318989E+000    1.0722083075E+001    1.8368819791E+001    2.5144191009E+001    8.7588504198E+000    1.2057765577E+001    1.0385469725E+001    1.4371148977E+001    1.6116675071E+001    2.2186825961E+001    1.3380281077E+001    1.8315621091E+001
    2.5118864315E+000    2.8370820458E+000    3.1622776602E+000   -4.0478825787E+000    1.1234078323E+001   -2.5956224097E+000    7.4125468089E+000   -6.5318713297E+000    1.7580119240E+001   -3.0200600770E+000    8.3815651230E+000   -3.4789952734E+000    9.9352722552E+000   -5.5570451168E+000    1.5422453312E+001   -4.7579689576E+000    1.2805773016E+001
    3.1622776602E+000    3.5716746829E+000    3.9810717055E+000   -3.7993491004E+000    6.4109720697E+000   -2.5720066949E+000    4.3133034995E+000   -5.7751679519E+000    9.8178746579E+000   -2.8346332468E+000    4.7831231331E+000   -3.4473423797E+000    5.7812578714E+000   -5.2158514866E+000    8.8011597029E+000   -4.2067683905E+000    7.1515711951E+000
    3.9810717055E+000    4.4964720209E+000    5.0118723363E+000   -5.8856344616E+000    4.7763537172E+000   -3.9656162797E+000    3.1892805494E+000   -8.9937471829E+000    7.3761869078E+000   -4.3911771944E+000    3.5635606750E+000   -5.3152416321E+000    4.2746941603E+000   -8.0799617104E+000    6.5571104359E+000   -6.5512573272E+000    5.3729883155E+000
    5.0118723363E+000    5.6607228905E+000    6.3095734448E+000   -3.0698334821E-001    3.6747263335E+000   -2.2534547110E-001    2.4534387399E+000   -4.2300043153E-001    5.6756387034E+000   -2.2903533791E-001    2.7416542051E+000   -3.0203770236E-001    3.2884219784E+000   -4.2143522766E-001    5.0447659067E+000   -3.0812347958E-001    4.1342689411E+000
    6.3095734448E+000    7.1264278960E+000    7.9432823472E+000   -2.6617948519E+000    1.6608733606E+000   -1.7527637371E+000    1.1110108602E+000   -4.1753065073E+000    2.5601362618E+000   -1.9859223208E+000    1.2391508972E+000   -2.3492849861E+000    1.4891231932E+000   -3.6541855639E+000    2.2800928679E+000   -3.0413916239E+000    1.8648635660E+000
