time (unix)	dt (s)	p (Pa)
1616490446.514	0.173	2737.150
1616490460.107	0.650	2712.591
1616490497.426	1.607	2684.518
1616490527.429	1.610	2684.717
1616490557.432	1.614	2678.005
1616490587.426	1.607	2672.288
1616490617.430	1.611	2667.543
1616490647.426	1.608	2665.667
1616490677.431	1.611	2698.113
1616490707.429	1.609	2915.768
1616490737.427	1.608	2951.705
1616490767.429	1.610	2961.002
1616490797.432	1.611	2964.503
1616490827.431	1.612	2965.130
1616490857.430	1.612	2964.777
1616490887.429	1.608	2963.043
1616490917.429	1.611	2960.390
1616490947.434	1.613	2957.848
1616490977.437	1.613	2954.305
1616491007.434	1.611	2951.185
1616491037.429	1.607	2947.727
1616491067.437	1.613	2944.095
1616491097.432	1.613	2940.312
1616491127.432	1.611	2935.520
1616491157.428	1.607	2930.915
1616491187.430	1.610	2927.620
1616491217.428	1.607	2922.723
1616491247.431	1.610	2917.997
1616491277.431	1.611	2912.668
1616491307.431	1.610	2908.350
1616491337.429	1.612	2903.828
1616491367.880	1.611	2899.908
1616491397.350	1.607	2895.840
1616491427.349	1.607	2890.303
1616491457.352	1.607	2885.558
1616491487.355	1.614	2880.370
1616491517.356	1.614	2874.615
1616491547.354	1.614	2868.877
1616491577.351	1.610	2862.348
1616491607.349	1.606	2857.030
1616491637.349	1.606	2852.110
1616491667.349	1.607	2846.263
1616491697.345	1.606	2840.333
1616491727.349	1.607	2834.925
1616491757.347	1.606	2829.478
1616491787.348	1.606	2824.072
1616491817.354	1.611	2817.722
1616491847.353	1.613	2812.083
1616491877.355	1.614	2805.880
1616491907.352	1.612	2800.378
1616491937.350	1.609	2794.833
1616491967.354	1.609	2788.208
1616491997.353	1.610	2781.953
1616492027.346	1.606	2775.632
1616492057.349	1.606	2770.170
1616492087.354	1.609	2763.935
1616492117.353	1.610	2758.105
1616492147.354	1.614	2752.582
1616492177.355	1.614	2746.222
1616492207.349	1.609	2739.900
1616492237.347	1.606	2733.033
1616492267.349	1.606	2726.773
1616492297.353	1.610	2720.658
1616492327.349	1.607	2714.140
1616492357.351	1.607	2707.850
1616492387.351	1.609	2701.797
1616492417.357	1.609	2695.795
1616492447.348	1.606	2689.185
1616492477.347	1.606	2682.760
1616492507.353	1.609	2677.330
1616492537.348	1.606	2670.812
1616492567.352	1.611	2664.647
1616492597.352	1.610	2658.197
1616492627.353	1.613	2651.357
1616492657.351	1.611	2645.637
1616492687.349	1.609	2639.705
1616492717.347	1.606	2633.303
1616492747.350	1.609	2626.988
1616492777.351	1.607	2619.770
1616492807.349	1.606	2613.855
1616492837.346	1.606	2607.222
1616492867.355	1.609	2600.832
1616492897.347	1.607	2594.893
1616492927.353	1.610	2588.468
1616492957.353	1.613	2581.810
1616492987.356	1.613	2575.007
1616493017.351	1.610	2568.792
1616493047.353	1.610	2562.500
1616493077.350	1.611	2555.797
1616493107.356	1.614	2550.813
1616493137.351	1.609	2544.850
1616493167.351	1.610	2538.177
1616493197.349	1.607	2531.530
1616493227.347	1.607	2524.557
1616493257.347	1.606	2517.820
1616493287.351	1.609	2511.333
1616493317.349	1.609	2505.170
1616493347.353	1.613	2499.580
1616493377.350	1.610	2493.260
1616493407.349	1.607	2486.237
1616493437.352	1.612	2479.393
1616493467.354	1.611	2472.535
1616493497.352	1.611	2466.430
1616493527.347	1.606	2460.440
1616493557.349	1.607	2454.115
1616493587.348	1.609	2447.730
1616493617.353	1.613	2441.103
1616493647.348	1.606	2434.212
1616493677.347	1.606	2427.967
1616493707.351	1.610	2421.510
1616493737.352	1.612	2415.470
1616493767.350	1.607	2409.528
1616493797.351	1.611	2403.292
1616493827.353	1.614	2396.822
1616493857.352	1.610	2389.840
1616493887.349	1.606	2383.297
1616493917.350	1.607	2376.490
1616493947.354	1.611	2370.267
1616493977.354	1.614	2364.508
1616494007.349	1.607	2358.277
1616494037.354	1.611	2351.463
1616494067.351	1.610	2345.158
1616494097.347	1.607	2338.230
1616494127.355	1.614	2331.697
1616494157.349	1.607	2325.247
1616494187.354	1.611	2319.703
1616494217.351	1.613	2313.415
1616494247.351	1.609	2306.315
1616494277.354	1.614	2299.992
1616494307.351	1.609	2293.017
1616494337.347	1.607	2286.667
1616494367.353	1.611	2280.280
1616494397.350	1.611	2274.063
1616494427.348	1.607	2267.895
1616494457.347	1.607	2261.552
1616494487.353	1.613	2255.137
1616494517.352	1.610	2248.485
1616494547.349	1.609	2241.375
1616494577.350	1.609	2234.857
1616494607.351	1.612	2229.042
1616494637.353	1.609	2222.872
1616494667.350	1.609	2216.460
1616494697.352	1.613	2209.723
1616494727.348	1.609	2203.357
1616494757.350	1.612	2196.658
1616494787.352	1.612	2190.045
1616494817.349	1.607	2183.677
1616494847.349	1.609	2177.640
1616494877.353	1.614	2171.365
1616494907.350	1.609	2164.555
1616494937.347	1.607	2157.895
1616494967.352	1.611	2151.772
1616494997.355	1.614	2144.837
1616495027.346	1.608	2138.328
1616495057.347	1.606	2132.437
1616495087.350	1.607	2126.782
1616495117.354	1.613	2119.897
1616495147.354	1.613	2113.108
1616495177.349	1.609	2106.365
1616495207.354	1.613	2099.527
1616495237.351	1.610	2093.127
1616495267.347	1.608	2086.513
1616495297.354	1.611	2080.675
1616495327.353	1.613	2074.175
1616495357.353	1.610	2067.330
1616495387.348	1.607	2061.423
1616495417.352	1.609	2054.502
1616495447.352	1.610	2047.978
1616495477.355	1.614	2041.703
1616495507.353	1.613	2035.578
1616495537.352	1.610	2029.320
1616495567.347	1.606	2022.518
1616495597.351	1.610	2015.852
1616495627.352	1.613	2009.672
1616495657.349	1.606	2002.977
1616495687.355	1.611	1996.595
1616495717.353	1.611	1989.992
1616495747.354	1.611	1983.410
1616495777.354	1.611	1977.025
1616495807.349	1.609	1970.568
1616495837.355	1.614	1964.582
1616495867.355	1.609	1957.393
1616495897.356	1.613	1950.737
1616495927.351	1.611	1944.623
1616495957.353	1.609	1938.632
1616495987.353	1.613	1932.150
1616496017.349	1.607	1925.808
1616496047.349	1.609	1918.847
1616496077.352	1.610	1912.912
1616496107.356	1.614	1906.412
1616496137.348	1.610	1899.493
1616496167.352	1.611	1892.883
1616496197.358	1.613	1886.328
1616496227.349	1.607	1880.195
1616496257.353	1.613	1873.322
1616496287.352	1.613	1866.680
1616496317.348	1.608	1860.342
1616496347.357	1.613	1853.778
1616496377.349	1.609	1847.170
1616496407.355	1.610	1840.728
1616496437.354	1.613	1834.148
1616496467.353	1.610	1828.352
1616496497.346	1.606	1821.518
1616496527.352	1.610	1814.390
1616496557.354	1.610	1807.975
1616496587.357	1.613	1801.705
1616496617.349	1.609	1795.028
1616496647.352	1.612	1788.495
1616496677.353	1.611	1781.973
1616496707.349	1.610	1776.198
1616496737.353	1.610	1769.752
1616496767.354	1.610	1762.342
1616496797.347	1.607	1755.705
1616496827.356	1.612	1749.263
1616496857.354	1.609	1742.937
1616496887.354	1.614	1736.742
1616496917.351	1.610	1730.497
1616496947.351	1.609	1724.403
1616496977.355	1.614	1717.723
1616497007.355	1.611	1710.270
1616497037.353	1.612	1703.382
1616497067.349	1.610	1697.200
1616497097.350	1.609	1690.562
1616497127.352	1.611	1684.358
1616497157.351	1.610	1678.305
1616497187.352	1.610	1671.505
1616497217.351	1.609	1665.382
1616497247.350	1.612	1658.738
1616497277.358	1.614	1651.895
1616497307.351	1.611	1645.488
1616497337.354	1.611	1638.745
1616497367.348	1.609	1632.865
1616497397.352	1.610	1626.225
1616497427.353	1.610	1619.655
1616497457.352	1.611	1612.990
1616497487.350	1.609	1606.343
1616497517.355	1.614	1599.600
1616497547.352	1.610	1593.143
1616497577.351	1.610	1586.902
1616497607.352	1.613	1580.903
1616497637.352	1.610	1574.377
1616497667.357	1.614	1567.673
1616497697.353	1.610	1561.147
1616497727.355	1.614	1554.165
1616497757.352	1.611	1547.488
1616497787.351	1.610	1540.892
1616497817.351	1.611	1534.760
1616497847.350	1.610	1529.027
1616497877.352	1.610	1521.938
1616497907.351	1.610	1514.945
1616497937.352	1.610	1508.480
1616497967.356	1.610	1502.073
1616497997.352	1.611	1495.647
1616498027.355	1.612	1488.665
1616498057.351	1.610	1482.028
1616498087.353	1.612	1475.933
1616498117.355	1.610	1469.552
1616498147.352	1.610	1462.690
1616498177.352	1.610	1456.327
1616498207.350	1.609	1449.792
1616498237.352	1.610	1443.148
1616498267.351	1.610	1436.308
1616498297.353	1.613	1429.837
1616498327.353	1.611	1424.300
1616498357.354	1.613	1417.910
1616498387.349	1.607	1411.113
1616498417.355	1.611	1404.100
1616498447.351	1.609	1396.970
1616498477.355	1.614	1390.663
1616498507.351	1.609	1384.258
1616498537.351	1.609	1377.888
1616498567.353	1.612	1372.120
1616498597.354	1.613	1365.113
1616498627.350	1.610	1358.557
1616498657.354	1.613	1351.748
1616498687.353	1.610	1344.982
1616498717.349	1.607	1338.630
1616498747.353	1.613	1332.110
1616498777.348	1.607	1325.778
1616498807.356	1.613	1319.743
1616498837.350	1.610	1313.270
1616498867.356	1.610	1306.810
1616498897.349	1.609	1300.350
1616498927.352	1.613	1293.802
1616498957.355	1.611	1287.102
1616498987.349	1.610	1280.437
1616499017.351	1.612	1273.445
1616499047.353	1.611	1266.835
1616499077.357	1.614	1260.803
1616499107.355	1.614	1254.413
1616499137.350	1.610	1248.065
1616499167.352	1.611	1241.222
1616499197.351	1.607	1234.683
1616499227.351	1.611	1228.093
1616499257.354	1.610	1221.583
1616499287.350	1.610	1215.113
1616499317.355	1.614	1208.458
1616499347.352	1.610	1202.018
1616499377.349	1.610	1195.633
1616499407.351	1.609	1188.805
1616499437.350	1.609	1182.057
1616499467.352	1.611	1175.755
1616499497.353	1.612	1169.328
1616499527.351	1.610	1162.917
1616499557.355	1.613	1156.257
1616499587.351	1.612	1149.763
1616499617.355	1.611	1143.327
1616499647.353	1.613	1136.750
1616499677.354	1.611	1130.247
1616499707.349	1.609	1123.772
1616499737.354	1.610	1117.125
1616499767.351	1.609	1110.715
1616499797.353	1.612	1103.553
1616499827.351	1.613	1097.508
1616499857.349	1.609	1090.895
1616499887.353	1.613	1084.142
1616499917.349	1.609	1077.495
