site,rep,variety,yield
507,1,1,4873.4
507,1,2,4250.7
507,1,3,5344.3
507,1,4,3586.1
507,1,5,5558.1
507,1,6,5497.6
507,1,7,4364.5
507,1,8,5462.2
507,1,9,5019.6
507,1,10,4441
507,1,11,3026.8
507,1,12,3094.6
507,2,1,4198.2
507,2,2,5778.7
507,2,3,5664.6
507,2,4,4106
507,2,5,4563.3
507,2,6,5399.3
507,2,7,5366.2
507,2,8,4130
507,2,9,4132.6
507,2,10,4620.3
507,2,11,3142.4
507,2,12,1511.4
507,3,1,5386
507,3,2,4921.7
507,3,3,5895.5
507,3,4,4240.2
507,3,5,5571.8
507,3,6,5330.8
507,3,7,4533.5
507,3,8,5110.9
507,3,9,5510.2
507,3,10,5136.4
507,3,11,4235
507,3,12,2525.8
507,4,1,6128.5
507,4,2,4718.5
507,4,3,5297.2
507,4,4,5622.9
507,4,5,7354.2
507,4,6,4326
507,4,7,6927.5
507,4,8,6901.5
507,4,9,5496.5
507,4,10,5551.2
507,4,11,4628.5
507,4,12,3396.4
10101,1,1,2513
10101,1,2,1306.8
10101,1,3,2005.3
10101,1,4,1391.1
10101,1,5,1097.3
10101,1,6,3951.1
10101,1,7,3286.3
10101,1,8,3738.2
10101,1,9,2922.5
10101,1,10,1095.9
10101,1,11,6043.5
10101,1,12,4326.1
10101,2,1,1326.7
10101,2,2,1396.5
10101,2,3,1410.9
10101,2,4,1589.9
10101,2,5,1207.8
10101,2,6,1919.6
10101,2,7,2759
10101,2,8,3084.4
10101,2,9,2525.8
10101,2,10,877
10101,2,11,2720.1
10101,2,12,3591.8
10101,3,1,2686.4
10101,3,2,2194.5
10101,3,3,2878
10101,3,4,1671.8
10101,3,5,1823.2
10101,3,6,2861.2
10101,3,7,2557.8
10101,3,8,3527.2
10101,3,9,2306.1
10101,3,10,1166.3
10101,3,11,5307.7
10101,3,12,4847.8
10101,4,1,1479
10101,4,2,1548.9
10101,4,3,2394
10101,4,4,1184.7
10101,4,5,2378.7
10101,4,6,2231.2
10101,4,7,2397.1
10101,4,8,1939.1
10101,4,9,2818.2
10101,4,10,1841.8
10101,4,11,5553.3
10101,4,12,3899.3
10208,1,1,4973.3
10208,1,2,5652.4
10208,1,3,5450.3
10208,1,4,4641.7
10208,1,5,6139
10208,1,6,6485.6
10208,1,7,6809.8
10208,1,8,5875.5
10208,1,9,5674.9
10208,1,10,5315.5
10208,1,11,5738.2
10208,1,12,6306.7
10208,2,1,4788.9
10208,2,2,4492
10208,2,3,6254.5
10208,2,4,5301.2
10208,2,5,4832.1
10208,2,6,6485.6
10208,2,7,7190.6
10208,2,8,5212
10208,2,9,4774.3
10208,2,10,5390.4
10208,2,11,5697.3
10208,2,12,5749.7
10208,3,1,5457.8
10208,3,2,6298.4
10208,3,3,5604.3
10208,3,4,5659.9
10208,3,5,7180.7
10208,3,6,5659.9
10208,3,7,4941.2
10208,3,8,6165.3
10208,3,9,4556.1
10208,3,10,4421.4
10208,3,11,5517.6
10208,3,12,3946.5
10208,4,1,5772.2
10208,4,2,4556.1
10208,4,3,2767.3
10208,4,4,3842.4
10208,4,5,1184
10208,4,6,5475.9
10208,4,7,2850.9
10208,4,8,4710.2
10208,4,9,4684.5
10208,4,10,4954
10208,4,11,4864.2
10208,4,12,1689.8
10322,1,1,8039.8
10322,1,2,7660.6
10322,1,3,6184.4
10322,1,4,7204.3
10322,1,5,7885.3
10322,1,6,6145
10322,1,7,7272.7
10322,1,8,7033.2
10322,1,9,7466.7
