#labels: pth_lower[1]   pth_center[2]   pth_upper[3]   tot_scale01[4]   tot_scale01_Err[5]   tot_scale02[6]   tot_scale02_Err[7]   tot_scale03[8]   tot_scale03_Err[9]   tot_scale04[10]  tot_scale04_Err[11]  tot_scale05[12]  tot_scale05_Err[13]  tot_scale06[14]  tot_scale06_Err[15]  tot_scale07[16]  tot_scale07_Err[17] 
#neval: 1446064
#overflow:lower center upper    4.1363856725E+002    6.0422864256E+000    2.7168683281E+002    3.9775958028E+000    6.5075885015E+002    9.4892123660E+000    3.0860908116E+002    4.5080527047E+000    3.6415050342E+002    5.3312981679E+000    5.6785446109E+002    8.2950178575E+000    4.7402807735E+002    6.9121658389E+000
    1.0000000000E-002    1.1294627059E-002    1.2589254118E-002    8.9945783423E+003    6.5743355065E+002    6.0349004985E+003    4.4163290640E+002    1.3814069216E+004    1.0083830416E+003    6.7107102127E+003    4.9050059654E+002    8.0887690872E+003    5.9193463125E+002    1.2348005824E+004    9.0254295455E+002    1.0062493456E+004    7.3452996347E+002
    1.2589254118E-002    1.4219093021E-002    1.5848931925E-002    1.3752549827E+004    1.6473371462E+003    9.2292907971E+003    1.1075591955E+003    2.1115100044E+004    2.5239211581E+003    1.0260556200E+004    1.2290517454E+003    1.2370312007E+004    1.4844968173E+003    1.8879880623E+004    2.2615099786E+003    1.5380736312E+004    1.8384836314E+003
    1.5848931925E-002    1.7900777537E-002    1.9952623150E-002    1.2520113405E+004    8.1214904946E+002    8.3990774806E+003    5.4549894252E+002    1.9231818784E+004    1.2459070780E+003    9.3410552102E+003    6.0593134142E+002    1.1257550692E+004    7.3114958307E+002    1.7187957828E+004    1.1149406688E+003    1.4008909875E+004    9.0754806733E+002
    1.9952623150E-002    2.2535743732E-002    2.5118864315E-002    1.8450696946E+004    1.2237969209E+003    1.2361505189E+004    8.1725122671E+002    2.8383164886E+004    1.8898933593E+003    1.3765768190E+004    9.1305519648E+002    1.6568518581E+004    1.0953878131E+003    2.5329626879E+004    1.6800622477E+003    2.0674965968E+004    1.3766428460E+003
    2.5118864315E-002    2.8370820458E-002    3.1622776602E-002    1.8562965833E+004    1.3186671479E+003    1.2448548476E+004    8.8399442064E+002    2.8525335603E+004    2.0273032984E+003    1.3849530201E+004    9.8383634670E+002    1.6685185467E+004    1.1848458388E+003    2.5483752710E+004    1.8103027181E+003    2.0778526467E+004    1.4767354828E+003
    3.1622776602E-002    3.5716746829E-002    3.9810717055E-002    1.9623638176E+004    1.6314564731E+003    1.3121823202E+004    1.0730378898E+003    3.0258020509E+004    2.5661813766E+003    1.4640880774E+004    1.2172034306E+003    1.7587596996E+004    1.4382268132E+003    2.6939873028E+004    2.2397085515E+003    2.2040654972E+004    1.8692669701E+003
    3.9810717055E-002    4.4964720209E-002    5.0118723363E-002    1.7935040483E+004    1.1411074467E+003    1.2032333081E+004    7.6761430232E+002    2.7547772864E+004    1.7473703875E+003    1.3381045198E+004    8.5136190988E+002    1.6127318735E+004    1.0288578645E+003    2.4621719430E+004    1.5665438512E+003    2.0066446739E+004    1.2728257557E+003
    5.0118723363E-002    5.6607228905E-002    6.3095734448E-002    1.5852174041E+004    1.2656735762E+003    1.0619845542E+004    8.4623111886E+002    2.4388662844E+004    1.9517054508E+003    1.1827052051E+004    9.4429869532E+002    1.4234116760E+004    1.1342304843E+003    2.1762302792E+004    1.7375516777E+003    1.7765276576E+004    1.4216682296E+003
    6.3095734448E-002    7.1264278960E-002    7.9432823472E-002    1.3672592699E+004    6.3782134628E+002    9.1639360867E+003    4.2761830830E+002    2.1023124892E+004    9.8039041222E+002    1.0200901473E+004    4.7586824634E+002    1.2282715010E+004    5.7315041966E+002    1.8770113267E+004    8.7561877817E+002    1.5313739444E+004    7.1413947278E+002
    7.9432823472E-002    8.9716411736E-002    1.0000000000E-001    1.0898370310E+004    4.5405009286E+002    7.3046369638E+003    3.0427020003E+002    1.6757676536E+004    6.9848212640E+002    8.1310987754E+003    3.3875947035E+002    9.7906372575E+003    4.0782302688E+002    1.4961584072E+004    6.2333252071E+002    1.2206686374E+004    5.0879083606E+002
