#labels: yh_lower[1]   yh_center[2]   yh_upper[3]   tot_scale01[4]   tot_scale01_Err[5]   tot_scale02[6]   tot_scale02_Err[7]   tot_scale03[8]   tot_scale03_Err[9]   tot_scale04[10]  tot_scale04_Err[11]  tot_scale05[12]  tot_scale05_Err[13]  tot_scale06[14]  tot_scale06_Err[15]  tot_scale07[16]  tot_scale07_Err[17] 
#neval: 8000
#overflow:lower center upper    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000
   -4.4000000000E+000   -4.3000000000E+000   -4.2000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000
   -4.2000000000E+000   -4.1000000000E+000   -4.0000000000E+000    9.8958025819E-006    3.2250840454E-006    1.1806084041E-005    3.6567440684E-006    7.3382136231E-006    1.9706360247E-006    8.6064743463E-006    2.6657165836E-006    1.3574742948E-005    4.4240663189E-006    1.6846510145E-005    5.2179347388E-006    5.1426417696E-006    1.3810275435E-006
   -4.0000000000E+000   -3.9000000000E+000   -3.8000000000E+000    2.0170667588E-005    9.8544427344E-006   -1.9954619883E-006    1.5443396689E-005   -7.1360680883E-005    3.1903973239E-005   -1.4546645908E-006    1.1258025690E-005    2.7669471508E-005    1.3518006842E-005   -2.8473938109E-006    2.2036717518E-005   -5.0009775821E-005    2.2358398627E-005
   -3.8000000000E+000   -3.7000000000E+000   -3.6000000000E+000   -3.0265478122E-004    7.4117029201E-005   -3.0680775905E-004    7.3505336073E-005   -1.6648210627E-004    8.7997661565E-005   -2.2365867449E-004    5.3584388103E-005   -4.1517207147E-004    1.0167135117E-004   -4.3779461568E-004    1.0488730942E-004   -1.1667115154E-004    6.1669020995E-005
   -3.6000000000E+000   -3.5000000000E+000   -3.4000000000E+000   -9.3245444723E-004    2.4099629820E-004   -6.3245626124E-004    1.6569150675E-004    3.6594836817E-004    2.0773300064E-004   -4.6105199392E-004    1.2078685000E-004   -1.2791109490E-003    3.3059095230E-004   -9.0247374018E-004    2.3643094863E-004    2.5645769670E-004    1.4557990008E-004
   -3.4000000000E+000   -3.3000000000E+000   -3.2000000000E+000   -3.0442666178E-003    5.2736072373E-004   -1.4461773283E-003    2.4015161553E-004    2.8123373382E-003    8.6500626509E-004   -1.0542435606E-003    1.7506725440E-004   -4.1760268010E-003    7.2341643904E-004   -2.0636005087E-003    3.4268065629E-004    1.9708943087E-003    6.0619894409E-004
   -3.2000000000E+000   -3.1000000000E+000   -3.0000000000E+000   -5.2701891010E-003    6.9637094355E-004   -1.6844676184E-003    3.1597582090E-004    6.9153605577E-003    1.8485043399E-003   -1.2279539341E-003    2.3034206662E-004   -7.2294755013E-003    9.5525920981E-004   -2.4036251753E-003    4.5087684062E-004    4.8463050931E-003    1.2954372982E-003
   -3.0000000000E+000   -2.9000000000E+000   -2.8000000000E+000   -7.0978277056E-003    7.2632019678E-004   -1.4063792762E-003    3.6304928798E-004    1.0973145341E-002    1.9263899372E-003   -1.0252313231E-003    2.6465798250E-004   -9.7365712171E-003    9.9634262985E-004   -2.0068112900E-003    5.1804760088E-004    7.6900126479E-003    1.3500197547E-003
   -2.8000000000E+000   -2.7000000000E+000   -2.6000000000E+000   -1.2150732110E-002    9.7727107209E-004   -1.5563627123E-003    6.8469898570E-004    2.1150861788E-002    3.2627946292E-003   -1.1345672037E-003    4.9913622798E-004   -1.6667982576E-002    1.3405889501E-003   -2.2208278487E-003    9.7702069281E-004    1.4822586379E-002    2.2865761080E-003
   -2.6000000000E+000   -2.5000000000E+000   -2.4000000000E+000   -1.4539285838E-002    1.0807478005E-003   -2.3035253346E-004    8.5628272770E-004    2.9467512782E-002    3.8646064642E-003   -1.6792385713E-004    6.2421843717E-004   -1.9944523575E-002    1.4825349901E-003   -3.2869800675E-004    1.2218594760E-003    2.0650919946E-002    2.7083276185E-003
