time (unix)	dt (s)	p (Pa)
1616490455.099	0.474	2721.64
1616490542.428	1.609	2679.88
1616490662.429	1.610	2736.77
1616490782.430	1.610	2960.58
1616490902.430	1.611	2961.51
1616491022.434	1.611	2949.33
1616491142.431	1.610	2933.59
1616491262.430	1.610	2915.43
1616491383.138	1.609	2897.36
1616491502.354	1.612	2877.36
1616491622.350	1.607	2854.44
1616491742.347	1.607	2832.20
1616491862.354	1.613	2809.02
1616491982.351	1.608	2785.16
1616492102.353	1.610	2761.20
1616492222.350	1.609	2736.48
1616492342.351	1.608	2711.11
1616492462.351	1.607	2686.27
1616492582.351	1.610	2661.25
1616492702.349	1.609	2636.41
1616492822.350	1.607	2610.42
1616492942.352	1.611	2585.04
1616493062.352	1.611	2559.48
1616493182.349	1.608	2534.78
1616493302.350	1.609	2508.48
1616493422.351	1.610	2482.86
1616493542.349	1.608	2457.18
1616493662.349	1.609	2431.20
1616493782.352	1.611	2406.28
1616493902.351	1.609	2379.97
1616494022.352	1.611	2354.85
1616494142.351	1.610	2328.72
1616494262.352	1.611	2303.18
1616494382.350	1.609	2277.23
1616494502.350	1.610	2251.64
1616494622.351	1.609	2225.81
1616494742.351	1.611	2199.95
1616494862.350	1.610	2174.31
1616494982.350	1.610	2148.21
1616495102.351	1.610	2123.06
1616495222.350	1.610	2096.38
1616495342.352	1.610	2070.90
1616495462.353	1.612	2044.94
1616495582.351	1.610	2019.34
1616495702.353	1.610	1993.24
1616495822.353	1.611	1967.39
1616495942.354	1.611	1941.54
1616496062.352	1.610	1915.99
1616496182.352	1.610	1889.73
1616496302.352	1.611	1863.53
1616496422.352	1.610	1837.60
1616496542.352	1.610	1811.40
1616496662.351	1.610	1785.42
1616496782.353	1.610	1759.27
1616496902.353	1.610	1733.64
1616497022.353	1.612	1707.14
1616497142.351	1.610	1681.18
1616497262.353	1.611	1655.38
1616497382.352	1.610	1629.37
1616497502.352	1.611	1603.02
1616497622.353	1.612	1577.46
1616497742.353	1.611	1550.92
1616497862.351	1.610	1525.17
1616497982.354	1.611	1498.72
1616498102.353	1.610	1472.55
1616498222.351	1.610	1446.39
1616498342.352	1.611	1420.79
1616498462.353	1.611	1394.00
1616498582.352	1.611	1368.42
1616498702.352	1.611	1341.87
1616498822.353	1.610	1316.40
1616498942.351	1.611	1290.42
1616499062.354	1.613	1263.87
1616499182.351	1.610	1238.02
1616499302.353	1.611	1211.79
1616499422.351	1.610	1185.56
1616499542.352	1.611	1159.57
1616499662.353	1.611	1133.52
1616499782.352	1.611	1107.23
1616499902.355	1.610	1080.84
1616500022.351	1.609	1054.27
1616500142.352	1.609	1028.07
1616500262.353	1.611	1001.92
1616500382.352	1.610	975.42
1616500502.351	1.610	949.91
1616500622.352	1.610	927.10
1616500742.349	1.609	906.92
1616500862.351	1.611	889.42
1616500982.353	1.610	875.25
1616501102.352	1.610	863.73
1616501222.352	1.610	854.09
1616501342.352	1.610	846.15
1616501462.351	1.610	839.32
1616501582.353	1.611	833.52
1616501702.351	1.611	828.78
1616501822.352	1.610	825.08
1616501942.351	1.610	821.99
1616502062.351	1.611	819.67
1616502182.352	1.610	817.47
1616502302.352	1.610	816.03
1616502422.351	1.609	814.48
1616502542.352	1.611	813.18
1616502662.352	1.610	811.93
1616502782.352	1.610	811.34
1616502902.353	1.610	810.88
1616503022.351	1.610	810.57
1616503142.352	1.611	810.17
1616503262.353	1.610	809.69
1616503382.352	1.611	809.45
1616503502.351	1.609	809.29
1616503622.352	1.610	808.99
1616503742.352	1.611	808.84
1616503862.351	1.610	808.78
1616503982.351	1.610	808.79
1616504102.353	1.611	808.96
1616504222.352	1.611	810.89
1616504342.352	1.610	815.99
1616504462.349	1.611	823.90
1616504582.352	1.611	834.89
1616504702.352	1.611	848.39
1616504822.350	1.610	863.19
1616504942.353	1.611	880.18
1616505062.351	1.610	899.11
1616505182.352	1.610	919.71
1616505302.352	1.610	940.35
1616505422.350	1.609	962.34
1616505542.352	1.611	984.01
1616505662.349	1.609	1007.32
1616505782.352	1.611	1030.68
1616505902.352	1.609	1054.04
1616506022.351	1.610	1078.43
1616506142.352	1.611	1103.03
1616506262.352	1.611	1127.25
1616506382.350	1.610	1152.01
1616506502.351	1.610	1176.70
1616506622.352	1.611	1202.05
1616506742.352	1.610	1227.20
1616506862.353	1.610	1252.39
1616506982.353	1.611	1278.07
1616507102.354	1.611	1303.78
1616507222.352	1.610	1329.37
1616507342.352	1.610	1354.99
1616507462.350	1.609	1380.81
1616507582.351	1.610	1406.62
1616507702.353	1.612	1432.60
1616507822.351	1.610	1458.17
1616507942.352	1.611	1483.89
1616508062.351	1.610	1509.98
1616508182.352	1.611	1535.79
1616508302.351	1.610	1561.90
1616508422.354	1.612	1587.80
1616508542.350	1.610	1613.65
1616508662.353	1.612	1639.63
1616508782.349	1.609	1665.89
1616508902.353	1.612	1691.88
1616509022.351	1.610	1718.14
1616509142.351	1.610	1744.10
1616509262.351	1.611	1769.98
1616509382.350	1.609	1795.98
1616509502.352	1.611	1822.10
1616509622.352	1.610	1848.10
1616509742.352	1.611	1874.23
1616509862.352	1.611	1900.26
1616509982.352	1.610	1926.23
1616510102.351	1.610	1952.20
1616510222.352	1.611	1978.26
1616510342.350	1.610	2004.46
1616510462.354	1.612	2030.27
1616510582.350	1.610	2056.27
1616510702.351	1.611	2082.09
