#labels: pt_diff_lower[1]   pt_diff_center[2]   pt_diff_upper[3]   tot_scale01[4]   tot_scale01_Err[5]   tot_scale02[6]   tot_scale02_Err[7]   tot_scale03[8]   tot_scale03_Err[9]   tot_scale04[10]  tot_scale04_Err[11]  tot_scale05[12]  tot_scale05_Err[13]  tot_scale06[14]  tot_scale06_Err[15]  tot_scale07[16]  tot_scale07_Err[17] 
#neval: 1868388
#overflow:lower center upper   -5.8855277307E+001    2.9616227823E+000   -3.9375382198E+001    1.9734569717E+000   -9.0685655631E+001    4.5847083717E+000   -4.3910975642E+001    2.2096191167E+000   -5.2776077153E+001    2.6450871479E+000   -8.0798151873E+001    4.0657976363E+000   -6.6057567979E+001    3.3396095868E+000
    1.0000000000E-002    1.1294627059E-002    1.2589254118E-002   -3.8494391560E+003    1.0537945320E+003   -2.5712255196E+003    7.0609895194E+002   -5.9407981624E+003    1.6210059580E+003   -2.8720046315E+003    7.8621914876E+002   -3.4462953456E+003    9.4640688382E+002   -5.2846164998E+003    1.4466782680E+003   -4.3274173378E+003    1.1807789282E+003
    1.2589254118E-002    1.4219093021E-002    1.5848931925E-002    3.4032026497E+003    1.6117930376E+003    2.2716229407E+003    1.0656176225E+003    5.2577115573E+003    2.5180536093E+003    2.5390747524E+003    1.2025328577E+003    3.0447284797E+003    1.4282811930E+003    4.6720106866E+003    2.2127140436E+003    3.8298409622E+003    1.8342095706E+003
    1.5848931925E-002    1.7900777537E-002    1.9952623150E-002    4.6162945268E+003    1.9666303763E+003    3.0595945023E+003    1.3071777958E+003    7.1863487068E+003    3.0535189505E+003    3.4441430879E+003    1.4672712882E+003    4.1008718264E+003    1.7520519765E+003    6.3373767542E+003    2.6998445525E+003    5.2347056976E+003    2.2242551398E+003
    1.9952623150E-002    2.2535743732E-002    2.5118864315E-002    7.1440101892E+003    1.9074134874E+003    4.8107420080E+003    1.2679168006E+003    1.0925287347E+004    2.9609647112E+003    5.3300310822E+003    1.4230905200E+003    6.4479905262E+003    1.6994292159E+003    9.8074946998E+003    2.6185499703E+003    7.9582366870E+003    2.1568364515E+003
    2.5118864315E-002    2.8370820458E-002    3.1622776602E-002    2.1616040292E+003    1.4692563791E+003    1.4519781220E+003    9.7755879177E+002    3.3163908166E+003    2.2781862782E+003    1.6127379942E+003    1.0961885497E+003    1.9461324593E+003    1.3102531413E+003    2.9675097737E+003    2.0170357781E+003    2.4157372000E+003    1.6594845557E+003
    3.1622776602E-002    3.5716746829E-002    3.9810717055E-002    1.7963074156E+003    1.4527521377E+003    1.2274086909E+003    9.6602315304E+002    2.7001074123E+003    2.2544471911E+003    1.3401960670E+003    1.0838750007E+003    1.6451349080E+003    1.2947915578E+003    2.4660204830E+003    1.9943782993E+003    1.9668218496E+003    1.6421924454E+003
    3.9810717055E-002    4.4964720209E-002    5.0118723363E-002   -1.4265870399E+003    1.3005909413E+003   -9.8098583623E+002    8.6694973133E+002   -2.1279352576E+003    2.0127921976E+003   -1.0643536421E+003    9.7034997979E+002   -1.3148465180E+003    1.1620002995E+003   -1.9584581295E+003    1.7854872020E+003   -1.5500381726E+003    1.4661652551E+003
    5.0118723363E-002    5.6607228905E-002    6.3095734448E-002    1.1273600900E+003    7.9889201419E+002    7.5995272089E+002    5.3493186560E+002    1.7223859295E+003    1.2299648559E+003    8.4110522818E+002    5.9604048066E+002    1.0185888032E+003    7.1698619377E+002    1.5476710999E+003    1.0967410442E+003    1.2546264878E+003    8.9593537713E+002
    6.3095734448E-002    7.1264278960E-002    7.9432823472E-002    1.0892834581E+003    6.3326826413E+002    7.2628799987E+002    4.2295060643E+002    1.6844536920E+003    9.7781267724E+002    8.1269686564E+002    4.7247126499E+002    9.7346690690E+002    5.6689415037E+002    1.4953984469E+003    8.6936818111E+002    1.2269957524E+003    7.1226178990E+002
    7.9432823472E-002    8.9716411736E-002    1.0000000000E-001    5.2006254571E+001    5.7746886481E+002    3.6925365849E+001    3.8328718710E+002    7.4859747373E+001    8.9821439563E+002    3.8801029953E+001    4.3084023076E+002    4.9492242314E+001    5.1373200789E+002    7.1395624104E+001    7.9276522302E+002    5.4529603569E+001    6.5428052636E+002
