#labels: pth_lower[1]   pth_center[2]   pth_upper[3]   tot_scale01[4]   tot_scale01_Err[5]   tot_scale02[6]   tot_scale02_Err[7]   tot_scale03[8]   tot_scale03_Err[9]   tot_scale04[10]  tot_scale04_Err[11]  tot_scale05[12]  tot_scale05_Err[13]  tot_scale06[14]  tot_scale06_Err[15]  tot_scale07[16]  tot_scale07_Err[17] 
#neval: 3569994
#overflow:lower center upper    4.0684824813E+002    3.7835033734E+000    2.6716269312E+002    2.4595125537E+000    6.4028173691E+002    6.0490386727E+000    3.0354293329E+002    2.8228110047E+000    3.5808665510E+002    3.2965629042E+000    5.5853252327E+002    5.1940980344E+000    4.6639630124E+002    4.4062622755E+000
    1.0000000000E-002    1.1294627059E-002    1.2589254118E-002    9.2884768991E+003    5.8059603736E+002    6.2375646835E+003    3.9062134035E+002    1.4251425229E+004    8.8892792528E+002    6.9299831982E+003    4.3317336389E+002    8.3604063404E+003    5.2356220677E+002    1.2751477888E+004    7.9705829196E+002    1.0381073879E+004    6.4751604258E+002
    1.2589254118E-002    1.4219093021E-002    1.5848931925E-002    1.1288403402E+004    7.2795101765E+002    7.5538940088E+003    4.8248385299E+002    1.7388523582E+004    1.1335835884E+003    8.4220961911E+003    5.4311254431E+002    1.0124724403E+004    6.4668845428E+002    1.5497032284E+004    9.9935128286E+002    1.2666210225E+004    8.2572899134E+002
    1.5848931925E-002    1.7900777537E-002    1.9952623150E-002    1.4309864054E+004    1.0776312426E+003    9.5813607703E+003    7.1752399756E+002    2.2028864410E+004    1.6694377892E+003    1.0676359379E+004    8.0400333509E+002    1.2842202590E+004    9.6172023586E+002    1.9644977001E+004    1.4794019633E+003    1.6046343803E+004    1.2160578151E+003
    1.9952623150E-002    2.2535743732E-002    2.5118864315E-002    1.6625308778E+004    8.9217148219E+002    1.1145252523E+004    5.9665902946E+002    2.5557362363E+004    1.3750393204E+003    1.2403875442E+004    6.6563479122E+002    1.4938336448E+004    7.9972107482E+002    2.2823683535E+004    1.2247976768E+003    1.8616584838E+004    1.0016110348E+003
    2.5118864315E-002    2.8370820458E-002    3.1622776602E-002    2.0515546886E+004    1.3974228276E+003    1.3752589075E+004    9.3645611322E+002    3.1540542361E+004    2.1493052823E+003    1.5306319514E+004    1.0425946924E+003    1.8433032559E+004    1.2551619139E+003    2.8164309963E+004    1.9184206926E+003    2.2974874104E+004    1.5656046020E+003
    3.1622776602E-002    3.5716746829E-002    3.9810717055E-002    2.0973096271E+004    1.8127339101E+003    1.4023143012E+004    1.2011590181E+003    3.2338665850E+004    2.8240348875E+003    1.5647689750E+004    1.3524516104E+003    1.8795664606E+004    1.6099516366E+003    2.8792446408E+004    2.4885712289E+003    2.3556246055E+004    2.0570935420E+003
    3.9810717055E-002    4.4964720209E-002    5.0118723363E-002    1.7692746835E+004    7.6550072742E+002    1.1850049931E+004    5.1075469201E+002    2.7226806593E+004    1.1835811439E+003    1.3200273805E+004    5.7112777874E+002    1.5882998831E+004    6.8458075902E+002    2.4289092011E+004    1.0509005626E+003    1.9832647345E+004    8.6214838858E+002
    5.0118723363E-002    5.6607228905E-002    6.3095734448E-002    1.5710822911E+004    6.6716999137E+002    1.0529562843E+004    4.4783465552E+002    2.4158878058E+004    1.0243045314E+003    1.1721592247E+004    4.9776479834E+002    1.4113107987E+004    6.0024703285E+002    2.1568252054E+004    9.1590940956E+002    1.7597895924E+004    7.4612755175E+002
    6.3095734448E-002    7.1264278960E-002    7.9432823472E-002    1.4292401308E+004    5.3797182221E+002    9.5732696480E+003    3.6006275259E+002    2.1992147997E+004    8.2858147757E+002    1.0663330705E+004    4.0137212263E+002    1.2831357801E+004    4.8260355963E+002    1.9621003661E+004    7.3854259096E+002    1.6019598703E+004    6.0355826840E+002
    7.9432823472E-002    8.9716411736E-002    1.0000000000E-001    1.1840331887E+004    3.5396227602E+002    7.9281806779E+003    2.3656376408E+002    1.8226836366E+004    5.4627443868E+002    8.8338811548E+003    2.6408556023E+002    1.0626392730E+004    3.1707393726E+002    1.6254734966E+004    4.8592919859E+002    1.3276857006E+004    3.9791917054E+002
