FORMAT = Name, Patch, Ra, Dec, I, SpectralIndex='[]', LogarithmicSI, ReferenceFrequency='150000000.0'
,,,,,,,
 , 3C61.1, 2:33:06.8705, 86.30.45.2960,,,,
 , Patch_0, 1:26:43.8591, 89.27.48.4997,,,,
 , Patch_1, -2:02:25.5563, 89.14.43.1056,,,,
 , Patch_10, -4:56:49.7270, 85.54.53.3077,,,,
 , Patch_11, -8:54:52.8292, 87.00.44.8484,,,,
 , Patch_12, -8:05:45.6759, 85.49.40.3215,,,,
 , Patch_13, 11:50:08.1332, 87.10.32.8795,,,,
 , Patch_14, -10:45:28.3969, 86.07.29.2024,,,,
 , Patch_15, 6:47:23.3227, 87.07.58.8899,,,,
 , Patch_16, 3:24:33.0163, 87.40.01.3555,,,,
 , Patch_17, 9:51:33.8519, 87.27.56.6557,,,,
 , Patch_18, 9:12:40.9329, 86.11.56.7152,,,,
 , Patch_19, -1:45:09.9526, 86.54.39.0972,,,,
 , Patch_2, -4:33:42.2263, 87.55.32.9051,,,,
 , Patch_20, 5:11:56.0918, 87.33.47.8884,,,,
 , Patch_21, 4:39:49.2104, 86.17.52.5130,,,,
 , Patch_22, -7:27:26.7454, 88.07.02.3164,,,,
 , Patch_3, 1:11:28.3111, 87.00.31.9118,,,,
 , Patch_4, -1:07:28.3769, 87.50.47.4313,,,,
 , Patch_5, 6:08:07.8796, 88.49.00.4333,,,,
 , Patch_6, -9:48:19.9604, 88.43.20.5374,,,,
 , Patch_7, -13:33:28.3785, 89.05.00.5352,,,,
 , Patch_8, -6:37:12.8588, 86.40.20.1308,,,,
 , Patch_9, -3:07:58.3858, 85.40.32.8248,,,,
s0c125, 3C61.1, 2:22:34.186, 86.17.19.596,37.4935427370273, [0.0], false,141600038.567377
s0c199, 3C61.1, 2:46:56.127, 86.18.30.985,0.286602793554654, [0.0], false,141600038.567377
s0c204, 3C61.1, 2:17:34.851, 86.44.34.757,0.196066122849261, [0.0], false,141600038.567377
s0c1063, Patch_0, -2:35:35.333, 89.41.09.287,0.0331093630744605, [0.0], false,141600038.567377
s0c1064, Patch_0, -2:36:52.226, 89.41.17.052,0.277249673461831, [0.0], false,141600038.567377
s0c1082, Patch_0, -0:25:59.843, 89.46.44.888,0.0702335292571726, [0.0], false,141600038.567377
s0c1092, Patch_0, 3:12:32.726, 89.42.46.071,0.115020204069679, [0.0], false,141600038.567377
s0c1124, Patch_0, 5:03:51.302, 89.38.41.829,0.235489116305799, [0.0], false,141600038.567377
s0c1170, Patch_0, -6:15:36.118, 89.45.17.954,0.0582016154058993, [0.0], false,141600038.567377
s0c1198, Patch_0, 7:28:55.109, 89.39.17.656,0.125484479601222, [0.0], false,141600038.567377
s0c1215, Patch_0, -7:29:07.201, 89.34.03.804,0.255642727214392, [0.0], false,141600038.567377
s0c1232, Patch_0, -8:10:00.957, 89.37.40.103,0.0254150655449875, [0.0], false,141600038.567377
s0c597, Patch_0, 1:08:33.167, 88.40.48.622,0.0452913940571494, [0.0], false,141600038.567377
s0c646, Patch_0, 2:05:33.664, 88.39.21.447,0.080421484952271, [0.0], false,141600038.567377
s0c649, Patch_0, 0:51:00.006, 88.49.45.801,0.0582104590529629, [0.0], false,141600038.567377
s0c683, Patch_0, 0:49:48.431, 88.52.44.832,0.0530814795328414, [0.0], false,141600038.567377
