#labels: ptj1_lower[1]   ptj1_center[2]   ptj1_upper[3]   tot_scale01[4]   tot_scale01_Err[5]   tot_scale02[6]   tot_scale02_Err[7]   tot_scale03[8]   tot_scale03_Err[9]   tot_scale04[10]  tot_scale04_Err[11]  tot_scale05[12]  tot_scale05_Err[13]  tot_scale06[14]  tot_scale06_Err[15]  tot_scale07[16]  tot_scale07_Err[17] 
#neval: 2030039
#overflow:lower center upper    3.5113933324E+002    3.9460742986E+000    2.2990168123E+002    2.5862013595E+000    5.5438581256E+002    6.2272654303E+000    2.6197940804E+002    2.9441025569E+000    3.0814453572E+002    3.4663679402E+000    4.8205378471E+002    5.4172798951E+000    4.0382768637E+002    4.5360868444E+000
    1.0000000000E-002    1.1294627059E-002    1.2589254118E-002    7.1654249103E+003    1.0312499350E+003    4.8001752178E+003    6.8570120135E+002    1.1023282920E+004    1.5999305723E+003    5.3460082612E+003    7.6939898760E+002    6.4338275212E+003    9.1906712993E+002    9.8368934211E+003    1.4157284219E+003    8.0296189710E+003    1.1654271209E+003
    1.2589254118E-002    1.4219093021E-002    1.5848931925E-002    1.6128787496E+004    1.4931759973E+003    1.0818708409E+004    1.0021158019E+003    2.4777871650E+004    2.2926224984E+003    1.2033428900E+004    1.1140345921E+003    1.4500658985E+004    1.3431676831E+003    2.2142045391E+004    2.0498732913E+003    1.8048785439E+004    1.6700002386E+003
    1.5848931925E-002    1.7900777537E-002    1.9952623150E-002    1.8564187950E+004    1.2179830532E+003    1.2432043359E+004    8.1634130603E+002    2.8570979363E+004    1.8729201081E+003    1.3850442002E+004    9.0871756330E+002    1.6663063134E+004    1.0941682174E+003    2.5485430466E+004    1.6720808093E+003    2.0811774458E+004    1.3642791299E+003
    1.9952623150E-002    2.2535743732E-002    2.5118864315E-002    2.0884683349E+004    1.1061304466E+003    1.3999857506E+004    7.3942334315E+002    3.2107247639E+004    1.7058614172E+003    1.5581726292E+004    8.2526613279E+002    1.8764454302E+004    9.9107262529E+002    2.8671070706E+004    1.5185264586E+003    2.3387675578E+004    1.2425896438E+003
    2.5118864315E-002    2.8370820458E-002    3.1622776602E-002    2.1257696635E+004    1.7333683818E+003    1.4223978569E+004    1.1311966419E+003    3.2749357156E+004    2.7461216493E+003    1.5860025504E+004    1.2932382664E+003    1.9064850891E+004    1.5161788386E+003    2.9183153657E+004    2.3796160374E+003    2.3855403278E+004    2.0003397038E+003
    3.1622776602E-002    3.5716746829E-002    3.9810717055E-002    1.9242495949E+004    9.0717038976E+002    1.2895913953E+004    6.0684970524E+002    2.9593859749E+004    1.3992374361E+003    1.4356516689E+004    6.7682523489E+002    1.7284803645E+004    8.1337996169E+002    2.6416630440E+004    1.2453885918E+003    2.1556864628E+004    1.0192375124E+003
    3.9810717055E-002    4.4964720209E-002    5.0118723363E-002    1.9460381141E+004    1.3608341985E+003    1.3026710741E+004    9.0314394909E+002    2.9966319509E+004    2.1160223923E+003    1.4519077326E+004    1.0152965049E+003    1.7460114741E+004    1.2105125608E+003    2.6715749256E+004    1.8681908111E+003    2.1828173092E+004    1.5413605609E+003
    5.0118723363E-002    5.6607228905E-002    6.3095734448E-002    1.8793838571E+004    2.9346925319E+003    1.2499664014E+004    1.8779678738E+003    2.9157451335E+004    4.7506337436E+003    1.4021780636E+004    2.1895268900E+003    1.6753697249E+004    2.5171000728E+003    2.5800701187E+004    4.0288270439E+003    2.1238974458E+004    3.4604735367E+003
    6.3095734448E-002    7.1264278960E-002    7.9432823472E-002    1.4431260339E+004    5.2761725776E+002    9.6679901238E+003    3.5284819300E+002    2.2202213360E+004    8.1368239771E+002    1.0766931195E+004    3.9364674866E+002    1.2958314668E+004    4.7293365595E+002    1.9811633178E+004    7.2432755861E+002    1.6172615262E+004    5.9270542762E+002
    7.9432823472E-002    8.9716411736E-002    1.0000000000E-001    1.2489573587E+004    5.3143251712E+002    8.3640468359E+003    3.5645750349E+002    1.9223687040E+004    8.1672436366E+002    9.3182699440E+003    3.9649325230E+002    1.1210598005E+004    4.7777132960E+002    1.7146031923E+004    7.2956525214E+002    1.4002986521E+004    5.9492126729E+002
