#labels: pth_lower[1]   pth_center[2]   pth_upper[3]   tot_scale01[4]   tot_scale01_Err[5]   tot_scale02[6]   tot_scale02_Err[7]   tot_scale03[8]   tot_scale03_Err[9]   tot_scale04[10]  tot_scale04_Err[11]  tot_scale05[12]  tot_scale05_Err[13]  tot_scale06[14]  tot_scale06_Err[15]  tot_scale07[16]  tot_scale07_Err[17] 
#neval: 2030039
#overflow:lower center upper    4.0609804973E+002    4.5515917790E+000    2.6670115348E+002    2.9972488750E+000    6.3898467566E+002    7.1442327492E+000    3.0298322234E+002    3.3958694085E+000    3.5746803884E+002    4.0173079991E+000    5.5750263016E+002    6.2485510331E+000    4.6545149127E+002    5.2040274419E+000
    1.0000000000E-002    1.1294627059E-002    1.2589254118E-002    9.3960858492E+003    5.6143079948E+002    6.2937942822E+003    3.7573248569E+002    1.4457492708E+004    8.6482991655E+002    7.0102685049E+003    4.1887448821E+002    8.4357726600E+003    5.0360620130E+002    1.2899206430E+004    7.7074772353E+002    1.0531178286E+004    6.2996248530E+002
    1.2589254118E-002    1.4219093021E-002    1.5848931925E-002    1.1525025042E+004    8.2126592734E+002    7.7203239816E+003    5.5003336977E+002    1.7731552524E+004    1.2638941955E+003    8.5986357903E+003    6.1273329735E+002    1.0347795789E+004    7.3722722014E+002    1.5821873013E+004    1.1274565708E+003    1.2916080588E+004    9.2065030747E+002
    1.5848931925E-002    1.7900777537E-002    1.9952623150E-002    1.4617948895E+004    9.7219803533E+002    9.8055941800E+003    6.5044162575E+002    2.2456009034E+004    1.4979441686E+003    1.0906216523E+004    7.2534131520E+002    1.3142749761E+004    8.7180759926E+002    2.0067924388E+004    1.3346603415E+003    1.6357486010E+004    1.0911378217E+003
    1.9952623150E-002    2.2535743732E-002    2.5118864315E-002    1.7730136503E+004    1.0943609798E+003    1.1879954051E+004    7.3136250401E+002    2.7271005402E+004    1.6882333359E+003    1.3228169635E+004    8.1648512295E+002    1.5923080274E+004    9.8026842621E+002    2.4340421581E+004    1.5023690092E+003    1.9864842799E+004    1.2297489341E+003
    2.5118864315E-002    2.8370820458E-002    3.1622776602E-002    1.8692384873E+004    1.2261419593E+003    1.2523658016E+004    8.2216149844E+002    2.8755379247E+004    1.8846538146E+003    1.3946087664E+004    9.1480479185E+002    1.6785857172E+004    1.1019692064E+003    2.5661422746E+004    1.6832815811E+003    2.0946095677E+004    1.3728262381E+003
    3.1622776602E-002    3.5716746829E-002    3.9810717055E-002    2.0523491369E+004    2.0359532138E+003    1.3723848116E+004    1.3373264706E+003    3.1641799757E+004    3.2028482687E+003    1.5312246766E+004    1.5189919421E+003    1.8394510137E+004    1.7924612042E+003    2.8175216369E+004    2.7950128604E+003    2.3048632376E+004    2.3330301332E+003
    3.9810717055E-002    4.4964720209E-002    5.0118723363E-002    1.7266971502E+004    7.6269280167E+002    1.1569706919E+004    5.1112088210E+002    2.6558551464E+004    1.1730309985E+003    1.2882609678E+004    5.6903283050E+002    1.5507246176E+004    6.8507157524E+002    2.3704575862E+004    1.0470457645E+003    1.9345874566E+004    8.5446341414E+002
    5.0118723363E-002    5.6607228905E-002    6.3095734448E-002    1.5727801027E+004    9.3364295484E+002    1.0527055808E+004    6.1812711173E+002    2.4222866499E+004    1.4565934854E+003    1.1734259346E+004    6.9657598985E+002    1.4109747729E+004    8.2849542832E+002    2.1591560080E+004    1.2817308611E+003    1.7644506612E+004    1.0610170099E+003
    6.3095734448E-002    7.1264278960E-002    7.9432823472E-002    1.5965882211E+004    2.4769731351E+003    1.0623176781E+004    1.5864736159E+003    2.4758878966E+004    4.0061487897E+003    1.1911887887E+004    1.8480298110E+003    1.4238581726E+004    2.1264010476E+003    2.1918404512E+004    3.4004572013E+003    1.8034950721E+004    2.9181731572E+003
    7.9432823472E-002    8.9716411736E-002    1.0000000000E-001    1.2035908239E+004    5.5465614540E+002    8.0636137964E+003    3.7158239387E+002    1.8515774128E+004    8.5351703910E+002    8.9797975253E+003    4.1382002778E+002    1.0807918047E+004    4.9804370125E+002    1.6523227590E+004    7.6144729111E+002    1.3487326078E+004    6.2172191886E+002
    1.0000000000E-001    1.1294627059E-001    1.2589254118E-001    1.0225020013E+004    4.9092602096E+002    6.8469499507E+003    3.2806350171E+002    1.5739703432E+004    7.5765146733E+002    7.6287229498E+003    3.6627200711E+002    9.1771847964E+003    4.3971394589E+002    1.4037190167E+004    6.7395681432E+002    1.1465170784E+004    5.5189117793E+002
    1.2589254118E-001    1.4219093021E-001    1.5848931925E-001    8.4968029352E+003    3.3341622365E+002    5.6888749430E+003    2.2112016912E+002    1.3081164215E+004    5.1912660693E+002    6.3393279888E+003    2.4875648107E+002    7.6249800293E+003    2.9637439573E+002    1.1664645983E+004    4.5772300986E+002    9.5286281867E+003    3.7814405033E+002
    1.5848931925E-001    1.7900777537E-001    1.9952623150E-001    7.7286626691E+003    4.2088125660E+002    5.1725321515E+003    2.7983449692E+002    1.1903607517E+004    6.5308197069E+002    5.7662308927E+003    3.1401273517E+002    6.9329093628E+003    3.7507107678E+002    1.0610121788E+004    5.7779742526E+002    8.6708681462E+003    4.7572029308E+002
    1.9952623150E-001    2.2535743732E-001    2.5118864315E-001    5.9373489749E+003    2.0523420363E+002    3.9774358649E+003    1.3765446821E+002    9.1349020077E+003    3.1536513485E+002    4.4297605608E+003    1.5312193789E+002    5.3310837980E+003    1.8450266204E+002    8.1509568240E+003    2.8175118890E+002    6.6540778270E+003    2.2971939376E+002
    2.5118864315E-001    2.8370820458E-001    3.1622776602E-001    4.9037653631E+003    1.5419178461E+002    3.2850631495E+003    1.0348662675E+002    7.5445718209E+003    2.3675596914E+002    3.6586204545E+003    1.1504001014E+002    4.4030746257E+003    1.3870641738E+002    6.7320246660E+003    2.1167874489E+002    5.4956438531E+003    1.7245862554E+002
    3.1622776602E-001    3.5716746829E-001    3.9810717055E-001    3.9104585593E+003    1.1252540151E+002    2.6173772416E+003    7.5269713233E+001    6.0222686696E+003    1.7344083638E+002    2.9175302267E+003    8.3953391963E+001    3.5081539665E+003    1.0088639071E+002    5.3683856235E+003    1.5447798221E+002    4.3867623745E+003    1.2633839122E+002
