#labels: pth_lower[1]   pth_center[2]   pth_upper[3]   tot_scale01[4]   tot_scale01_Err[5]   tot_scale02[6]   tot_scale02_Err[7]   tot_scale03[8]   tot_scale03_Err[9]   tot_scale04[10]  tot_scale04_Err[11]  tot_scale05[12]  tot_scale05_Err[13]  tot_scale06[14]  tot_scale06_Err[15]  tot_scale07[16]  tot_scale07_Err[17] 
#neval: 3629958
#overflow:lower center upper    4.0953038236E+002    3.9917358152E+000    2.6900472149E+002    2.6422859749E+000    6.4425596366E+002    6.2282406950E+000    3.0554403050E+002    2.9781698799E+000    3.6055558431E+002    3.5415399340E+000    5.6221463129E+002    5.4799652875E+000    4.6929122163E+002    4.5367972503E+000
    3.9810717055E-001    4.4964720209E-001    5.0118723363E-001    3.1326485576E+003    7.0423918074E+001    2.0973542845E+003    4.7127863683E+001    4.8228820118E+003    1.0849739571E+002    2.3372186964E+003    5.2542152423E+001    2.8111506570E+003    6.3166974666E+001    4.3005865489E+003    9.6679901759E+001    3.5131008772E+003    7.9032059074E+001
    5.0118723363E-001    5.6607228905E-001    6.3095734448E-001    2.6907390856E+003    8.9874623918E+001    1.7995175321E+003    5.9710381401E+001    4.1477053149E+003    1.3955565084E+002    2.0075171480E+003    6.7054011165E+001    2.4119505846E+003    8.0031723370E+001    3.6939210082E+003    1.2338236850E+002    3.0212862651E+003    1.0165562379E+002
    6.3095734448E-001    7.1264278960E-001    7.9432823472E-001    2.0178192376E+003    4.4478679221E+001    1.3488655972E+003    2.9312608388E+001    3.1121179015E+003    6.9793124332E+001    1.5054624741E+003    3.3184827074E+001    1.8079274626E+003    3.9288621354E+001    2.7701180364E+003    6.1061560547E+001    2.2669399963E+003    5.0838955985E+001
    7.9432823472E-001    8.9716411736E-001    1.0000000000E+000    1.6458533906E+003    3.8992485917E+001    1.1007990288E+003    2.5938017635E+001    2.5368305365E+003    6.0479332715E+001    1.2279447392E+003    2.9091666502E+001    1.4754359508E+003    3.4765550034E+001    2.2594730379E+003    5.3529962701E+001    1.8478871267E+003    4.4054570752E+001
    1.0000000000E+000    1.1294627059E+000    1.2589254118E+000    1.3082477824E+003    2.9494659667E+001    8.7557598368E+002    1.9760767490E+001    2.0149415851E+003    4.5379084326E+001    9.7606262575E+002    2.2005491121E+001    1.1735623399E+003    2.6485985188E+001    1.7959987252E+003    4.0491084237E+001    1.4677309196E+003    3.3055194086E+001
    1.2589254118E+000    1.4219093021E+000    1.5848931925E+000    1.0491693920E+003    2.5738995097E+001    7.0185654656E+002    1.7156881271E+001    1.6167261238E+003    3.9822558835E+001    7.8276840621E+002    1.9203450199E+001    9.4072065296E+002    2.2995913668E+001    1.4403287479E+003    3.5335204081E+001    1.1776613962E+003    2.9007690015E+001
    1.5848931925E+000    1.7900777537E+000    1.9952623150E+000    8.3591303599E+002    3.5014093361E+001    5.5873305620E+002    2.3268465155E+001    1.2893940221E+003    5.4355866638E+001    6.2366126949E+002    2.6123451813E+001    7.4888768657E+002    3.1187463935E+001    1.1475645265E+003    4.8068315409E+001    9.3922498188E+002    3.9594093802E+001
    1.9952623150E+000    2.2535743732E+000    2.5118864315E+000    6.3207719292E+002    1.0019391315E+001    4.2271839046E+002    6.6792938371E+000    9.7433935579E+002    1.5504636602E+001    4.7158262593E+002    7.4753066862E+000    5.6658290392E+002    8.9524699749E+000    8.6773304563E+002    1.3754897405E+001    7.0973174073E+002    1.1293942567E+001
    2.5118864315E+000    2.8370820458E+000    3.1622776602E+000    4.9244286398E+002    8.9599450514E+000    3.2913806798E+002    5.9893421032E+000    7.5961072267E+002    1.3821251265E+001    3.6740369928E+002    6.6848708715E+000    4.4115422124E+002    8.0277057209E+000    6.7603917835E+002    1.2300460284E+001    5.5331834568E+002    1.0067725029E+001
    3.1622776602E+000    3.5716746829E+000    3.9810717055E+000    3.8857533908E+002    1.2020962503E+001    2.5961387835E+002    8.0116887180E+000    5.9964129684E+002    1.8602268758E+001    2.8990980979E+002    8.9686467520E+000    3.4796873857E+002    1.0738321213E+001    5.3344696853E+002    1.6502709671E+001    4.3679284727E+002    1.3550330805E+001
    3.9810717055E+000    4.4964720209E+000    5.0118723363E+000    2.9969325078E+002    5.3307697127E+000    2.0021721045E+002    3.5509251168E+000    4.6252005055E+002    8.2561225386E+000    2.2359631349E+002    3.9772015309E+000    2.6835749537E+002    4.7594178766E+000    4.1142718036E+002    7.3182280427E+000    3.3691050110E+002    6.0139541589E+000
    5.0118723363E+000    5.6607228905E+000    6.3095734448E+000    2.2759151699E+002    6.7393036804E+000    1.5201421923E+002    4.4659601767E+000    3.5132898447E+002    1.0494659998E+001    1.6980236974E+002    5.0280860662E+000    2.0374949307E+002    5.9858684714E+000    3.1244392680E+002    9.2519024155E+000    2.5591630907E+002    7.6445575812E+000
    6.3095734448E+000    7.1264278960E+000    7.9432823472E+000    1.7302948043E+002    2.7589571578E+000    1.1552208699E+002    1.8285251610E+000    2.6725460780E+002    4.3079987579E+000    1.2909451196E+002    2.0584135543E+000    1.5483792755E+002    2.4508304323E+000    2.3753965452E+002    3.7875726637E+000    1.9467455244E+002    3.1380477852E+000
    7.9432823472E+000    8.9716411736E+000    1.0000000000E+001    1.2850613636E+002    1.8576284316E+000    8.5770711168E+001    1.2340252123E+000    1.9853738594E+002    2.8864413730E+000    9.5876361165E+001    1.3859466907E+000    1.1496121225E+002    1.6540032421E+000    1.7641677684E+002    2.5502036692E+000    1.4461930916E+002    2.1025518963E+000
    1.0000000000E+001    1.1294627059E+001    1.2589254118E+001    9.4229956492E+001    1.4824922753E+000    6.2890850512E+001    9.9019743448E-001    1.4558775073E+002    2.2888428225E+000    7.0303454738E+001    1.1060636389E+000    8.4294607279E+001    1.3271931162E+000    1.2936148947E+002    2.0352063823E+000    1.0604954746E+002    1.6672470336E+000
    1.2589254118E+001    1.4219093021E+001    1.5848931925E+001    7.3018621433E+001    9.8134813899E-001    4.8726444403E+001    6.5581021881E-001    1.1283491970E+002    1.5142368617E+000    5.4478018860E+001    7.3216806035E-001    6.5309603251E+001    8.7900329530E-001    1.0024198227E+002    1.3472218568E+000    8.2191613727E+001    1.1030058032E+000
    1.5848931925E+001    1.7900777537E+001    1.9952623150E+001    5.3586975242E+001    9.1966011326E-001    3.5730348837E+001    6.1410861862E-001    8.2883674434E+001    1.4202588665E+000    3.9980380218E+001    6.8614361667E-001    4.7890523004E+001    8.2310931418E-001    7.3565681144E+001    1.2625348295E+000    6.0374421072E+001    1.0345500175E+000
    1.9952623150E+001    2.2535743732E+001    2.5118864315E+001    3.9452811802E+001    5.6716850025E-001    2.6283346973E+001    3.7641374136E-001    6.1082615889E+001    8.8233204723E-001    2.9435108240E+001    4.2315529446E-001    3.5228405930E+001    5.0451930995E-001    5.4161910803E+001    7.7862459779E-001    4.4494016428E+001    6.4271144962E-001
    2.5118864315E+001    2.8370820458E+001    3.1622776602E+001    2.8615415640E+001    4.0992543114E-001    1.9051649176E+001    2.7271458703E-001    4.4334490478E+001    6.3585473585E-001    2.1349501296E+001    3.0583877003E-001    2.5535531357E+001    3.6552803509E-001    3.9284033727E+001    5.6275696517E-001    3.2294287318E+001    4.6317156938E-001
    3.1622776602E+001    3.5716746829E+001    3.9810717055E+001    2.1759668266E+001    5.2357589521E-001    1.4469757604E+001    3.4615407005E-001    3.3758416727E+001    8.1749166557E-001    1.6234538463E+001    3.9063155308E-001    1.9394276349E+001    4.6396131003E-001    2.9872274190E+001    7.1877946437E-001    2.4590426041E+001    5.9548018808E-001
    3.9810717055E+001    4.4964720209E+001    5.0118723363E+001    1.4623355468E+001    2.6465737084E-001    9.7185155882E+000    1.7532323838E-001    2.2701602976E+001    4.1242107985E-001    1.0910250281E+001    1.9745660705E-001    1.3026035555E+001    2.3499131281E-001    2.0075346682E+001    3.6332895573E-001    1.6536382423E+001    3.0041723058E-001
    5.0118723363E+001    5.6607228905E+001    6.3095734448E+001    1.0811771467E+001    1.9016563629E-001    7.1762830836E+000    1.2578090879E-001    1.6808551225E+001    2.9689788434E-001    8.0664887711E+000    1.4187952220E-001    9.6186004694E+000    1.6858815270E-001    1.4842698785E+001    2.6106464306E-001    1.2243744697E+001    2.1626741342E-001
    6.3095734448E+001    7.1264278960E+001    7.9432823472E+001    7.3582658123E+000    1.2176863883E-001    4.8781441816E+000    8.0680137473E-002    1.1454876156E+001    1.8978697042E-001    5.4898837561E+000    9.0849622636E-002    6.5383318033E+000    1.0813815441E-001    1.0101630743E+001    1.6716735395E-001    8.3440016519E+000    1.3824530035E-001
    7.9432823472E+001    8.9716411736E+001    1.0000000000E+002    4.9166299263E+000    8.8702962773E-002    3.2540707862E+000    5.8548992804E-002    7.6682620819E+000    1.3880197802E-001    3.6682184982E+000    6.6179853632E-002    4.3615345754E+000    7.8475077294E-002    6.7496854941E+000    1.2177387969E-001    5.5857427532E+000    1.0110663076E-001
#nx: 3
