#labels: ptj1_lower[1]   ptj1_center[2]   ptj1_upper[3]   tot_scale01[4]   tot_scale01_Err[5]   tot_scale02[6]   tot_scale02_Err[7]   tot_scale03[8]   tot_scale03_Err[9]   tot_scale04[10]  tot_scale04_Err[11]  tot_scale05[12]  tot_scale05_Err[13]  tot_scale06[14]  tot_scale06_Err[15]  tot_scale07[16]  tot_scale07_Err[17] 
#neval: 2083630
#overflow:lower center upper    3.4602704046E+002    3.5156251201E+000    2.2660573127E+002    2.3105115001E+000    5.4615950263E+002    5.5285855862E+000    2.5816520863E+002    2.6229513491E+000    3.0372686916E+002    3.0968520529E+000    4.7503548783E+002    4.8263473622E+000    3.9783544841E+002    4.0271519861E+000
    1.0000000000E-002    1.1294627059E-002    1.2589254118E-002    6.7964610430E+003    1.0629327672E+003    4.5616092312E+003    7.1068114230E+002    1.0433873675E+004    1.6388686991E+003    5.0707302550E+003    7.9303703910E+002    6.1140699414E+003    9.5254853930E+002    9.3303696232E+003    1.4592234900E+003    7.6002793915E+003    1.1937905697E+003
    1.2589254118E-002    1.4219093021E-002    1.5848931925E-002    1.3646793781E+004    1.1385576624E+003    9.1552880987E+003    7.6154445576E+002    2.0960886700E+004    1.7546137986E+003    1.0181653315E+004    8.4945955689E+002    1.2271123836E+004    1.0207222561E+003    1.8734695798E+004    1.5630434370E+003    1.5268403680E+004    1.2781020269E+003
    1.5848931925E-002    1.7900777537E-002    1.9952623150E-002    2.4093729696E+004    5.6805395278E+003    1.6144481176E+004    3.7908361196E+003    3.7057864872E+004    8.7771072473E+003    1.7975944150E+004    4.2381591634E+003    2.1638961619E+004    5.0809782244E+003    3.3076538252E+004    7.7984017149E+003    2.6993821801E+004    6.3934516944E+003
    1.9952623150E-002    2.2535743732E-002    2.5118864315E-002    2.1316915582E+004    1.3497492395E+003    1.4305610125E+004    9.0718162476E+002    3.2730997555E+004    2.0689485420E+003    1.5904207808E+004    1.0070261953E+003    1.9174264263E+004    1.2159243859E+003    2.9264451065E+004    1.8529730728E+003    2.3842029712E+004    1.5070708593E+003
    2.5118864315E-002    2.8370820458E-002    3.1622776602E-002    2.2037989510E+004    2.2695672083E+003    1.4764412266E+004    1.5148311132E+003    3.3903877115E+004    3.5062438898E+003    1.6442189466E+004    1.6932875855E+003    1.9789211365E+004    2.0303763225E+003    3.0254361289E+004    3.1157246109E+003    2.4696382815E+004    2.5540306512E+003
    3.1622776602E-002    3.5716746829E-002    3.9810717055E-002    1.9865736893E+004    8.7924691236E+002    1.3315906291E+004    5.8891357149E+002    3.0543943683E+004    1.3531300601E+003    1.4821506732E+004    6.5599197758E+002    1.7847732734E+004    7.8933959115E+002    2.7272232839E+004    1.2070544700E+003    2.2248928148E+004    9.8565181345E+002
    3.9810717055E-002    4.4964720209E-002    5.0118723363E-002    1.9045675851E+004    1.0206055861E+003    1.2769874285E+004    6.8484093702E+002    2.9272849576E+004    1.5673431839E+003    1.4209672380E+004    7.6145741014E+002    1.7115868669E+004    9.1791409028E+002    2.6146430369E+004    1.4011155655E+003    2.1323033255E+004    1.1416896994E+003
    5.0118723363E-002    5.6607228905E-002    6.3095734448E-002    1.6858594546E+004    8.5046313563E+002    1.1289334159E+004    5.7046443649E+002    2.5949232331E+004    1.3070217440E+003    1.2577926200E+004    6.3451686478E+002    1.5131453648E+004    7.6461162871E+002    2.3143944686E+004    1.1675393055E+003    1.8902032155E+004    9.5206542979E+002
    6.3095734448E-002    7.1264278960E-002    7.9432823472E-002    1.4156384163E+004    4.9672904150E+002    9.4877864766E+003    3.3321101932E+002    2.1768873283E+004    7.6318907303E+002    1.0561850502E+004    3.7060154738E+002    1.2716781988E+004    4.4661332748E+002    1.9434275564E+004    6.8192336135E+002    1.5856960142E+004    5.5592490038E+002
    7.9432823472E-002    8.9716411736E-002    1.0000000000E-001    1.1813861882E+004    3.7904839542E+002    7.9189747837E+003    2.5440388755E+002    1.8163214295E+004    5.8199279830E+002    8.8141323103E+003    2.8280191038E+002    1.0614053777E+004    3.4098562218E+002    1.6218396213E+004    5.2036811687E+002    1.3230513190E+004    4.2393726516E+002
    1.0000000000E-001    1.1294627059E-001    1.2589254118E-001    1.0064367184E+004    3.2543287329E+002    6.7417769229E+003    2.1761869238E+002    1.5485396092E+004    5.0180189181E+002    7.5088624585E+003    2.4280023178E+002    9.0362180421E+003    2.9168125509E+002    1.3816641522E+004    4.4676324577E+002    1.1279927326E+004    3.6552431969E+002
    1.2589254118E-001    1.4219093021E-001    1.5848931925E-001    9.3535344725E+003    3.5744515186E+002    6.2670260662E+003    2.3876617632E+002    1.4387494285E+004    5.5174760355E+002    6.9785216072E+003    2.6668407787E+002    8.3998943688E+003    3.2002590043E+002    1.2840790723E+004    4.9071058684E+002    1.0480189785E+004    4.0190595277E+002
    1.5848931925E-001    1.7900777537E-001    1.9952623150E-001    7.0151201606E+003    2.1295061075E+002    4.6988428703E+003    1.4297293132E+002    1.0794662712E+004    3.2687424382E+002    5.2338683053E+003    1.5887902512E+002    6.2980085528E+003    1.9163116732E+002    9.6305509051E+003    2.9234448593E+002    7.8630866254E+003    2.3810289987E+002
    1.9952623150E-001    2.2535743732E-001    2.5118864315E-001    6.0572613207E+003    1.8344207568E+002    4.0565912997E+003    1.2311008655E+002    9.3226233525E+003    2.8171174513E+002    4.5192252331E+003    1.3686318178E+002    5.4371783450E+003    1.6500836471E+002    8.3155758076E+003    2.5183435316E+002    6.7908184769E+003    2.0520547186E+002
    2.5118864315E-001    2.8370820458E-001    3.1622776602E-001    4.7170795583E+003    1.2080001358E+002    3.1593915500E+003    8.0959821405E+001    7.2589415352E+003    1.8578869549E+002    3.5193371786E+003    9.0126946922E+001    4.2346329837E+003    1.0851302368E+002    6.4757372319E+003    1.6583759843E+002    5.2875840240E+003    1.3533286270E+002
    3.1622776602E-001    3.5716746829E-001    3.9810717055E-001    3.8899056048E+003    1.2266648484E+002    2.6036122426E+003    8.2190514587E+001    5.9908408943E+003    1.8872714636E+002    2.9021959980E+003    9.1519491101E+001    3.4897043005E+003    1.1016256089E+002    5.3401699594E+003    1.6839994177E+002    4.3638696426E+003    1.3747329953E+002
    3.9810717055E-001    4.4964720209E-001    5.0118723363E-001    3.2327193499E+003    8.9746167987E+001    2.1641431842E+003    6.0092116618E+001    4.9775370150E+003    1.3817940042E+002    2.4118799048E+003    6.6958172262E+001    2.9006699436E+003    8.0543375223E+001    4.4379664992E+003    1.2320602065E+002    3.6257552250E+003    1.0065313056E+002
    5.0118723363E-001    5.6607228905E-001    6.3095734448E-001    2.5909657620E+003    6.6853948971E+001    1.7350768524E+003    4.4869758461E+001    3.9879100595E+003    1.0264913889E+002    1.9330778763E+003    4.9878655902E+001    2.3255786920E+003    6.0140364415E+001    3.5569494311E+003    9.1778949474E+001    2.9048876365E+003    7.4772051028E+001
    6.3095734448E-001    7.1264278960E-001    7.9432823472E-001    2.0404803883E+003    5.4906438085E+001    1.3641535312E+003    3.6370215682E+001    3.1467125621E+003    8.5640614092E+001    1.5223695942E+003    4.0964810220E+001    1.8284183668E+003    4.8748156888E+001    2.8012278907E+003    7.5377076214E+001    2.2921395621E+003    6.2382640869E+001
    7.9432823472E-001    8.9716411736E-001    1.0000000000E+000    1.6357059962E+003    3.7480488214E+001    1.0941039844E+003    2.5022118523E+001    2.5208959075E+003    5.7891047219E+001    1.2203739315E+003    2.7963589338E+001    1.4664623699E+003    3.3537941323E+001    2.2455424143E+003    5.1454250452E+001    1.8362799676E+003    4.2169202620E+001
    1.0000000000E+000    1.1294627059E+000    1.2589254118E+000    1.2720854234E+003    2.7025481118E+001    8.5117769029E+002    1.8095235394E+001    1.9597805913E+003    4.1614434039E+001    9.4908247137E+002    2.0163276725E+001    1.1408605313E+003    2.4253619545E+001    1.7463540388E+003    3.7101327658E+001    1.4275503522E+003    3.0312934127E+001
    1.2589254118E+000    1.4219093021E+000    1.5848931925E+000    1.0346374862E+003    2.2936264851E+001    6.9221928085E+002    1.5342821713E+001    1.5941406028E+003    3.5350497457E+001    7.7192638507E+002    1.7112378249E+001    9.2780351920E+002    2.0564471944E+001    1.4203789459E+003    3.1487538512E+001    1.1612095706E+003    2.5750135152E+001
    1.5848931925E+000    1.7900777537E+000    1.9952623150E+000    8.0537017783E+002    1.8229002455E+001    5.3871882586E+002    1.2165934955E+001    1.2411854699E+003    2.8168338110E+001    6.0087373434E+002    1.3600365497E+001    7.2206197706E+002    1.6306389576E+001    1.1056344464E+003    2.5025278552E+001    9.0410873672E+002    2.0518481083E+001
    1.9952623150E+000    2.2535743732E+000    2.5118864315E+000    6.1629395153E+002    1.2678084654E+001    4.1218452013E+002    8.4819154962E+000    9.4994057771E+002    1.9538358927E+001    4.5980700341E+002    9.4589150184E+000    5.5246402248E+002    1.1368581120E+001    8.4606537548E+002    1.7404825127E+001    6.9195909598E+002    1.4232200936E+001
    2.5118864315E+000    2.8370820458E+000    3.1622776602E+000    4.9002285418E+002    1.1323259628E+001    3.2751893905E+002    7.5476087930E+000    7.5587103387E+002    1.7522762383E+001    3.6559816891E+002    8.4481018600E+000    4.3898405124E+002    1.0116300128E+001    6.7271692200E+002    1.5544883873E+001    5.5059426825E+002    1.2763992929E+001
    3.1622776602E+000    3.5716746829E+000    3.9810717055E+000    3.8056617484E+002    9.3251387137E+000    2.5423636143E+002    6.1871524544E+000    5.8736010294E+002    1.4509447638E+001    2.8393430118E+002    6.9573359883E+000    3.4076108159E+002    8.2928372263E+000    5.2245176642E+002    1.2801808240E+001    4.2784693630E+002    1.0569023480E+001
    3.9810717055E+000    4.4964720209E+000    5.0118723363E+000    2.9637764015E+002    6.1410809415E+000    1.9799192227E+002    4.0935195374E+000    4.5743172139E+002    9.5022994989E+000    2.2112258973E+002    4.5817617038E+000    2.6537487085E+002    5.4866744365E+000    4.0687541843E+002    8.4306457003E+000    3.3320404226E+002    6.9216988149E+000
    5.0118723363E+000    5.6607228905E+000    6.3095734448E+000    2.2931240338E+002    5.6786939091E+000    1.5302435432E+002    3.7298903306E+000    3.5436941628E+002    8.9478829553E+000    1.7108629540E+002    4.2367821771E+000    2.0510340927E+002    4.9992906448E+000    3.1480640721E+002    7.7958679987E+000    2.5813103123E+002    6.5178487433E+000
    6.3095734448E+000    7.1264278960E+000    7.9432823472E+000    1.8058197870E+002    6.2951731051E+000    1.2064250316E+002    4.2102832844E+000    2.7869562217E+002    9.7039131659E+000    1.3472930943E+002    4.6967273883E+000    1.6170098421E+002    5.6431766004E+000    2.4790793295E+002    8.6421876828E+000    2.0300845684E+002    7.0685589596E+000
