#labels: yh_lower[1]   yh_center[2]   yh_upper[3]   tot_scale01[4]   tot_scale01_Err[5]   tot_scale02[6]   tot_scale02_Err[7]   tot_scale03[8]   tot_scale03_Err[9]   tot_scale04[10]  tot_scale04_Err[11]  tot_scale05[12]  tot_scale05_Err[13]  tot_scale06[14]  tot_scale06_Err[15]  tot_scale07[16]  tot_scale07_Err[17] 
#neval: 2382644
#overflow:lower center upper    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000
   -4.4000000000E+000   -4.3000000000E+000   -4.2000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000    0.0000000000E+000
   -4.2000000000E+000   -4.1000000000E+000   -4.0000000000E+000   -1.7278046314E-004    3.6619279201E-006   -3.0557374580E-004    6.3355073348E-006   -5.5935685549E-004    1.1334112057E-005   -2.4751164888E-004    5.1316969748E-006   -2.1331187264E-004    4.5209550196E-006   -3.8730409562E-004    8.0300352119E-006   -4.4131929278E-004    8.9423456028E-006
   -4.0000000000E+000   -3.9000000000E+000   -3.8000000000E+000   -9.1714020489E-004    1.3431814999E-005   -1.4174584609E-003    2.0852844582E-005   -2.1741568819E-003    3.2456938979E-005   -1.1481270420E-003    1.6890593571E-005   -1.1322859716E-003    1.6582694353E-005   -1.7965793032E-003    2.6430255291E-005   -1.7153582156E-003    2.5607755077E-005
   -3.8000000000E+000   -3.7000000000E+000   -3.6000000000E+000    5.2240789917E-003    9.4337205367E-005    7.6381816289E-003    1.3645886169E-004    1.1723233041E-002    2.0570815869E-004    6.1868500005E-003    1.1053030021E-004    6.4495606292E-003    1.1646713738E-004    9.6811295755E-003    1.7295686146E-004    9.2493528311E-003    1.6229885845E-004
   -3.6000000000E+000   -3.5000000000E+000   -3.4000000000E+000    3.3542655499E-002    4.9388179918E-004    4.5983205269E-002    6.7374634602E-004    6.4496146359E-002    9.3937909373E-004    3.7245931999E-002    5.4572773780E-004    4.1411201984E-002    6.0973821655E-004    5.8282113485E-002    8.5395006217E-004    5.0885929830E-002    7.4114782581E-004
   -3.4000000000E+000   -3.3000000000E+000   -3.2000000000E+000    8.9600805385E-002    1.3006044122E-003    1.1741524961E-001    1.7004609086E-003    1.5584566855E-001    2.2512436514E-003    9.5105166699E-002    1.3773561673E-003    1.1061965711E-001    1.6057044743E-003    1.4881974543E-001    2.1552750634E-003    1.2295853631E-001    1.7761778484E-003
   -3.2000000000E+000   -3.1000000000E+000   -3.0000000000E+000    1.8687542333E-001    2.6644007514E-003    2.3836839244E-001    3.3951590863E-003    3.0681788517E-001    4.3654091404E-003    1.9307599119E-001    2.7500445807E-003    2.3071327497E-001    3.2894246458E-003    3.0212364749E-001    4.3032460657E-003    2.4207203463E-001    3.4442042779E-003
   -3.0000000000E+000   -2.9000000000E+000   -2.8000000000E+000    3.3115575422E-001    2.7984664457E-003    4.1620589245E-001    3.5177015650E-003    5.2728848059E-001    4.4573419304E-003    3.3712257067E-001    2.8493027512E-003    4.0883936058E-001    3.4549399118E-003    5.2752649396E-001    4.4585643958E-003    4.1601810554E-001    3.5167370688E-003
   -2.8000000000E+000   -2.7000000000E+000   -2.6000000000E+000    5.1651360062E-001    4.1820146938E-003    6.4439970735E-001    5.2163627266E-003    8.1047195695E-001    6.5592509389E-003    5.2195725677E-001    4.2252011416E-003    6.3767906043E-001    5.1630454598E-003    8.1675421827E-001    6.6115583424E-003    6.3944315216E-001    5.1750934258E-003
   -2.6000000000E+000   -2.5000000000E+000   -2.4000000000E+000    7.5582452729E-001    4.5342318967E-003    9.3710252267E-001    5.6208497753E-003    1.1703156030E+000    7.0184494610E-003    7.5904358191E-001    4.5528315671E-003    9.3312833162E-001    5.5978869330E-003    1.1877448571E+000    7.1242316094E-003    9.2335125457E-001    5.5373901690E-003
   -2.4000000000E+000   -2.3000000000E+000   -2.2000000000E+000    1.0409122959E+000    5.3478682397E-003    1.2833260706E+000    6.5931990162E-003    1.5925570914E+000    8.1817679444E-003    1.0394811601E+000    5.3404246349E-003    1.2850929269E+000    6.6023887663E-003    1.6265711632E+000    8.3566504561E-003    1.2564897746E+000    6.4552208621E-003
   -2.2000000000E+000   -2.1000000000E+000   -2.0000000000E+000    1.3458177876E+000    6.0956249406E-003    1.6526383792E+000    7.4852343848E-003    2.0423043533E+000    9.2500478721E-003    1.3386204013E+000    6.0629642771E-003    1.6615241521E+000    7.5255566942E-003    2.0946616705E+000    9.4872742629E-003    1.6113296977E+000    7.2980683888E-003
