#labels: ptj1_lower[1]   ptj1_center[2]   ptj1_upper[3]   tot_scale01[4]   tot_scale01_Err[5]   tot_scale02[6]   tot_scale02_Err[7]   tot_scale03[8]   tot_scale03_Err[9]   tot_scale04[10]  tot_scale04_Err[11]  tot_scale05[12]  tot_scale05_Err[13]  tot_scale06[14]  tot_scale06_Err[15]  tot_scale07[16]  tot_scale07_Err[17] 
#neval: 3736776
#overflow:lower center upper    3.5202983573E+002    3.0768509314E+000    2.3046334998E+002    2.0138012298E+000    5.5584291760E+002    4.8616243333E+000    2.6264379762E+002    2.2955889851E+000    3.0889735821E+002    2.6991618403E+000    4.8327629113E+002    4.2239860250E+000    4.0488907600E+002    3.5413216969E+000
    1.0000000000E-002    1.1294627059E-002    1.2589254118E-002    5.5684225603E+003    5.3730742614E+002    3.7397693062E+003    3.6113044349E+002    8.5426114420E+003    8.2360356702E+002    4.1545104976E+003    4.0087642742E+002    5.0125317501E+003    4.8403461971E+002    7.6444844423E+003    7.3763048967E+002    6.2226394254E+003    5.9993224108E+002
    1.2589254118E-002    1.4219093021E-002    1.5848931925E-002    1.5663487660E+004    9.3521258954E+002    1.0504648579E+004    6.2718206770E+002    2.4068092137E+004    1.4371880387E+003    1.1686276177E+004    6.9774706905E+002    1.4079714607E+004    8.4063207381E+002    2.1503268911E+004    1.2838856990E+003    1.7531765321E+004    1.0468816254E+003
    1.5848931925E-002    1.7900777537E-002    1.9952623150E-002    1.8601734822E+004    9.4769659611E+002    1.2488483881E+004    6.3672643853E+002    2.8549505584E+004    1.4534087283E+003    1.3878455120E+004    7.0706118553E+002    1.6738712160E+004    8.5342469761E+002    2.5536975851E+004    1.3010240883E+003    2.0796132451E+004    1.0586971578E+003
    1.9952623150E-002    2.2535743732E-002    2.5118864315E-002    2.1872753272E+004    1.1130527203E+003    1.4672167419E+004    7.4781598821E+002    3.3600538548E+004    1.7067400283E+003    1.6318909367E+004    8.3043072981E+002    1.9665572663E+004    1.0023215544E+003    3.0027520413E+004    1.5280295472E+003    2.4475423856E+004    1.2432296449E+003
    2.5118864315E-002    2.8370820458E-002    3.1622776602E-002    2.1841933808E+004    1.7364594343E+003    1.4649164523E+004    1.1685408199E+003    3.3561159102E+004    2.6584063936E+003    1.6295915461E+004    1.2955444509E+003    1.9634741148E+004    1.5662324281E+003    2.9985210601E+004    2.3838595197E+003    2.4446738941E+004    1.9364458451E+003
    3.1622776602E-002    3.5716746829E-002    3.9810717055E-002    2.0142102532E+004    7.5383102226E+002    1.3486691167E+004    5.0018573427E+002    3.1006598962E+004    1.1726851245E+003    1.5027698689E+004    5.6242119944E+002    1.8076641135E+004    6.7041484880E+002    2.7651635229E+004    1.0348800687E+003    2.2585937153E+004    8.5421147137E+002
    3.9810717055E-002    4.4964720209E-002    5.0118723363E-002    1.7798314179E+004    6.3011693640E+002    1.1925755915E+004    4.1942103817E+002    2.7376388373E+004    9.7660991276E+002    1.3279035902E+004    4.7012011007E+002    1.5984469969E+004    5.6216335778E+002    2.4434017779E+004    8.6504195128E+002    1.9941606237E+004    7.1138566792E+002
    5.0118723363E-002    5.6607228905E-002    6.3095734448E-002    1.6295077493E+004    5.1462906527E+002    1.0924185916E+004    3.4477163944E+002    2.5049230865E+004    7.9173675572E+002    1.2157495192E+004    3.8395646718E+002    1.4642033844E+004    4.6210839432E+002    2.2370332897E+004    7.0649700888E+002    1.8246449884E+004    5.7671970499E+002
    6.3095734448E-002    7.1264278960E-002    7.9432823472E-002    1.3431629542E+004    3.5575365358E+002    9.0007348743E+003    2.3821564894E+002    2.0657584317E+004    5.4771685549E+002    1.0021122737E+004    2.6542207821E+002    1.2063971234E+004    3.1928801108E+002    1.8439312382E+004    4.8838845124E+002    1.5047471078E+004    3.9896986093E+002
    7.9432823472E-002    8.9716411736E-002    1.0000000000E-001    1.2439058392E+004    3.4502184144E+002    8.3305558083E+003    2.3055326820E+002    1.9144043942E+004    5.3237295273E+002    9.2805813692E+003    2.5741524581E+002    1.1165708916E+004    3.0901787846E+002    1.7076683266E+004    4.7365552283E+002    1.3944972612E+004    3.8779300068E+002
    1.0000000000E-001    1.1294627059E-001    1.2589254118E-001    1.0138352825E+004    3.0032241040E+002    6.7852473407E+003    1.9819878436E+002    1.5615164194E+004    4.6999569207E+002    7.5640619553E+003    2.2406571935E+002    9.0944828258E+003    2.6565213468E+002    1.3918211056E+004    4.1229090808E+002    1.1374453469E+004    3.4235593449E+002
    1.2589254118E-001    1.4219093021E-001    1.5848931925E-001    8.5290684487E+003    1.8915704051E+002    5.7121715563E+003    1.2627542195E+002    1.3125881418E+004    2.9226166657E+002    6.3634007693E+003    1.4112702511E+002    7.6562052211E+003    1.6925096442E+002    1.1708940971E+004    2.5968001489E+002    9.5612012511E+003    2.1289028317E+002
    1.5848931925E-001    1.7900777537E-001    1.9952623150E-001    7.2778284446E+003    1.7718383985E+002    4.8720945024E+003    1.1843623731E+002    1.1205906074E+004    2.7337354870E+002    5.4298707300E+003    1.3219401270E+002    6.5302232259E+003    1.5874385591E+002    9.9912041006E+003    2.4324287398E+002    8.1626459788E+003    1.9913173314E+002
    1.9952623150E-001    2.2535743732E-001    2.5118864315E-001    5.9646720898E+003    2.3298596914E+002    3.9946700565E+003    1.5660181767E+002    9.1797581149E+003    3.5713914896E+002    4.4501458973E+003    1.7382708372E+002    5.3541833332E+003    2.0989839718E+002    8.1884667515E+003    3.1984957985E+002    6.6867520722E+003    2.6014856977E+002
    2.5118864315E-001    2.8370820458E-001    3.1622776602E-001    5.1722022283E+003    1.6796247843E+002    3.4568736963E+003    1.0819986431E+002    7.9796685052E+003    2.7107547414E+002    3.8588968815E+003    1.2531410328E+002    4.6333577662E+003    1.4502371960E+002    7.1005422161E+003    2.3058353409E+002    5.8125785282E+003    1.9745776150E+002
    3.1622776602E-001    3.5716746829E-001    3.9810717055E-001    4.0393458493E+003    1.2226970644E+002    2.7050782308E+003    8.2177720626E+001    6.2171581815E+003    1.8746975852E+002    3.0136909605E+003    9.1223461123E+001    3.6257023918E+003    1.1014541274E+002    5.5453256587E+003    1.6785523342E+002    4.5287244863E+003    1.3655738861E+002
    3.9810717055E-001    4.4964720209E-001    5.0118723363E-001    3.1320971630E+003    6.7873703481E+001    2.0956617448E+003    4.4730617450E+001    4.8255826322E+003    1.0647771425E+002    2.3368073098E+003    5.0639478338E+001    2.8088820923E+003    5.9953869293E+001    4.2998295792E+003    9.3178896658E+001    3.5150680727E+003    7.7560875517E+001
