#labels: pth_lower[1]   pth_center[2]   pth_upper[3]   tot_scale01[4]   tot_scale01_Err[5]   tot_scale02[6]   tot_scale02_Err[7]   tot_scale03[8]   tot_scale03_Err[9]   tot_scale04[10]  tot_scale04_Err[11]  tot_scale05[12]  tot_scale05_Err[13]  tot_scale06[14]  tot_scale06_Err[15]  tot_scale07[16]  tot_scale07_Err[17] 
#neval: 3736776
#overflow:lower center upper    4.0804170260E+002    3.4867715746E+000    2.6798108172E+002    2.2951734555E+000    6.4203386856E+002    5.4751094290E+000    3.0443335048E+002    2.6014241829E+000    3.5918356737E+002    3.0762939838E+000    5.6017093056E+002    4.7867364172E+000    4.6767259521E+002    3.9881986934E+000
    1.0000000000E-002    1.1294627059E-002    1.2589254118E-002    1.0962112380E+004    1.0010689494E+003    7.3531980465E+003    6.7117910086E+002    1.6840508184E+004    1.5387707200E+003    8.1786557084E+003    7.4688143979E+002    9.8557252212E+003    8.9960269674E+002    1.5049090948E+004    1.3742951306E+003    1.2267022898E+004    1.1208768435E+003
    1.2589254118E-002    1.4219093021E-002    1.5848931925E-002    1.1410856982E+004    6.8303746657E+002    7.6382665784E+003    4.5490126470E+002    1.7571398420E+004    1.0582605015E+003    8.5134568372E+003    5.0960326634E+002    1.0237811642E+004    6.0971863389E+002    1.5665139944E+004    9.3769271821E+002    1.2799420565E+004    7.7086188033E+002
    1.5848931925E-002    1.7900777537E-002    1.9952623150E-002    1.4357783611E+004    9.8308640134E+002    9.6287404721E+003    6.6088234705E+002    2.2062087197E+004    1.5065161932E+003    1.0712111390E+004    7.3346494992E+002    1.2905707111E+004    8.8580163010E+002    1.9710762294E+004    1.3496081914E+003    1.6070544064E+004    1.0973818864E+003
    1.9952623150E-002    2.2535743732E-002    2.5118864315E-002    1.8747193586E+004    2.1287378107E+003    1.2576901103E+004    1.4327292018E+003    2.8796735151E+004    3.2582941437E+003    1.3986979564E+004    1.5882170373E+003    1.6857220576E+004    1.9203325193E+003    2.5736665664E+004    2.9223901203E+003    2.0976220292E+004    2.3734182148E+003
    2.5118864315E-002    2.8370820458E-002    3.1622776602E-002    1.9243896193E+004    9.1759580158E+002    1.2908843757E+004    6.1634667771E+002    2.9562419597E+004    1.4075507961E+003    1.4357561389E+004    6.8460346694E+002    1.7302133873E+004    8.2610905597E+002    2.6418552734E+004    1.2597008854E+003    2.1533962881E+004    1.0252931597E+003
    3.1622776602E-002    3.5716746829E-002    3.9810717055E-002    1.8162540054E+004    7.9753286507E+002    1.2172582259E+004    5.3078392883E+002    2.7929677567E+004    1.2364798995E+003    1.3550778969E+004    5.9502644136E+002    1.6315299169E+004    7.1142658219E+002    2.4934037131E+004    1.0948751667E+003    2.0344635121E+004    9.0068108841E+002
    3.9810717055E-002    4.4964720209E-002    5.0118723363E-002    1.6068989132E+004    5.8477471860E+002    1.0763630157E+004    3.9115319042E+002    2.4725296813E+004    9.0146830654E+002    1.1988814302E+004    4.3629101075E+002    1.4426835853E+004    5.2427506234E+002    2.2059952543E+004    8.0279490110E+002    1.8010488690E+004    6.5665075172E+002
    5.0118723363E-002    5.6607228905E-002    6.3095734448E-002    1.5385043764E+004    6.1246638349E+002    1.0304828363E+004    4.0824137921E+002    2.3675163879E+004    9.4784837986E+002    1.1478533665E+004    4.5695131647E+002    1.3811889215E+004    5.4717890529E+002    2.1121013433E+004    8.4081078426E+002    1.7245547120E+004    6.9043508978E+002
    6.3095734448E-002    7.1264278960E-002    7.9432823472E-002    1.4522387555E+004    5.0658791101E+002    9.7345744920E+003    3.3943853888E+002    2.2327405807E+004    7.7923712389E+002    1.0834919745E+004    3.7795709134E+002    1.3047559814E+004    4.5496027002E+002    1.9936735140E+004    6.9545788999E+002    1.6263808390E+004    5.6761467869E+002
    7.9432823472E-002    8.9716411736E-002    1.0000000000E-001    1.2264332833E+004    4.7997830467E+002    8.2087198240E+003    3.1771601116E+002    1.8887687611E+004    7.4860836550E+002    9.1502214402E+003    3.5810409209E+002    1.1002408271E+004    4.2584487519E+002    1.6836815188E+004    6.5892748672E+002    1.3758236621E+004    5.4530396952E+002
