#labels: pt_diff_lower[1]   pt_diff_center[2]   pt_diff_upper[3]   tot_scale01[4]   tot_scale01_Err[5]   tot_scale02[6]   tot_scale02_Err[7]   tot_scale03[8]   tot_scale03_Err[9]   tot_scale04[10]  tot_scale04_Err[11]  tot_scale05[12]  tot_scale05_Err[13]  tot_scale06[14]  tot_scale06_Err[15]  tot_scale07[16]  tot_scale07_Err[17] 
#neval: 3736776
#overflow:lower center upper   -5.9120480634E+001    2.0475166826E+000   -3.9589693654E+001    1.3738726956E+000   -9.0998624889E+001    3.1448944071E+000   -4.4108839578E+001    1.5276192601E+000   -5.3063325614E+001    1.8414452719E+000   -8.1162230332E+001    2.8108875100E+000   -6.6285542160E+001    2.2908151751E+000
    2.5118864315E-001    2.8370820458E-001    3.1622776602E-001   -5.2864071672E+001    8.9519369110E+001   -3.6083190652E+001    5.9944336355E+001   -7.9679877999E+001    1.3782166016E+002   -3.9441033493E+001    6.6788961268E+001   -4.8363448111E+001    8.0345300636E+001   -7.2573259136E+001    1.2289466488E+002   -5.8040700272E+001    1.0039254413E+002
    3.1622776602E-001    3.5716746829E-001    3.9810717055E-001    1.0127061249E+002    7.1194353779E+001    6.7835251514E+001    4.7644719908E+001    1.5577145059E+002    1.0967358307E+002    7.5556374921E+001    5.3116962109E+001    9.0921745206E+001    6.3859733504E+001    1.3902709668E+002    9.7737577195E+001    1.1346759435E+002    7.9888821651E+001
    3.9810717055E-001    4.4964720209E-001    5.0118723363E-001   -5.9647855089E+001    4.6973065374E+001   -3.9796199678E+001    3.1473405157E+001   -9.2130332641E+001    7.2260522276E+001   -4.4502305175E+001    3.5045848458E+001   -5.3340112206E+001    4.2184805991E+001   -8.1886224564E+001    6.4485922821E+001   -6.7109904748E+001    5.2636266775E+001
    5.0118723363E-001    5.6607228905E-001    6.3095734448E-001    2.5196468359E+000    3.6109937821E+001    1.6788137360E+000    2.4151756550E+001    3.8971041671E+000    5.5664546153E+001    1.8798679727E+000    2.6941043737E+001    2.2501674475E+000    3.2371367487E+001    3.4590408375E+000    4.9572720980E+001    2.8387424852E+000    4.0547366791E+001
    6.3095734448E-001    7.1264278960E-001    7.9432823472E-001   -2.1961924789E+000    2.6291308604E+001   -1.3688238377E+000    1.7606866452E+001   -3.6193568496E+000    4.0473197906E+001   -1.6385438801E+000    1.9615522423E+001   -1.8346781272E+000    2.3599043119E+001   -3.0149937537E+000    3.6093435334E+001   -2.6364247958E+000    2.9481630842E+001
    7.9432823472E-001    8.9716411736E-001    1.0000000000E+000   -2.4022701020E+001    1.8375025985E+001   -1.6031603422E+001    1.2289610193E+001   -3.7126848341E+001    2.8332559779E+001   -1.7922950797E+001    1.3709311303E+001   -2.1487667976E+001    1.6472155431E+001   -3.2979028121E+001    2.5225743690E+001   -2.7044070984E+001    2.0638104016E+001
    1.0000000000E+000    1.1294627059E+000    1.2589254118E+000   -1.9062824015E+001    1.3560233902E+001   -1.2849224523E+001    9.0714436549E+000   -2.9124682459E+001    2.0903440745E+001   -1.4222466349E+001    1.0117072382E+001   -1.7222224317E+001    1.2158744462E+001   -2.6169971842E+001    1.8615864003E+001   -2.1215104837E+001    1.5226558692E+001
    1.2589254118E+000    1.4219093021E+000    1.5848931925E+000    1.1968616287E+001    1.1941006777E+001    7.8774685798E+000    7.9661825404E+000    1.8798740662E+001    1.8461732081E+001    8.9295920822E+000    8.9089930707E+000    1.0558421692E+001    1.0677327835E+001    1.6430847338E+001    1.6392944239E+001    1.3693445568E+001    1.3447960579E+001
    1.5848931925E+000    1.7900777537E+000    1.9952623150E+000   -1.4612463730E+001    8.8625845713E+000   -9.6597244116E+000    5.9060505464E+000   -2.2838827047E+001    1.3718876467E+001   -1.0902124130E+001    6.6122317834E+000   -1.2947235871E+001    7.9160673982E+000   -2.0060394202E+001    1.2166801125E+001   -1.6636339669E+001    9.9931528145E+000
    1.9952623150E+000    2.2535743732E+000    2.5118864315E+000   -1.2822506723E+000    4.6959784854E+000   -9.3390213853E-001    3.1484394372E+000   -1.7739271909E+000    7.2192730083E+000   -9.5666660008E-001    3.5035940076E+000   -1.2517387404E+000    4.2199535185E+000   -1.7603091736E+000    6.4467690956E+000   -1.2921703569E+000    5.2586885344E+000
