#labels: ptj1_lower[1]   ptj1_center[2]   ptj1_upper[3]   tot_scale01[4]   tot_scale01_Err[5]   tot_scale02[6]   tot_scale02_Err[7]   tot_scale03[8]   tot_scale03_Err[9]   tot_scale04[10]  tot_scale04_Err[11]  tot_scale05[12]  tot_scale05_Err[13]  tot_scale06[14]  tot_scale06_Err[15]  tot_scale07[16]  tot_scale07_Err[17] 
#neval: 3736776
#overflow:lower center upper    3.5319041341E+002    2.9743335357E+000    2.3130730370E+002    1.9542013114E+000    5.5744566338E+002    4.6798473602E+000    2.6350968596E+002    2.2191024053E+000    3.1002853623E+002    2.6192781739E+000    4.8486956427E+002    4.0832473100E+000    4.0605655379E+002    3.4089110673E+000
    1.0000000000E-002    1.1294627059E-002    1.2589254118E-002    6.2934336068E+003    1.2061354065E+003    4.2212361289E+003    8.0718917974E+002    9.6685186343E+003    1.8572811020E+003    4.6954295767E+003    8.9987822468E+002    5.6578570463E+003    1.0819013315E+003    8.6397996514E+003    1.6558160324E+003    7.0427767490E+003    1.3528873094E+003
    1.2589254118E-002    1.4219093021E-002    1.5848931925E-002    1.3796216953E+004    8.5913819236E+002    9.2451426788E+003    5.7606228943E+002    2.1218432181E+004    1.3207361464E+003    1.0293135540E+004    6.4098918506E+002    1.2391558788E+004    7.7211460904E+002    1.8939828060E+004    1.1794486633E+003    1.5456005875E+004    9.6205532362E+002
    1.5848931925E-002    1.7900777537E-002    1.9952623150E-002    1.9954241577E+004    1.0265357159E+003    1.3374876053E+004    6.8614249715E+002    3.0681359841E+004    1.5839148746E+003    1.4887538653E+004    7.6588178460E+002    1.7926771782E+004    9.1965861272E+002    2.7393734516E+004    1.4092566117E+003    2.2349025315E+004    1.1537609093E+003
    1.9952623150E-002    2.2535743732E-002    2.5118864315E-002    2.1300739972E+004    1.0963183722E+003    1.4283689828E+004    7.3497105050E+002    3.2734021817E+004    1.6852441009E+003    1.5892139446E+004    8.1794550188E+002    1.9144883791E+004    9.8510507584E+002    2.9242244741E+004    1.5050561715E+003    2.3844232656E+004    1.2275715049E+003
    2.5118864315E-002    2.8370820458E-002    3.1622776602E-002    2.0873446278E+004    8.1043363559E+002    1.3984659006E+004    5.4071403271E+002    3.2109458242E+004    1.2525794544E+003    1.5573342494E+004    6.0465149873E+002    1.8744083269E+004    7.2473621626E+002    2.8655644144E+004    1.1125857012E+003    2.3389285834E+004    9.1240838351E+002
    3.1622776602E-002    3.5716746829E-002    3.9810717055E-002    1.9869672440E+004    6.4852197545E+002    1.3318453824E+004    4.3441326032E+002    3.0549327891E+004    9.9790814744E+002    1.4824442980E+004    4.8385181363E+002    1.7851147274E+004    5.8225790997E+002    2.7277635667E+004    8.9030889773E+002    2.2252850132E+004    7.2689980381E+002
    3.9810717055E-002    4.4964720209E-002    5.0118723363E-002    1.8310254192E+004    5.7427269217E+002    1.2270191471E+004    3.8466017512E+002    2.8159903163E+004    8.8376580132E+002    1.3660986110E+004    4.2845561777E+002    1.6446127901E+004    5.1557226741E+002    2.5136823183E+004    7.8837742886E+002    2.0512336869E+004    6.4375582987E+002
    5.0118723363E-002    5.6607228905E-002    6.3095734448E-002    1.6546763306E+004    5.0342957908E+002    1.1088169655E+004    3.3717006695E+002    2.5448616413E+004    7.7486484550E+002    1.2345273928E+004    3.7560071069E+002    1.4861826464E+004    4.5191976493E+002    2.2715854139E+004    6.9112204460E+002    1.8537371726E+004    5.6442980812E+002
    6.3095734448E-002    7.1264278960E-002    7.9432823472E-002    1.4498220866E+004    5.0138280604E+002    9.7107651495E+003    3.3545441124E+002    2.2310036643E+004    7.7252241580E+002    1.0816889367E+004    3.7407364625E+002    1.3015647395E+004    4.4962021702E+002    1.9903558441E+004    6.8831217798E+002    1.6251156282E+004    5.6272352714E+002
    7.9432823472E-002    8.9716411736E-002    1.0000000000E-001    1.2668365940E+004    8.5585097751E+002    8.4744905225E+003    5.6585829655E+002    1.9522058371E+004    1.3360366246E+003    9.4516640423E+003    6.3853664694E+002    1.1358629191E+004    7.5843787284E+002    1.7391483008E+004    1.1749358838E+003    1.4220327228E+004    9.7320055239E+002
