#labels: ptj1_lower[1]   ptj1_center[2]   ptj1_upper[3]   tot_scale01[4]   tot_scale01_Err[5]   tot_scale02[6]   tot_scale02_Err[7]   tot_scale03[8]   tot_scale03_Err[9]   tot_scale04[10]  tot_scale04_Err[11]  tot_scale05[12]  tot_scale05_Err[13]  tot_scale06[14]  tot_scale06_Err[15]  tot_scale07[16]  tot_scale07_Err[17] 
#neval: 1441220
#overflow:lower center upper    3.4319518324E+002    4.1123642491E+000    2.2463193090E+002    2.6966674875E+000    5.4201736025E+002    6.4851451062E+000    2.5605240552E+002    3.0681688140E+000    3.0108132174E+002    3.6144292051E+000    4.7114783595E+002    5.6455673367E+000    3.9481821432E+002    4.7239324756E+000
    1.0000000000E-002    1.1294627059E-002    1.2589254118E-002    6.4289387833E+003    1.1169083398E+003    4.3060475740E+003    7.4742486073E+002    9.8932072234E+003    1.7206065422E+003    4.7965278091E+003    8.3330734550E+002    5.7715325238E+003    1.0017973138E+003    8.8258249040E+003    1.5333226483E+003    7.2064452106E+003    1.2533303402E+003
    1.2589254118E-002    1.4219093021E-002    1.5848931925E-002    1.2005862817E+004    9.1627544393E+002    8.0519057536E+003    6.1229853593E+002    1.8447466615E+004    1.4138008031E+003    8.9573811194E+003    6.8361836933E+002    1.0792225385E+004    8.2068320278E+002    1.6481980405E+004    1.2578882619E+003    1.3437569277E+004    1.0298458120E+003
    1.5848931925E-002    1.7900777537E-002    1.9952623150E-002    2.0181680516E+004    1.6694894822E+003    1.3526533778E+004    1.1169232493E+003    3.1032583525E+004    2.5726529099E+003    1.5057227187E+004    1.2455792470E+003    1.8130043455E+004    1.4970477564E+003    2.7705968981E+004    2.2919213180E+003    2.2604864921E+004    1.8739809874E+003
    1.9952623150E-002    2.2535743732E-002    2.5118864315E-002    2.1537107979E+004    1.3290408884E+003    1.4437928036E+004    8.8859070648E+002    3.3108512809E+004    2.0496314908E+003    1.6068489813E+004    9.9157602763E+002    1.9351614166E+004    1.1910063869E+003    2.9566737275E+004    1.8245440759E+003    2.4117020717E+004    1.4929998642E+003
    2.5118864315E-002    2.8370820458E-002    3.1622776602E-002    2.3156570888E+004    2.0866605945E+003    1.5500022157E+004    1.3808046038E+003    3.5660388991E+004    3.2566974700E+003    1.7276745038E+004    1.5568239031E+003    2.0775172698E+004    1.8507363290E+003    3.1789980730E+004    2.8646253545E+003    2.5975867446E+004    2.3722551600E+003
    3.1622776602E-002    3.5716746829E-002    3.9810717055E-002    1.6880609258E+004    6.7988898940E+002    1.1323387265E+004    4.5633866073E+002    2.5932220615E+004    1.0438472287E+003    1.2594351023E+004    5.0725423816E+002    1.5177096109E+004    6.1164522151E+002    2.3174167091E+004    9.3337040169E+002    1.8889640420E+004    7.6036291286E+002
    3.9810717055E-002    4.4964720209E-002    5.0118723363E-002    2.0244104103E+004    1.2614704759E+003    1.3561058862E+004    8.4494323059E+002    3.1148793116E+004    1.9416517088E+003    1.5103800420E+004    9.4116282981E+002    1.8176318523E+004    1.1325042866E+003    2.7791665806E+004    1.7317815455E+003    2.2689514725E+004    1.4143448471E+003
    5.0118723363E-002    5.6607228905E-002    6.3095734448E-002    1.7514505133E+004    1.1025576348E+003    1.1738299781E+004    7.3850166539E+002    2.6932956453E+004    1.6967304086E+003    1.3067290538E+004    8.2260051536E+002    1.5733216550E+004    9.8983727128E+002    2.4044396874E+004    1.5136216037E+003    1.9618599980E+004    1.2359384021E+003
    6.3095734448E-002    7.1264278960E-002    7.9432823472E-002    1.4127692492E+004    6.2256072396E+002    9.4624363117E+003    4.1604683600E+002    2.1740714563E+004    9.6056407126E+002    1.0540444108E+004    4.6448254152E+002    1.2682804356E+004    5.5764080728E+002    1.9394886845E+004    8.5466857394E+002    1.5836448667E+004    6.9969749895E+002
    7.9432823472E-002    8.9716411736E-002    1.0000000000E-001    1.3168896810E+004    5.8190227409E+002    8.8245808029E+003    3.8996229653E+002    2.0253985057E+004    8.9501240268E+002    9.8251020728E+003    4.3414792611E+002    1.1827866329E+004    5.2267886938E+002    1.8078625625E+004    7.9885152986E+002    1.4753479869E+004    6.5194811926E+002
    1.0000000000E-001    1.1294627059E-001    1.2589254118E-001    1.0610332054E+004    4.0927709827E+002    7.1129828092E+003    2.7521528848E+002    1.6311309107E+004    6.2707962982E+002    7.9161980655E+003    3.0535505931E+002    9.5337570983E+003    3.6887980479E+002    1.4566157190E+004    5.6186691588E+002    1.1881541824E+004    4.5677957541E+002
    1.2589254118E-001    1.4219093021E-001    1.5848931925E-001    9.2804367364E+003    3.9571600647E+002    6.2176822204E+003    2.6533626618E+002    1.4275992314E+004    6.0824907096E+002    6.9239845621E+003    2.9523734687E+002    8.3337572427E+003    3.5563863698E+002    1.2740440130E+004    5.4324987414E+002    1.0398969123E+004    4.4306295272E+002
