x,y,z,cu
341,477,105,0.419
141,415,105,1.547
235,207,105,1.138
13,569,105,0.641
19,313,105,0.421
49,573,105,0.825
31,45,105,0.752
41,125,105,0.494
191,465,105,1.467
87,549,105,0.559
291,469,105,0.55
257,177,105,0.809
217,91,105,1.535
127,509,105,1.281
161,471,105,2.42
91,163,105,1.215
129,137,105,2.266
111,193,105,1.591
317,497,105,0.393
231,493,105,0.637
59,343,105,1.716
195,343,105,0.999
309,171,105,0.859
263,419,105,1.483
313,477,105,0.491
169,265,105,1.377
323,267,105,0.87
255,279,105,0.891
269,167,105,0.946
205,405,105,1.462
385,541,105,0.409
167,545,105,0.858
15,449,105,0.563
45,157,105,0.362
309,413,105,0.589
211,79,105,1.475
11,75,105,0.402
95,115,105,1.545
277,87,105,1.105
159,351,105,1.207
397,43,105,0.475
211,493,105,0.826
287,433,105,0.96
223,555,105,0.482
273,295,105,0.947
127,393,105,1.421
333,533,105,0.436
173,323,105,1.307
237,169,105,0.75
219,585,105,0.593
367,21,105,0.342
317,195,105,0.812
261,583,105,0.599
165,219,105,1.183
265,185,105,0.836
97,73,105,1.732
189,549,105,0.652
241,81,105,1.56
215,199,105,1.246
391,537,105,0.414
297,299,105,1.134
159,369,105,1.255
303,349,105,0.806
103,419,105,0.955
317,17,105,0.455
77,317,105,1.512
245,19,105,2.359
347,495,105,0.383
353,203,105,1.097
289,507,105,0.338
293,147,105,0.884
97,349,105,1.899
387,561,105,0.423
127,29,105,1.031
69,33,105,0.622
71,13,105,0.647
73,409,105,1.137
143,359,105,1.271
65,69,105,1.036
223,477,105,0.821
43,371,105,0.677
15,43,105,0.707
303,41,105,0.828
299,81,105,1.079
135,473,105,1.614
273,55,105,1.245
103,143,105,1.79
395,145,105,0.766
161,63,105,2.374
49,515,105,0.696
59,419,105,1.052
315,439,105,0.491
343,389,105,0.633
257,309,105,1.03
305,195,105,0.879
87,397,105,1.032
85,71,105,1.342
109,89,105,1.95
367,11,105,0.402
325,577,105,0.421
251,581,105,0.626
39,75,105,0.449
393,279,105,0.852
269,393,105,0.942
361,173,105,0.792
385,451,105,0.399
55,335,105,1.329
43,257,105,0.411
5,161,105,0.362
285,451,105,0.826
7,539,105,0.548
51,437,105,1.11
329,243,105,0.997
385,561,105,0.405
193,153,105,1.298
257,319,105,1.138
349,571,105,0.385
67,161,105,0.788
351,149,105,0.823
299,555,105,0.443
213,41,105,3.609
255,179,105,0.772
45,355,105,0.854
345,121,105,1.062
149,381,105,1.397
5,479,105,0.522
77,301,105,1.547
333,389,105,0.676
111,477,105,1.992
345,139,105,0.971
345,359,105,0.595
267,67,105,1.408
155,309,105,1.371
319,501,105,0.399
249,551,105,0.496
53,299,105,0.854
37,167,105,0.307
123,391,105,1.343
223,549,105,0.477
239,305,105,1.073
231,583,105,0.587
17,119,105,0.351
111,67,105,2.586
397,177,105,0.633
257,237,105,0.941
369,251,105,1.48
87,187,105,1.305
257,415,105,1.791
197,55,105,2.374
131,241,105,1.65
133,177,105,1.989
287,183,105,0.829
235,63,105,2.14
277,355,105,1.076
241,169,105,0.813
179,93,105,1.475
79,1,105,0.798
343,169,105,0.757
323,329,105,0.803
231,521,105,0.663
257,25,105,1.862
275,541,105,0.39
75,79,105,1.475
175,499,105,1.194
193,479,105,1.235
243,549,105,0.519
31,83,105,0.346
399,301,105,0.748
59,243,105,0.402
369,103,105,0.766
27,345,105,0.609
139,363,105,1.296
59,129,105,0.781
211,311,105,1.155
359,591,105,0.435
219,293,105,1.356
341,415,105,0.618
25,247,105,0.264
161,21,105,0.648
235,175,105,0.79
285,479,105,0.449
255,207,105,0.964
367,49,105,0.337
345,305,105,0.624
285,219,105,0.807
63,443,105,1.577
373,313,105,0.626
241,481,105,0.536
123,489,105,1.96
265,113,105,1.106
397,73,105,0.502
205,491,105,0.853
303,381,105,0.621
329,9,105,0.334
367,535,105,0.372
45,309,105,0.691
