#labels: ptj1_lower[1]   ptj1_center[2]   ptj1_upper[3]   tot_scale01[4]   tot_scale01_Err[5]   tot_scale02[6]   tot_scale02_Err[7]   tot_scale03[8]   tot_scale03_Err[9]   tot_scale04[10]  tot_scale04_Err[11]  tot_scale05[12]  tot_scale05_Err[13]  tot_scale06[14]  tot_scale06_Err[15]  tot_scale07[16]  tot_scale07_Err[17] 
#neval: 3707716
#overflow:lower center upper    3.4997564556E+002    3.0660789232E+000    2.2915241151E+002    2.0150597835E+000    5.5251013746E+002    4.8229016160E+000    2.6111119938E+002    2.2875521631E+000    3.0714026569E+002    2.7008487199E+000    4.8045624209E+002    4.2091979144E+000    4.0246140043E+002    3.5131151574E+000
    1.0000000000E-002    1.1294627059E-002    1.2589254118E-002    6.8794620570E+003    8.4875607892E+002    4.6112790747E+003    5.6659167831E+002    1.0575736361E+004    1.3105935735E+003    5.1326559764E+003    6.3324325723E+002    6.1806440125E+003    7.5942084773E+002    9.4443157099E+003    1.1651958109E+003    7.7036155141E+003    9.5466723455E+002
    1.2589254118E-002    1.4219093021E-002    1.5848931925E-002    1.6005226687E+004    1.1026532078E+003    1.0729561354E+004    7.3939614277E+002    2.4604999802E+004    1.6950295273E+003    1.1941242168E+004    8.2267182087E+002    1.4381172353E+004    9.9103616776E+002    2.1972417697E+004    1.5137528090E+003    1.7922861512E+004    1.2346994401E+003
    1.5848931925E-002    1.7900777537E-002    1.9952623150E-002    1.9887207009E+004    1.1413880003E+003    1.3332133384E+004    7.6327101951E+002    3.0570967633E+004    1.7594146280E+003    1.4837525240E+004    8.5157122642E+002    1.7869482423E+004    1.0230364244E+003    2.7301707608E+004    1.5669290030E+003    2.2268613030E+004    1.2815990642E+003
    1.9952623150E-002    2.2535743732E-002    2.5118864315E-002    2.0352276324E+004    8.2068404904E+002    1.3645730716E+004    5.5000894304E+002    3.1281272694E+004    1.2620553906E+003    1.5184505975E+004    6.1229916731E+002    1.8289806901E+004    7.3719448022E+002    2.7940167621E+004    1.1266577522E+003    2.2786015970E+004    9.1931087864E+002
    2.5118864315E-002    2.8370820458E-002    3.1622776602E-002    2.2777291713E+004    1.3684429984E+003    1.5247111702E+004    9.1261579378E+002    3.5074706046E+004    2.1167247455E+003    1.6993770948E+004    1.0209733081E+003    2.0436188772E+004    1.2232079755E+003    3.1269295793E+004    1.8786363819E+003    2.5549242191E+004    1.5418721715E+003
    3.1622776602E-002    3.5716746829E-002    3.9810717055E-002    2.7991057318E+004    7.7070197420E+003    1.8731269063E+004    5.1339418062E+003    4.3116881748E+004    1.1932398574E+004    2.0883677595E+004    5.7500834529E+003    2.5106115701E+004    6.8811854956E+003    3.8426897361E+004    1.0580409780E+004    3.1407352434E+004    8.6918402309E+003
    3.9810717055E-002    4.4964720209E-002    5.0118723363E-002    2.3727450630E+004    5.6269271973E+003    1.5884845615E+004    3.7483916066E+003    3.6532042017E+004    8.7116804852E+003    1.7702669231E+004    4.1981598661E+003    2.1290963819E+004    5.0240884935E+003    3.2573700223E+004    7.7248012254E+003    2.6610800046E+004    6.3457932995E+003
    5.0118723363E-002    5.6607228905E-002    6.3095734448E-002    1.6490412276E+004    5.3456598514E+002    1.1055253138E+004    3.5889049600E+002    2.5349826869E+004    8.2051980135E+002    1.2303231331E+004    3.9883108238E+002    1.4817707410E+004    4.8103234683E+002    2.2638493887E+004    7.3386696367E+002    1.8465411095E+004    5.9768595351E+002
    6.3095734448E-002    7.1264278960E-002    7.9432823472E-002    1.4185118629E+004    4.4099330421E+002    9.5045410090E+003    2.9565728188E+002    2.1819786828E+004    6.7810290513E+002    1.0583288825E+004    3.2901801037E+002    1.2739238621E+004    3.9627885872E+002    1.9473723034E+004    6.0540780026E+002    1.5894046767E+004    4.9394613118E+002
    7.9432823472E-002    8.9716411736E-002    1.0000000000E-001    1.2646311653E+004    4.5905580199E+002    8.4686824078E+003    3.0580439603E+002    1.9465357824E+004    7.1082024395E+002    9.4352096930E+003    3.4249414941E+002    1.1350844390E+004    4.0987935856E+002    1.7361206272E+004    6.3020449660E+002    1.4179025214E+004    5.1777821155E+002
    1.0000000000E-001    1.1294627059E-001    1.2589254118E-001    1.0400400727E+004    2.9567875688E+002    6.9654344311E+003    1.9764805005E+002    1.6006283508E+004    4.5617411133E+002    7.7595716796E+003    2.2060116416E+002    9.3359933141E+003    2.6491396797E+002    1.4277957660E+004    4.0591597214E+002    1.1659353991E+004    3.3228796947E+002
    1.2589254118E-001    1.4219093021E-001    1.5848931925E-001    9.0162577425E+003    2.8566442139E+002    6.0373770427E+003    1.9124200537E+002    1.3878869492E+004    4.3993684426E+002    6.7268848644E+003    2.1312962955E+002    8.0920884782E+003    2.5632774253E+002    1.2377767903E+004    3.9216801551E+002    1.0109695504E+004    3.2046036161E+002
    1.5848931925E-001    1.7900777537E-001    1.9952623150E-001    7.4684356536E+003    2.2599780950E+002    4.9991582372E+003    1.4994864511E+002    1.1500684671E+004    3.5160980958E+002    5.5720797025E+003    1.6861333022E+002    6.7005307911E+003    2.0098093838E+002    1.0252874947E+004    3.1025604110E+002    8.3773696529E+003    2.5612086869E+002
    1.9952623150E-001    2.2535743732E-001    2.5118864315E-001    6.1190115073E+003    1.6888806041E+002    4.0979905837E+003    1.1274479369E+002    9.4171985666E+003    2.6083469519E+002    4.5652960540E+003    1.2600466511E+002    5.4926671221E+003    1.5111543299E+002    8.4003481710E+003    2.3185419862E+002    6.8597092909E+003    1.8999813685E+002
    2.5118864315E-001    2.8370820458E-001    3.1622776602E-001    4.9736152439E+003    1.7389021203E+002    3.3298617749E+003    1.1681505131E+002    7.6574550596E+003    2.6677967459E+002    3.7107343269E+003    1.2973668996E+002    4.4631196481E+003    1.5657092875E+002    6.8279165135E+003    2.3872129065E+002    5.5778706635E+003    1.9432859990E+002
    3.1622776602E-001    3.5716746829E-001    3.9810717055E-001    4.0301670455E+003    9.1380960466E+001    2.6974164511E+003    6.1080937658E+001    6.2069083710E+003    1.4097392048E+002    3.0068428026E+003    6.8177864632E+001    3.6154330649E+003    8.1868723515E+001    5.5327247430E+003    1.2545030896E+002    4.5212582828E+003    1.0268872481E+002
    3.9810717055E-001    4.4964720209E-001    5.0118723363E-001    3.1888552394E+003    6.3753833938E+001    2.1341751633E+003    4.2589957719E+001    4.9114459026E+003    9.8402876546E+001    2.3791535976E+003    4.7565709945E+001    2.8605028520E+003    5.7084674968E+001    4.3777486357E+003    8.7523025847E+001    3.5776129017E+003    7.1678973500E+001
    5.0118723363E-001    5.6607228905E-001    6.3095734448E-001    2.5836056588E+003    4.6955654090E+001    1.7292270533E+003    3.1347183557E+001    3.9789436676E+003    7.2540897028E+001    1.9275866217E+003    3.5032858179E+001    2.3177380202E+003    4.2015627166E+001    3.5468452780E+003    6.4462020128E+001    2.8983563054E+003    5.2840498350E+001
    6.3095734448E-001    7.1264278960E-001    7.9432823472E-001    2.0895728814E+003    4.7083169729E+001    1.3983399953E+003    3.1471481118E+001    3.2187354618E+003    7.2625820417E+001    1.5589967135E+003    3.5127995546E+001    1.8742395720E+003    4.2182227141E+001    2.8686234225E+003    6.4637077123E+001    2.3446027389E+003    5.2902358547E+001
    7.9432823472E-001    8.9716411736E-001    1.0000000000E+000    1.5690140596E+003    2.5835738793E+001    1.0497392676E+003    1.7269728207E+001    2.4176076858E+003    3.9869332569E+001    1.1706161504E+003    1.9275629115E+001    1.4069989289E+003    2.3147166006E+001    2.1539858799E+003    3.5468016502E+001    1.7610423935E+003    2.9041761105E+001
