#labels: pth_lower[1]   pth_center[2]   pth_upper[3]   tot_scale01[4]   tot_scale01_Err[5]   tot_scale02[6]   tot_scale02_Err[7]   tot_scale03[8]   tot_scale03_Err[9]   tot_scale04[10]  tot_scale04_Err[11]  tot_scale05[12]  tot_scale05_Err[13]  tot_scale06[14]  tot_scale06_Err[15]  tot_scale07[16]  tot_scale07_Err[17] 
#neval: 719451
#overflow:lower center upper    4.0837639712E+002    9.3548672267E+000    2.6800512616E+002    6.0851152711E+000    6.4309978113E+002    1.4884525156E+001    3.0468306067E+002    6.9795159537E+000    3.5921579490E+002    8.1560735441E+000    5.6063040845E+002    1.2842620365E+001    4.6844903104E+002    1.0842238781E+001
    1.0000000000E-002    1.1294627059E-002    1.2589254118E-002    1.2547410131E+004    2.0774741184E+003    8.4210097360E+003    1.3928811335E+003    1.9264118134E+004    3.1931124074E+003    9.3614208586E+003    1.5499700211E+003    1.1286947192E+004    1.8669228859E+003    1.7225431529E+004    2.8520139062E+003    1.4032437483E+004    2.3259383025E+003
    1.2589254118E-002    1.4219093021E-002    1.5848931925E-002    1.4096834577E+004    1.8627003738E+003    9.4456906855E+003    1.2457513392E+003    2.1682806181E+004    2.8711641521E+003    1.0517421513E+004    1.3897307852E+003    1.2660359660E+004    1.6697201430E+003    1.9352524246E+004    2.5571665717E+003    1.5794266837E+004    2.0914236087E+003
    1.5848931925E-002    1.7900777537E-002    1.9952623150E-002    1.9714469871E+004    4.7255470995E+003    1.3203412558E+004    3.1446401999E+003    3.0338602244E+004    7.3234518315E+003    1.4708648840E+004    3.5256546749E+003    1.7696953806E+004    4.2148612799E+003    2.7064569289E+004    6.4873617065E+003    2.2099352606E+004    5.3345748436E+003
    1.9952623150E-002    2.2535743732E-002    2.5118864315E-002    1.5161252665E+004    1.4958402294E+003    1.0163213834E+004    1.0032338094E+003    2.3307464515E+004    2.2985068663E+003    1.1311566727E+004    1.1160223328E+003    1.3622078758E+004    1.3446661841E+003    2.0813786826E+004    2.0535308228E+003    1.6977706242E+004    1.6742865507E+003
    2.5118864315E-002    2.8370820458E-002    3.1622776602E-002    1.5151461061E+004    1.3236165119E+003    1.0131639741E+004    8.8084891856E+002    2.3359229306E+004    2.0523741090E+003    1.1304261368E+004    9.8752898757E+002    1.3579758996E+004    1.1806298223E+003    2.0800344641E+004    1.8170973418E+003    1.7015412935E+004    1.4949976518E+003
    3.1622776602E-002    3.5716746829E-002    3.9810717055E-002    1.9715719804E+004    2.0543590663E+003    1.3208051776E+004    1.3738396695E+003    3.0335560564E+004    3.1678369054E+003    1.4709581395E+004    1.5327242525E+003    1.7703171897E+004    1.8414010060E+003    2.7066285232E+004    2.8202809235E+003    2.2097136975E+004    2.3075270314E+003
    3.9810717055E-002    4.4964720209E-002    5.0118723363E-002    1.6991437920E+004    1.5237019693E+003    1.1390522371E+004    1.0247703706E+003    2.6121838837E+004    2.3342530562E+003    1.2677038505E+004    1.1368095287E+003    1.5267079426E+004    1.3735323221E+003    2.3326315743E+004    2.0917801896E+003    1.9027762800E+004    1.7003249176E+003
    5.0118723363E-002    5.6607228905E-002    6.3095734448E-002    1.5479770287E+004    1.1204054868E+003    1.0376691684E+004    7.5017081504E+002    2.3797776597E+004    1.7247834147E+003    1.1549207601E+004    8.3591651065E+002    1.3908209911E+004    1.0054778037E+003    2.1251056623E+004    1.5381236284E+003    1.7334861113E+004    1.2563728726E+003
    6.3095734448E-002    7.1264278960E-002    7.9432823472E-002    1.6749503192E+004    3.4724685826E+003    1.1249568780E+004    2.3438870002E+003    2.5695021310E+004    5.2975221956E+003    1.2496534896E+004    2.5907529507E+003    1.5078154845E+004    3.1415862972E+003    2.2994181060E+004    4.7671008743E+003    1.8716858858E+004    3.8588399689E+003
    7.9432823472E-002    8.9716411736E-002    1.0000000000E-001    1.1583688099E+004    6.8633980337E+002    7.7564100896E+003    4.5884704338E+002    1.7830608344E+004    1.0585928125E+003    8.6424033532E+003    5.1206708670E+002    1.0396163147E+004    6.1500728656E+002    1.5902407279E+004    9.4222625746E+002    1.2988235180E+004    7.7110394351E+002
    1.0000000000E-001    1.1294627059E-001    1.2589254118E-001    1.0478201799E+004    5.6722373822E+002    7.0087799677E+003    3.7722208578E+002    1.6150070903E+004    8.8074767463E+002    7.8176178079E+003    4.2319650662E+002    9.3940907154E+003    5.0560275969E+002    1.4384765123E+004    7.7870043000E+002    1.1764092117E+004    6.4155735529E+002
    1.2589254118E-001    1.4219093021E-001    1.5848931925E-001    8.8467924956E+003    1.1238065530E+003    5.9233175280E+003    7.5225426483E+002    1.3618680435E+004    1.7302416443E+003    6.6004495698E+003    8.3845399145E+002    7.9392108828E+003    1.0082703177E+003    1.2145121327E+004    1.5427927061E+003    9.9201676642E+003    1.2603487756E+003
    1.5848931925E-001    1.7900777537E-001    1.9952623150E-001    6.4939045020E+003    3.8937029999E+002    4.3497306987E+003    2.6049880897E+002    9.9928634591E+003    6.0019367755E+002    4.8449976868E+003    2.9050291734E+002    5.8300824051E+003    3.4915483922E+002    8.9150116388E+003    5.3453831283E+002    7.2790371604E+003    4.3719521439E+002
    1.9952623150E-001    2.2535743732E-001    2.5118864315E-001    6.7334873404E+003    4.3600389046E+002    4.5121298781E+003    2.9324683284E+002    1.0356500666E+004    6.6791419970E+002    5.0237465885E+003    3.2529548903E+002    6.0477511907E+003    3.9304805721E+002    9.2439175832E+003    5.9855819513E+002    7.5439190684E+003    4.8652443812E+002
    2.5118864315E-001    2.8370820458E-001    3.1622776602E-001    4.7573793980E+003    2.1174431822E+002    3.1850348447E+003    1.4171828189E+002    7.3244516559E+003    3.2614671539E+002    3.5494042407E+003    1.5797902966E+002    4.2690035071E+003    1.8994952079E+002    6.5310619659E+003    2.9068845419E+002    5.3353031392E+003    2.3757295102E+002
    3.1622776602E-001    3.5716746829E-001    3.9810717055E-001    4.4069185963E+003    5.3220970835E+002    2.9486022716E+003    3.5533811625E+002    6.7894133280E+003    8.2163295798E+002    3.2879310742E+003    3.9707310217E+002    3.9521054093E+003    4.7627097928E+002    6.0499396881E+003    7.3063220174E+002    4.9455686165E+003    5.9849680303E+002
    3.9810717055E-001    4.4964720209E-001    5.0118723363E-001    3.4556306394E+003    3.3481841735E+002    2.3121880437E+003    2.2475893697E+002    5.3244442793E+003    5.1419871855E+002    2.5781904321E+003    2.4980263523E+002    3.0990991775E+003    3.0125155201E+002    4.7439852803E+003    4.5964798013E+002    3.8784506489E+003    3.7455446034E+002
    5.0118723363E-001    5.6607228905E-001    6.3095734448E-001    2.6654024972E+003    1.1089531910E+002    1.7854606476E+003    7.4326194895E+001    4.1010457940E+003    1.7053025412E+002    1.9886139270E+003    8.2737213696E+001    2.3931096953E+003    9.9621763075E+001    3.6591382392E+003    1.5224016001E+002    2.9872983709E+003    1.2421825454E+002
    6.3095734448E-001    7.1264278960E-001    7.9432823472E-001    2.0039517774E+003    1.2242837125E+002    1.3403977948E+003    8.1576820046E+001    3.0884833660E+003    1.8949968433E+002    1.4951161852E+003    9.1341838380E+001    1.7965777977E+003    1.0934000658E+002    2.7510804038E+003    1.6807305285E+002    2.2497240438E+003    1.3803603440E+002
    7.9432823472E-001    8.9716411736E-001    1.0000000000E+000    1.6004360665E+003    5.9934836174E+001    1.0707904337E+003    4.0105549514E+001    2.4659132368E+003    9.2353323308E+001    1.1940596043E+003    4.4716417146E+001    1.4352144764E+003    5.3754743631E+001    2.1971228797E+003    8.2280200132E+001    1.7962292949E+003    6.7272336403E+001
    1.0000000000E+000    1.1294627059E+000    1.2589254118E+000    1.4221205019E+003    9.4226019332E+001    9.4895740341E+002    6.1379831096E+001    2.1979028397E+003    1.4972995039E+002    1.0610212300E+003    7.0300517286E+001    1.2719177908E+003    8.2269339895E+001    1.9523263427E+003    1.2935608443E+002    1.6010042077E+003    1.0906682327E+002
    1.2589254118E+000    1.4219093021E+000    1.5848931925E+000    1.0011973005E+003    3.6819459317E+001    6.6997996000E+002    2.4672517627E+001    1.5422700427E+003    5.6637917203E+001    7.4697720042E+002    2.7470406311E+001    8.9799545010E+002    3.3069360122E+001    1.3744713344E+003    5.0546771706E+001    1.1234258326E+003    4.1256393195E+001
