#labels: pth_lower[1]   pth_center[2]   pth_upper[3]   tot_scale01[4]   tot_scale01_Err[5]   tot_scale02[6]   tot_scale02_Err[7]   tot_scale03[8]   tot_scale03_Err[9]   tot_scale04[10]  tot_scale04_Err[11]  tot_scale05[12]  tot_scale05_Err[13]  tot_scale06[14]  tot_scale06_Err[15]  tot_scale07[16]  tot_scale07_Err[17] 
#neval: 1447890
#overflow:lower center upper    8.6016838961E+001    1.4175086944E+000    5.7946083290E+001    9.5513563254E-001    1.3167442812E+002    2.1702435817E+000    6.4175779865E+001    1.0575804346E+000    7.7666978496E+001    1.2801986678E+000    1.1808629465E+002    1.9459951258E+000    9.5914755493E+001    1.5808565526E+000
    1.0000000000E-002    1.1294627059E-002    1.2589254118E-002    3.4558931635E+002    1.8509894808E+002    2.3833467355E+002    1.2781113239E+002    5.1519338929E+002    2.7558178397E+002    2.5783862971E+002    1.3809934762E+002    3.1944754355E+002    1.7130932597E+002    4.7443456807E+002    2.5410895340E+002    3.7527900194E+002    2.0074026374E+002
    1.2589254118E-002    1.4219093021E-002    1.5848931925E-002    3.9447822141E+002    9.8279922196E+001    2.7160134427E+002    6.7619466849E+001    5.8919945918E+002    1.4689718897E+002    2.9431385534E+002    7.3325069001E+001    3.6403592041E+002    9.0632522156E+001    5.4155060859E+002    1.3492139436E+002    4.2918676672E+002    1.0700337312E+002
    1.5848931925E-002    1.7900777537E-002    1.9952623150E-002    5.5575644985E+002    2.3263245348E+002    3.8428422704E+002    1.6077796588E+002    8.2615706437E+002    3.4600190568E+002    4.1464094723E+002    1.7356333137E+002    5.1506837224E+002    2.1549582145E+002    7.6295781949E+002    3.1936426378E+002    6.0179226870E+002    2.5203593938E+002
    1.9952623150E-002    2.2535743732E-002    2.5118864315E-002    3.3563071844E+002    7.0148178223E+001    2.3024696031E+002    4.7457594631E+001    5.0337533182E+002    1.0690432076E+002    2.5040868001E+002    5.2336427355E+001    3.0860732426E+002    6.3608923545E+001    4.6076312953E+002    9.6301358468E+001    3.6667045046E+002    7.7871625745E+001
    2.5118864315E-002    2.8370820458E-002    3.1622776602E-002    5.3639693846E+002    1.3996855124E+002    3.6515505615E+002    9.4241592388E+001    8.1135989947E+002    2.1431436331E+002    4.0019712720E+002    1.0442828452E+002    4.8942893607E+002    1.2631500377E+002    7.3638054701E+002    1.9215269689E+002    5.9101366519E+002    1.5611163116E+002
    3.1622776602E-002    3.5716746829E-002    3.9810717055E-002    4.7734781870E+002    8.0493271005E+001    3.2631169493E+002    5.4575897076E+001    7.1900491135E+002    1.2243507801E+002    3.5614152883E+002    6.0054734667E+001    4.3736594355E+002    7.3149810719E+001    6.5531628286E+002    1.1050338785E+002    5.2374011610E+002    8.9184595212E+001
    3.9810717055E-002    4.4964720209E-002    5.0118723363E-002    3.6514109173E+002    4.6418829583E+001    2.5087535308E+002    3.1924205208E+001    5.4673437179E+002    6.9435300704E+001    2.7242589481E+002    3.4632342050E+001    3.3625621520E+002    4.2789027638E+001    5.0127578587E+002    6.3725052604E+001    3.9825419665E+002    5.0578308824E+001
    5.0118723363E-002    5.6607228905E-002    6.3095734448E-002    5.3265284810E+002    6.4896222746E+001    3.6543965181E+002    4.4583172927E+001    7.9900280795E+002    9.7291271477E+001    3.9740372161E+002    4.8418027858E+001    4.8981038868E+002    5.9756244709E+001    7.3124055624E+002    8.9091328787E+001    5.8201246862E+002    7.0869254180E+001
    6.3095734448E-002    7.1264278960E-002    7.9432823472E-002    5.5703471470E+002    9.5165793171E+001    3.8197712251E+002    6.5186828000E+001    8.3589729969E+002    1.4293891430E+002    4.1559464007E+002    7.1001667430E+001    5.1197608666E+002    8.7371978934E+001    7.6471265681E+002    1.3064623194E+002    6.0888728558E+002    1.0412007261E+002
    7.9432823472E-002    8.9716411736E-002    1.0000000000E-001    3.2398298458E+002    2.9920662337E+001    2.2163982002E+002    2.0262340923E+001    4.8751674991E+002    4.5557881243E+001    2.4171849314E+002    2.2323324860E+001    2.9707090036E+002    2.7158260014E+001    4.4477279847E+002    4.1075912480E+001    3.5511868580E+002    3.3185433972E+001
