#labels: pt_diff_lower[1]   pt_diff_center[2]   pt_diff_upper[3]   tot_scale01[4]   tot_scale01_Err[5]   tot_scale02[6]   tot_scale02_Err[7]   tot_scale03[8]   tot_scale03_Err[9]   tot_scale04[10]  tot_scale04_Err[11]  tot_scale05[12]  tot_scale05_Err[13]  tot_scale06[14]  tot_scale06_Err[15]  tot_scale07[16]  tot_scale07_Err[17] 
#neval: 3583378
#overflow:lower center upper   -1.9472547369E+000    2.2878225977E-001   -1.3393372570E+000    1.5818859384E-001   -2.9122365507E+000    3.4024088745E-001   -1.4528154353E+000    1.7069076378E-001   -1.7951563253E+000    2.1202520376E-001   -2.6732451390E+000    3.1407861140E-001   -2.1213417114E+000    2.4783947798E-001
    1.0000000000E-002    1.1294627059E-002    1.2589254118E-002   -2.4619002854E+002    1.2105545513E+002   -1.7020797615E+002    8.4372758240E+001   -3.6607298484E+002    1.7841617340E+002   -1.8367842003E+002    9.0317527750E+001   -2.2813516416E+002    1.1308749147E+002   -3.3797647765E+002    1.6618827565E+002   -2.6665618629E+002    1.2996254392E+002
    1.2589254118E-002    1.4219093021E-002    1.5848931925E-002    4.3937874752E+002    3.6554103200E+002    3.0544955821E+002    2.5366907982E+002    6.4925950565E+002    5.4142649304E+002    3.2781341559E+002    2.7272428381E+002    4.0940375815E+002    3.4000073601E+002    6.0319129220E+002    5.0182483493E+002    4.7293591949E+002    3.9438781273E+002
    1.5848931925E-002    1.7900777537E-002    1.9952623150E-002    7.9084248158E-001    1.3824905331E+002    1.9449945250E+000    9.3719449178E+001   -1.9677551330E+000    2.1002374885E+002    5.9003485386E-001    1.0314539478E+002    2.6069380253E+000    1.2561515862E+002    1.0856904233E+000    1.8979212259E+002   -1.4333591962E+000    1.5298624651E+002
    1.9952623150E-002    2.2535743732E-002    2.5118864315E-002   -6.8398734055E+001    2.6094943941E+002   -4.8256895455E+001    1.8119439483E+002   -9.9622602502E+001    3.8621171685E+002   -5.1031195203E+001    1.9469017906E+002   -6.4680251862E+001    2.4286061055E+002   -9.3899673147E+001    3.5823860495E+002   -7.2567450621E+001    2.8132571312E+002
    2.5118864315E-002    2.8370820458E-002    3.1622776602E-002    5.6517683286E+001    8.7744872099E+001    3.9774938651E+001    6.0143914261E+001    8.2191853511E+001    1.3174080892E+002    4.2166934345E+001    6.5465037593E+001    5.3311615376E+001    8.0612801252E+001    7.7589038172E+001    1.2045858632E+002    5.9870482414E+001    9.5963108836E+001
    3.1622776602E-002    3.5716746829E-002    3.9810717055E-002    3.2542678533E+002    2.6008082577E+002    2.1917287887E+002    1.7523834139E+002    4.9834032844E+002    3.9808403692E+002    2.4279568966E+002    1.9404212040E+002    2.9376438067E+002    2.3487752269E+002    4.4675488805E+002    3.5704614814E+002    3.6300283538E+002    2.8997379076E+002
    3.9810717055E-002    4.4964720209E-002    5.0118723363E-002    2.3961425289E+001    1.8056449874E+002    1.7620049719E+001    1.2436720065E+002    3.2862465303E+001    2.6950490416E+002    1.7877233960E+001    1.3471626792E+002    2.3616713071E+001    1.6669331471E+002    3.2894907104E+001    2.4788393598E+002    2.3937793917E+001    1.9631372132E+002
    5.0118723363E-002    5.6607228905E-002    6.3095734448E-002   -2.1300354334E+002    2.4063294968E+002   -1.4555964676E+002    1.6381775189E+002   -3.2082917909E+002    3.6405264912E+002   -1.5891851727E+002    1.7953237289E+002   -1.9509822430E+002    2.1957014332E+002   -2.9241715326E+002    3.3034756615E+002   -2.3369953230E+002    2.6518452615E+002
    6.3095734448E-002    7.1264278960E-002    7.9432823472E-002    7.5439523285E+001    7.9106519118E+001    5.1309334270E+001    5.3474113329E+001    1.1424829913E+002    1.2066881379E+002    5.6284214788E+001    5.9020101391E+001    6.8771532693E+001    7.1673054920E+001    1.0356546326E+002    1.0859961652E+002    8.3221152605E+001    8.7898006739E+001
    7.9432823472E-002    8.9716411736E-002    1.0000000000E-001   -4.8750241412E+001    3.1038798993E+001   -3.3062029299E+001    2.1034058952E+001   -7.4042883900E+001    4.7202700327E+001   -3.6371770912E+001    2.3157548633E+001   -4.4314089456E+001    2.8192618233E+001   -6.6925679220E+001    4.2610921394E+001   -5.3934580972E+001    3.4383558943E+001
    1.0000000000E-001    1.1294627059E-001    1.2589254118E-001    5.0730626121E+000    4.2579989119E+001    3.2940026741E+000    2.8705509175E+001    8.1031602882E+000    6.5178929852E+001    3.7849304086E+000    3.1768244932E+001    4.4150565548E+000    3.8474906969E+001    6.9644406100E+000    5.8454986281E+001    5.9025328522E+000    4.7477868022E+001
    1.2589254118E-001    1.4219093021E-001    1.5848931925E-001    2.7930958117E+001    3.1800586466E+001    1.8629433825E+001    2.1682326975E+001    4.3280190327E+001    4.8084547408E+001    2.0838838548E+001    2.3725906012E+001    2.4969622693E+001    2.9061512484E+001    3.8344391517E+001    4.3656724298E+001    3.1526310251E+001    3.5025917131E+001
    1.5848931925E-001    1.7900777537E-001    1.9952623150E-001   -2.6478287513E+001    2.8103812340E+001   -1.6892807667E+001    1.8470695310E+001   -4.3006260895E+001    4.4237480116E+001   -1.9755024379E+001    2.0967802304E+001   -2.2641967417E+001    2.4756860412E+001   -3.6350125149E+001    3.8581690574E+001   -3.1326773599E+001    3.2223622685E+001
    1.9952623150E-001    2.2535743732E-001    2.5118864315E-001    5.3004361028E+000    2.0240094245E+001    3.1239384284E+000    1.3314371799E+001    9.2660722960E+000    3.1819053377E+001    3.9545701125E+000    1.5100808730E+001    4.1871140372E+000    1.7845676006E+001    7.2765852244E+000    2.7786160962E+001    6.7496253551E+000    2.3177748089E+001
    2.5118864315E-001    2.8370820458E-001    3.1622776602E-001    1.1950724756E+001    8.5712891110E+000    8.1590041585E+000    5.8090489586E+000    1.8044825001E+001    1.3046066622E+001    8.9162434986E+000    6.3949009263E+000    1.0935772783E+001    7.7860530848E+000    1.6406285349E+001    1.1766902664E+001    1.3144275640E+001    9.5030622734E+000
    3.1622776602E-001    3.5716746829E-001    3.9810717055E-001   -5.2888551362E+000    5.9533078236E+000   -3.4613979892E+000    4.0545380276E+000   -8.3341560440E+000    9.0050166581E+000   -3.9459297396E+000    4.4416672011E+000   -4.6394218199E+000    5.4344262791E+000   -7.2606865532E+000    8.1728655727E+000   -6.0707956027E+000    6.5594662784E+000
    3.9810717055E-001    4.4964720209E-001    5.0118723363E-001    1.4817994877E+001    1.5856840556E+001    9.8730628390E+000    1.0547255413E+001    2.2924148098E+001    2.4606285877E+001    1.1055467613E+001    1.1830533662E+001    1.3233180151E+001    1.4136821902E+001    2.0342553044E+001    2.1768709113E+001    1.6698489533E+001    1.7923798320E+001
    5.0118723363E-001    5.6607228905E-001    6.3095734448E-001   -1.4051599908E+001    1.2598335343E+001   -9.4166789289E+000    8.3802185173E+000   -2.1622005661E+001    1.9548486087E+001   -1.0483672655E+001    9.3994153405E+000   -1.2621474280E+001    1.1232273424E+001   -1.9290424842E+001    1.7295343069E+001   -1.5749978306E+001    1.4239577799E+001
    6.3095734448E-001    7.1264278960E-001    7.9432823472E-001    1.3986830465E+000    3.1816438051E+000    9.1018945247E-001    2.1604083508E+000    2.2153311074E+000    4.8295249617E+000    1.0435349215E+000    2.3737732625E+000    1.2199558731E+000    2.8956640276E+000    1.9201507559E+000    4.3678485793E+000    1.6136993685E+000    3.5179397584E+000
    7.9432823472E-001    8.9716411736E-001    1.0000000000E+000    1.9886629232E+000    2.1098218809E+000    1.3647466153E+000    1.4463519697E+000    2.9854971899E+000    3.1689595342E+000    1.4837094170E+000    1.5741041663E+000    1.8292132963E+000    1.9385915483E+000    2.7300914421E+000    2.8964218088E+000    2.1747064870E+000    2.3083447806E+000
